aashtocl,rvindicator,chkey,chaashtokey
A-4,Yes,42963012,70216523
A-6,Yes,42963013,70216524
A-2,Yes,42963014,70216525
A-1,No ,42963014,70216526
A-1,Yes,42963015,70216527
A-6,Yes,42963016,70216528
A-7,Yes,42963017,70216529
A-2,Yes,42963018,70216530
A-1,Yes,42963019,70216531
A-4,Yes,42963020,70216532
A-6,Yes,42963021,70216533
A-1,No ,42963022,70216534
A-2,Yes,42963022,70216535
A-1,Yes,42963023,70216536
A-6,Yes,42963024,70216537
A-7,Yes,42963025,70216538
A-2,Yes,42963026,70216539
A-1,Yes,42963027,70216540
A-6,Yes,42963028,70216541
A-7,Yes,42963029,70216542
A-7,Yes,42963031,70216543
A-7,Yes,42963032,70216544
A-6,Yes,42963033,70216545
A-7,Yes,42963034,70216546
A-7,Yes,42963036,70216547
A-7,Yes,42963037,70216548
A-4,Yes,42963050,70216559
A-6,Yes,42963051,70216560
A-7,Yes,42963052,70216561
A-6,Yes,42963053,70216562
A-7,Yes,42963054,70216563
A-2,Yes,42963055,70216564
A-1,Yes,42963056,70216565
A-7,Yes,42963057,70216566
A-7,Yes,42963058,70216567
A-7,Yes,42963059,70216568
A-6,Yes,42963060,70216569
A-7,Yes,42963061,70216570
A-4,Yes,42963063,70216571
A-6,Yes,42963064,70216572
A-7,Yes,42963065,70216573
A-7,Yes,42963066,70216574
A-7,Yes,42963067,70216575
A-7,Yes,42963068,70216576
A-7,Yes,42963069,70216577
A-6,Yes,42963071,70216578
A-7,Yes,42963072,70216579
A-7,Yes,42963073,70216580
A-7,Yes,42963075,70216581
A-7,Yes,42963076,70216582
A-6,Yes,42963078,70216583
A-7,Yes,42963079,70216584
A-7,Yes,42963081,70216585
A-7,Yes,42963082,70216586
A-7,Yes,42963085,70216587
A-7,Yes,42963086,70216588
A-8,Yes,42963109,70216618
A-6,Yes,42963110,70216619
A-6,No ,42963111,70216620
A-7,Yes,42963111,70216621
A-8,Yes,42963113,70216622
A-6,Yes,42963114,70216623
A-6,No ,42963115,70216624
A-7,Yes,42963115,70216625
A-8,Yes,42963117,70216626
A-6,Yes,42963118,70216627
A-6,No ,42963119,70216628
A-7,Yes,42963119,70216629
A-1,Yes,42963122,70216630
A-1,Yes,42963123,70216631
A-2,No ,42963130,70216637
A-4,Yes,42963130,70216638
A-2,No ,42963131,70216639
A-6,Yes,42963131,70216640
A-4,Yes,42963136,70216645
A-2,No ,42963137,70216646
A-6,Yes,42963137,70216647
A-7,No ,42963137,70216648
A-1,Yes,42963138,70216649
A-4,Yes,42963139,70216650
A-2,No ,42963140,70216651
A-6,Yes,42963140,70216652
A-7,No ,42963140,70216653
A-1,Yes,42963141,70216654
A-7,Yes,42963142,70216655
A-6,Yes,42963144,70216656
A-7,No ,42963144,70216657
A-6,Yes,42963145,70216658
A-7,No ,42963145,70216659
A-7,Yes,42963146,70216660
A-6,Yes,42963148,70216661
A-7,No ,42963148,70216662
A-7,Yes,42963149,70216663
A-6,Yes,42963151,70216664
A-7,No ,42963151,70216665
A-7,Yes,42963152,70216666
A-7,Yes,42963157,70216670
A-7,Yes,42963158,70216671
A-7,Yes,42963159,70216672
A-7,Yes,42963160,70216673
A-7,Yes,42963161,70216674
A-7,Yes,42963162,70216675
A-4,Yes,42963181,70216701
A-5,Yes,42963182,70216702
A-7,No ,42963182,70216703
A-4,Yes,42963184,70216704
A-5,Yes,42963185,70216705
A-7,No ,42963185,70216706
A-4,Yes,42963187,70216707
A-5,Yes,42963188,70216708
A-7,No ,42963188,70216709
A-6,Yes,42963198,70216718
A-7,Yes,42963199,70216719
A-7,Yes,42963200,70216720
A-6,Yes,42963202,70216721
A-7,Yes,42963203,70216722
A-6,Yes,42963205,70216723
A-7,Yes,42963206,70216724
A-6,Yes,42963225,70216746
A-7,Yes,42963226,70216747
A-7,Yes,42963227,70216748
A-7,Yes,42963228,70216749
A-6,Yes,42963229,70216750
A-6,Yes,42963230,70216751
A-7,Yes,42963231,70216752
A-4,Yes,42963283,70216816
A-5,No ,42963283,70216817
A-6,Yes,42963284,70216818
A-7,No ,42963284,70216819
A-4,Yes,42963286,70216820
A-5,No ,42963286,70216821
A-6,Yes,42963287,70216822
A-7,No ,42963287,70216823
A-4,Yes,42963289,70216824
A-5,No ,42963289,70216825
A-6,Yes,42963290,70216826
A-7,No ,42963290,70216827
A-4,Yes,42963293,70216828
A-5,No ,42963293,70216829
A-6,Yes,42963294,70216830
A-7,No ,42963294,70216831
A-2,No ,42963302,70216840
A-4,Yes,42963302,70216841
A-2,No ,42963303,70216842
A-6,Yes,42963303,70216843
A-2,No ,42963305,70216844
A-4,Yes,42963305,70216845
A-2,No ,42963306,70216846
A-6,Yes,42963306,70216847
A-6,Yes,42963376,70216932
A-7,Yes,42963377,70216933
A-6,No ,42963378,70216934
A-7,Yes,42963378,70216935
A-6,Yes,42963379,70216936
A-7,Yes,42963380,70216937
A-1,No ,42963425,70216997
A-2,Yes,42963425,70216998
A-1,Yes,42963426,70216999
A-1,No ,42963428,70217000
A-2,Yes,42963428,70217001
A-1,Yes,42963429,70217002
A-4,Yes,42963430,70217003
A-6,No ,42963430,70217004
A-1,No ,42963431,70217005
A-2,Yes,42963431,70217006
A-4,No ,42963431,70217007
A-1,Yes,42963432,70217008
A-4,Yes,42963433,70217009
A-4,Yes,42963434,70217010
A-4,Yes,42963435,70217011
A-6,No ,42963435,70217012
A-1,No ,42963436,70217013
A-2,Yes,42963436,70217014
A-4,No ,42963436,70217015
A-1,Yes,42963437,70217016
A-7,Yes,42963438,70217017
A-4,Yes,42963439,70217018
A-6,No ,42963439,70217019
A-7,No ,42963439,70217020
A-6,Yes,42963440,70217021
