fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,3,6,,2,4,5,,,,42963012,73615593
11,13,14,,5,40,75,,,,42963012,73615594
0,4,8,,2,4,5,,,,42963013,73615595
14,17,20,,5,40,75,,,,42963013,73615596
0,10,20,,2,4,5,,,,42963014,73615597
24,33,42,,5,40,75,,,,42963014,73615598
0,2,3,,75,162,250,,,,42963014,73615599
0,7,14,,2,4,5,,,,42963015,73615600
21,29,36,,5,40,75,,,,42963015,73615601
8,11,14,,75,162,250,,,,42963015,73615602
0,6,11,,2,4,5,,,,42963016,73615603
10,15,20,,5,40,75,,,,42963016,73615604
0,3,6,,75,162,250,,,,42963016,73615605
0,7,14,,2,4,5,,,,42963017,73615606
11,17,23,,5,40,75,,,,42963017,73615607
0,2,3,,75,162,250,,,,42963017,73615608
0,7,13,,2,4,5,,,,42963018,73615609
31,37,43,,5,40,75,,,,42963018,73615610
3,5,6,,75,162,250,,,,42963018,73615611
0,7,13,,2,4,5,,,,42963019,73615612
29,36,43,,5,40,75,,,,42963019,73615613
3,6,8,,75,162,250,,,,42963019,73615614
0,3,6,,2,4,5,,,,42963020,73615615
11,13,14,,5,40,75,,,,42963020,73615616
0,4,8,,2,4,5,,,,42963021,73615617
14,17,20,,5,40,75,,,,42963021,73615618
0,10,20,,2,4,5,,,,42963022,73615619
24,33,42,,5,40,75,,,,42963022,73615620
0,2,3,,75,162,250,,,,42963022,73615621
0,7,14,,2,4,5,,,,42963023,73615622
21,29,36,,5,40,75,,,,42963023,73615623
8,11,14,,75,162,250,,,,42963023,73615624
0,6,11,,2,4,5,,,,42963024,73615625
10,15,20,,5,40,75,,,,42963024,73615626
0,3,6,,75,162,250,,,,42963024,73615627
0,7,14,,2,4,5,,,,42963025,73615628
11,17,23,,5,40,75,,,,42963025,73615629
0,2,3,,75,162,250,,,,42963025,73615630
0,7,13,,2,4,5,,,,42963026,73615631
31,37,43,,5,40,75,,,,42963026,73615632
3,5,6,,75,162,250,,,,42963026,73615633
0,7,13,,2,4,5,,,,42963027,73615634
29,36,43,,5,40,75,,,,42963027,73615635
3,6,8,,75,162,250,,,,42963027,73615636
0,2,3,,2,4,5,,,,42963031,73615637
0,3,6,,2,4,5,,,,42963032,73615638
0,2,3,,2,4,5,,,,42963036,73615639
0,3,6,,2,4,5,,,,42963037,73615640
0,4,8,,2,4,5,,,,42963052,73615647
0,3,6,,5,40,75,,,,42963052,73615648
0,3,6,,75,162,250,,,,42963052,73615649
0,6,11,,2,4,5,,,,42963053,73615650
10,15,20,,5,40,75,,,,42963053,73615651
0,3,6,,75,162,250,,,,42963053,73615652
0,7,14,,2,4,5,,,,42963054,73615653
11,17,23,,5,40,75,,,,42963054,73615654
0,2,3,,75,162,250,,,,42963054,73615655
0,7,13,,2,4,5,,,,42963055,73615656
31,37,43,,5,40,75,,,,42963055,73615657
3,5,6,,75,162,250,,,,42963055,73615658
0,7,13,,2,4,5,,,,42963056,73615659
29,36,43,,5,40,75,,,,42963056,73615660
3,6,8,,75,162,250,,,,42963056,73615661
0,3,6,,2,4,5,,,,42963058,73615662
0,14,28,,2,4,5,,,,42963059,73615663
0,13,26,,5,40,75,,,,42963059,73615664
0,4,8,,2,4,5,,,,42963065,73615665
0,3,6,,5,40,75,,,,42963065,73615666
0,3,6,,75,162,250,,,,42963065,73615667
0,2,3,,2,4,5,,,,42963066,73615668
0,3,6,,2,4,5,,,,42963067,73615669
0,14,28,,2,4,5,,,,42963068,73615670
0,13,26,,5,40,75,,,,42963068,73615671
0,3,6,,2,4,5,,,,42963072,73615672
0,9,17,,2,4,5,,,,42963073,73615673
0,3,6,,5,40,75,,,,42963073,73615674
0,9,17,,75,162,250,,,,42963073,73615675
0,6,12,,2,4,5,,,,42963075,73615676
0,4,7,,5,40,75,,,,42963075,73615677
8,13,17,,75,162,250,,,,42963075,73615678
0,9,17,,2,4,5,,,,42963076,73615679
0,3,6,,5,40,75,,,,42963076,73615680
0,9,17,,75,162,250,,,,42963076,73615681
0,6,12,,2,4,5,,,,42963081,73615682
0,4,7,,5,40,75,,,,42963081,73615683
8,13,17,,75,162,250,,,,42963081,73615684
0,9,17,,2,4,5,,,,42963082,73615685
0,3,6,,5,40,75,,,,42963082,73615686
0,9,17,,75,162,250,,,,42963082,73615687
0,6,12,,2,4,5,,,,42963085,73615688
0,4,7,,5,40,75,,,,42963085,73615689
8,13,17,,75,162,250,,,,42963085,73615690
0,9,17,,2,4,5,,,,42963086,73615691
0,3,6,,5,40,75,,,,42963086,73615692
0,9,17,,75,162,250,,,,42963086,73615693
0,3,6,,2,4,5,,,,42963110,73615743
0,2,4,,5,40,75,,,,42963110,73615744
14,17,20,,75,162,250,,,,42963110,73615745
0,7,14,,2,4,5,,,,42963111,73615746
