hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
H3,NA,H,NA,3,NA,36,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896881,42963084
H1,NA,H,NA,1,NA,0,NA,NA,15,NA,NA,NA,NA,0,0,0,15,23,30,85,92.5,100,75,82.5,90,70,77.5,85,60,70,80,NA,5.5,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,1.7,NA,NA,2.7,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,40,47.5,55,NA,NA,NA,2,3,4,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,1.78,NA,NA,4,9,14,0.14,0.16,0.17,NA,NA,NA,NA,26.4,NA,NA,22.1,NA,NA,35,NA,6,7.5,8.9,50,55,60,35,40,45,17,26,36,0.17,0.28,0,0,0,0,0,0,0,0,0,0,0,0,30,37.5,45,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896881,42963085
H2,NA,H,NA,2,NA,15,NA,NA,36,NA,NA,NA,NA,0,0,0,0,15,30,90,95,100,70,82.5,95,60,75,90,60,72.5,85,NA,5.3,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,1.7,NA,NA,2.5,NA,NA,44.7,NA,NA,NA,NA,NA,NA,NA,40,50,60,NA,NA,NA,1,1.5,2,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,1.75,NA,NA,0.42,0.91,1.4,0.14,0.15,0.16,NA,NA,NA,NA,27.9,NA,NA,23.2,NA,NA,38,NA,6,7.5,8.9,60,70,80,40,45,50,21,33,48,0.17,0.28,0,0,0,0,0,0,0,0,0,0,0,0,30,37.5,45,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896881,42963086
H1,NA,H,NA,1,NA,0,NA,NA,15,NA,NA,NA,NA,0,0,0,15,23,30,85,92.5,100,75,82.5,90,70,77.5,85,60,70,80,NA,5.5,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,1.7,NA,NA,2.7,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,40,47.5,55,NA,NA,NA,2,3,4,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,1.78,NA,NA,4,9,14,0.14,0.16,0.17,NA,NA,NA,NA,26.4,NA,NA,22.1,NA,NA,35,NA,6,7.5,8.9,50,55,60,35,40,45,17,26,36,0.17,0.28,0,0,0,0,0,0,0,0,0,0,0,0,30,37.5,45,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896880,42963081
H2,NA,H,NA,2,NA,15,NA,NA,36,NA,NA,NA,NA,0,0,0,0,15,30,90,95,100,70,82.5,95,60,75,90,60,72.5,85,NA,5.3,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,1.7,NA,NA,2.5,NA,NA,44.7,NA,NA,NA,NA,NA,NA,NA,40,50,60,NA,NA,NA,1,1.5,2,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,1.75,NA,NA,0.42,0.91,1.4,0.14,0.15,0.16,NA,NA,NA,NA,27.9,NA,NA,23.2,NA,NA,38,NA,6,7.5,8.9,60,70,80,40,45,50,21,33,48,0.17,0.28,0,0,0,0,0,0,0,0,0,0,0,0,30,37.5,45,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896880,42963082
H3,NA,H,NA,3,NA,36,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896880,42963083
H1,NA,H,NA,1,NA,0,NA,NA,25,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,85,90,95,NA,19.3,NA,NA,0.2,NA,NA,0.5,NA,NA,1.3,NA,NA,5.6,NA,NA,11.7,NA,NA,52.2,NA,NA,NA,NA,NA,NA,NA,27,28.5,30,NA,NA,NA,3,4,5,NA,NA,NA,1.2,1.25,1.3,NA,NA,NA,NA,1.43,NA,NA,1.4,3,4,0.19,0.2,0.21,NA,NA,NA,NA,32.1,NA,NA,18.7,NA,NA,49,NA,3,4.5,5.9,30,35,40,10,15,20,7,13,20,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,25,30,35,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896879,42963078
H2,NA,H,NA,2,NA,25,NA,NA,107,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,90,95,100,80,90,100,NA,10.4,NA,NA,0.9,NA,NA,1.3,NA,NA,1.7,NA,NA,3.2,NA,NA,3.3,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,60,65,70,NA,NA,NA,0.5,1.75,3,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,1.68,NA,NA,0.01,0.2,0.42,0.13,0.15,0.16,NA,NA,NA,NA,42.5,NA,NA,36.4,NA,NA,46,NA,6,7.5,8.9,60,72.5,85,35,42.5,50,29,44,61,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,40,47.5,55,NA,NA,NA,NA,NA,NA,3.5,5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896879,42963079
H3,NA,H,NA,3,NA,107,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896879,42963080
H1,NA,H,NA,1,NA,0,NA,NA,15,NA,NA,NA,NA,0,0,0,15,23,30,85,92.5,100,75,82.5,90,70,77.5,85,60,70,80,NA,5.5,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,1.7,NA,NA,2.7,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,40,47.5,55,NA,NA,NA,2,3,4,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,1.78,NA,NA,4,9,14,0.14,0.16,0.17,NA,NA,NA,NA,26.4,NA,NA,22.1,NA,NA,35,NA,6,7.5,8.9,50,55,60,35,40,45,17,26,36,0.17,0.28,0,0,0,0,0,0,0,0,0,0,0,0,30,37.5,45,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14896878,42963075
