structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Medium,Subangular blocky,NA,NA,21325870,26027873
Moderate,Medium,Subangular blocky,NA,NA,21325871,26027874
,,Massive,NA,NA,21325872,26027875
Moderate,Very fine,Subangular blocky,NA,NA,21325895,26027901
Moderate,Fine,Subangular blocky,NA,NA,21325895,26027902
Moderate,Medium,Subangular blocky,NA,NA,21325896,26027909
Moderate,Fine,Subangular blocky,NA,NA,21325896,26027910
Moderate,Fine,Subangular blocky,NA,NA,21325897,26027903
Moderate,Very fine,Subangular blocky,NA,NA,21325897,26027904
Moderate,Fine,Subangular blocky,NA,NA,21325898,26027911
Moderate,Medium,Subangular blocky,NA,NA,21325898,26027912
Moderate,Fine,Subangular blocky,NA,NA,21325899,26027905
Moderate,Very fine,Subangular blocky,NA,NA,21325899,26027906
Moderate,Fine,Subangular blocky,NA,NA,21325900,26027913
Moderate,Medium,Subangular blocky,NA,NA,21325900,26027914
Moderate,Fine,Subangular blocky,NA,NA,21325901,26027907
Moderate,Very fine,Subangular blocky,NA,NA,21325901,26027908
Moderate,Fine,Subangular blocky,NA,NA,21325902,26027915
Moderate,Medium,Subangular blocky,NA,NA,21325902,26027916
Weak,Medium,Subangular blocky,NA,NA,21325950,26027970
,,Single grain,NA,NA,21325951,26027971
Weak,Medium,Subangular blocky,NA,NA,21325952,26027972
,,Single grain,NA,NA,21325953,26027973
Moderate,Medium,Subangular blocky,NA,NA,21325954,26027974
Weak,Medium,Prismatic,NA,NA,21325955,26027975
,,Massive,NA,NA,21325956,26027976
,,Single grain,NA,NA,21325957,26027977
Moderate,Medium,Subangular blocky,NA,NA,21325958,26027978
Weak,Medium,Prismatic,NA,NA,21325959,26027979
,,Massive,NA,NA,21325960,26027980
,,Single grain,NA,NA,21325961,26027981
Moderate,Fine,Granular,NA,NA,21325962,26027985
Weak,Medium,Subangular blocky,NA,NA,21325963,26027986
,,Massive,NA,NA,21325964,26027987
Moderate,Fine,Granular,NA,NA,21325965,26027988
Weak,Medium,Subangular blocky,NA,NA,21325966,26027989
,,Massive,NA,NA,21325967,26027990
Moderate,Medium,Granular,NA,NA,21325968,26027991
Moderate,Fine,Granular,NA,NA,21325968,26027992
Moderate,Fine,Subangular blocky,NA,NA,21325969,26027995
Moderate,Medium,Subangular blocky,NA,NA,21325969,26027996
Moderate,Fine,Granular,NA,NA,21325970,26027993
Moderate,Medium,Granular,NA,NA,21325970,26027994
Moderate,Medium,Subangular blocky,NA,NA,21325971,26027997
Moderate,Fine,Subangular blocky,NA,NA,21325971,26027998
Weak,Medium,Subangular blocky,NA,NA,21325972,26027999
Weak,Very fine,Subangular blocky,NA,NA,21325973,26028001
,,Single grain,NA,NA,21325974,26028003
Weak,Medium,Subangular blocky,NA,NA,21325975,26028000
Weak,Very fine,Subangular blocky,NA,NA,21325976,26028002
,,Single grain,NA,NA,21325977,26028004
Weak,Medium,Subangular blocky,NA,NA,21325978,26028005
Moderate,Medium,Subangular blocky,NA,NA,21325979,26028007
,,Massive,NA,NA,21325980,26028009
Weak,Medium,Subangular blocky,NA,NA,21325981,26028006
Moderate,Medium,Subangular blocky,NA,NA,21325982,26028008
,,Massive,NA,NA,21325983,26028010
