structgrpname,rvindicator,chkey,chstructgrpkey
moderate fine subangular blocky structure,Yes,42963012,21326237
weak fine prismatic structure,Yes,42963013,21326238
weak very fine and fine subangular blocky structure,Yes,42963014,21326239
massive,Yes,42963015,21326240
weak medium subangular blocky structure,Yes,42963016,21327084
weak coarse prismatic structure,Yes,42963017,21327085
weak medium subangular blocky structure,Yes,42963018,21327086
massive,Yes,42963019,21327087
moderate fine subangular blocky structure,Yes,42963020,21326241
weak fine prismatic structure,Yes,42963021,21326242
weak very fine and fine subangular blocky structure,Yes,42963022,21326243
massive,Yes,42963023,21326244
weak medium subangular blocky structure,Yes,42963024,21327088
weak coarse prismatic structure,Yes,42963025,21327089
weak medium subangular blocky structure,Yes,42963026,21327090
massive,Yes,42963027,21327091
moderate medium granular structure,Yes,42963028,21326897
weak fine prismatic structure,Yes,42963029,21326898
strong fine granular structure,Yes,42963031,21327014
massive,Yes,42963032,21327015
moderate medium granular structure,Yes,42963033,21326899
weak fine prismatic structure,Yes,42963034,21326900
strong fine granular structure,Yes,42963036,21327016
massive,Yes,42963037,21327017
moderate fine granular structure,Yes,42963050,21326249
moderate coarse prismatic structure,Yes,42963051,21326250
massive,Yes,42963052,21326251
weak medium subangular blocky structure,Yes,42963053,21327092
weak coarse prismatic structure,Yes,42963054,21327093
weak medium subangular blocky structure,Yes,42963055,21327094
massive,Yes,42963056,21327095
moderate very fine granular structure,Yes,42963057,21327162
massive,Yes,42963058,21327163
massive,Yes,42963059,21327164
moderate medium granular structure,Yes,42963060,21326901
weak fine prismatic structure,Yes,42963061,21326902
moderate fine granular structure,Yes,42963063,21326252
moderate coarse prismatic structure,Yes,42963064,21326253
massive,Yes,42963065,21326254
moderate very fine granular structure,Yes,42963066,21327159
massive,Yes,42963067,21327160
massive,Yes,42963068,21327161
weak fine prismatic structure,Yes,42963069,21326904
moderate medium granular structure,Yes,42963071,21326903
weak medium subangular blocky structure,Yes,42963072,21326255
moderate fine subangular blocky structure,Yes,42963073,21326256
weak medium subangular blocky structure,Yes,42963075,21326257
moderate fine subangular blocky structure,Yes,42963076,21326258
moderate medium granular structure,Yes,42963078,21326905
weak fine prismatic structure,Yes,42963079,21326906
weak medium subangular blocky structure,Yes,42963081,21326259
moderate fine subangular blocky structure,Yes,42963082,21326260
weak medium subangular blocky structure,Yes,42963085,21326261
moderate fine subangular blocky structure,Yes,42963086,21326262
moderate and strong fine subangular blocky structure,Yes,42963110,21326278
weak coarse subangular blocky structure,Yes,42963111,21326279
moderate and strong fine subangular blocky structure,Yes,42963114,21326280
weak coarse subangular blocky structure,Yes,42963115,21326281
