texcl,lieutex,chtgkey,chtkey
Silt loam,,84935563,86423832
Clay loam,,84935564,86424839
Silt loam,,84935577,86423833
Clay loam,,84935578,86423834
Clay loam,,84935579,86423835
Loam,,84935580,86423836
Sandy loam,,84935581,86425003
Clay,,84935594,86425205
Silty clay,,84935595,86425206
Clay,,84935596,86425207
Sandy clay,,84935597,86425208
Clay loam,,84935628,86425522
Clay loam,,84935629,86424722
Sand,,84935630,86424723
Sand,,84935631,86424724
Clay,,84935644,86423093
Clay,,84935645,86423415
Clay,,84935646,86423248
Sandy clay,,84935647,86423416
Clay,,84935648,86423112
Silty clay loam,,84935661,86423114
Clay,,84935662,86423115
,Weathered bedrock,84935663,86423429
Silty clay,,84935664,86423840
,Slightly decomposed plant material,84935711,86423911
Silty clay loam,,84935712,86423857
Silty clay,,84935713,86423858
Silty clay loam,,84935714,86423859
Coarse sand,,84935728,86423866
Sand,,84935729,86425025
Loamy sand,,84935730,86424861
Loamy sand,,84935761,86425031
Sand,,84935762,86424869
Silty clay,,84935763,86424151
Clay,,84935764,86423481
,Weathered bedrock,84935778,86424157
Silty clay loam,,84935795,86424019
Clay,,84935796,86424020
Loam,,84935829,86423883
Clay loam,,84935830,86423884
Silty clay loam,,84935831,86425044
,Weathered bedrock,84935862,86424034
Silty clay loam,,84935863,86423263
Clay,,84935864,86423430
,Weathered bedrock,84935865,86423264
Silty clay,,84935895,86424684
Clay,,84935896,86424685
Sandy clay,,84935897,86424686
Silty clay loam,,84935898,86424038
Clay loam,,84935979,86425060
,Weathered bedrock,84935980,86424900
Clay loam,,84935981,86424044
Silty clay loam,,84935982,86424045
Loam,,84935998,86423542
Clay loam,,84936112,86423970
Clay,,84936113,86423464
Silty clay loam,,84936114,86423116
Silty clay,,84936115,86423117
Loamy sand,,84936196,86423514
Sand,,84936197,86426119
,Gravel,84936197,86426120
Sandy loam,,84936198,86424184
Coarse sand,,84936199,86423515
Sandy loam,,84936213,86424187
Silty clay loam,,84936214,86424188
Silt loam,,84936215,86423518
Silty clay loam,,84936216,86424346
Silt loam,,84936229,86424353
,Weathered bedrock,84936230,86424190
Clay loam,,84935565,86425001
Sandy loam,,84935567,86425002
Clay loam,,84935574,86424720
Sand,,84935576,86425519
Loam,,84935583,86425004
Clay,,84935585,86425520
Sand,,84935590,86425245
Clay,,84935592,86423774
Clay,,84935599,86423777
Clay,,84935601,86425636
Clay,,84935624,86424845
Clay,,84935626,86425521
Clay,,84935633,86423095
Clay,,84935635,86423097
Silt loam,,84935640,86425008
Clay,,84935642,86423997
,Weathered bedrock,84935649,86423113
Silty clay,,84935651,86424846
Silty clay,,84935658,86425011
,Weathered bedrock,84935660,86425012
Clay,,84935665,86423841
Clay,,84935667,86423843
,Unweathered bedrock,84935715,86425023
Silty clay loam,,84935717,86423860
Silty clay loam,,84935719,86423862
Silty clay loam,,84935724,86424860
Sand,Gravel,84935726,86425428
Silty clay loam,,84935740,86423867
Loam,,84935742,86423869
Silt loam,,84935749,86424012
Silty clay loam,,84935751,86424014
Silty clay loam,,84935758,86423873
Sand,,84935760,86424868
,Weathered bedrock,84935765,86424152
Silty clay loam,,84935767,86424312
Clay,,84935769,86424314
,Weathered bedrock,84935774,86424493
Silty clay,,84935776,86424156
Silty clay loam,,84935785,86424872
Silty clay,,84935792,86425036
Silty clay,,84935794,86424018
Loam,,84935833,86424029
Silty clay loam,,84935835,86424882
Silty clay loam,,84935858,86424888
Clay,,84935860,86424889
Silty clay,,84935892,86423783
Clay,,84935894,86424683
Silty clay loam,,84935899,86424039
Silty clay,,84935901,86424893
Silty clay loam,,84935974,86424041
,Weathered bedrock,84935976,86424043
Silty clay loam,,84935978,86424899
Clay loam,,84935983,86424046
,Weathered bedrock,84935985,86425061
Silty clay loam,,84935999,86424213
Loam,,84936001,86424214
Loam,,84936003,86424545
Silty clay,,84936108,86423463
Clay,,84936110,86423968
Sand,,84936117,86426117
,Gravel,84936117,86426118
Coarse sand,,84936194,86424516
Loamy sand,,84936201,86424519
Clay loam,,84936203,86424341
Loam,,84936208,86424186
Clay loam,,84936210,86424343
Loam,,84936212,86424345
Silt loam,,84936217,86424347
Silty clay,,84936219,86424349
Silt loam,,84936226,86424350
Clay loam,,84936228,86424352
