texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
GR-SIL,No ,Yes,Gravelly silt loam,42963012,84935563
GR-CL,No ,Yes,Gravelly clay loam,42963013,84935564
GRV-CL,No ,Yes,Very gravelly clay loam,42963014,84935565
GRV-L,No ,No ,Very gravelly loam,42963014,84935566
GRX-SL,No ,Yes,Extremely gravelly sandy loam,42963015,84935567
GRX-L,No ,No ,Extremely gravelly loam,42963015,84935568
GRV-L,No ,No ,Very gravelly loam,42963015,84935569
GR-SICL,No ,Yes,Gravelly silty clay loam,42963016,84935570
GR-C,No ,Yes,Gravelly clay,42963017,84935571
GR-SIC,No ,No ,Gravelly silty clay,42963017,84935572
GRV-CL,No ,Yes,Very gravelly clay loam,42963018,84935573
GRX-CL,No ,No ,Extremely gravelly clay loam,42963018,84935574
GRV-S,No ,Yes,Very gravelly sand,42963019,84935575
GRX-S,No ,No ,Extremely gravelly sand,42963019,84935576
GR-SIL,No ,Yes,Gravelly silt loam,42963020,84935577
GR-CL,No ,Yes,Gravelly clay loam,42963021,84935578
GRV-CL,No ,Yes,Very gravelly clay loam,42963022,84935579
GRV-L,No ,No ,Very gravelly loam,42963022,84935580
GRX-SL,No ,Yes,Extremely gravelly sandy loam,42963023,84935581
GRX-L,No ,No ,Extremely gravelly loam,42963023,84935582
GRV-L,No ,No ,Very gravelly loam,42963023,84935583
GR-SICL,No ,Yes,Gravelly silty clay loam,42963024,84935584
GR-C,No ,Yes,Gravelly clay,42963025,84935585
GR-SIC,No ,No ,Gravelly silty clay,42963025,84935586
GRV-CL,No ,Yes,Very gravelly clay loam,42963026,84935587
GRX-CL,No ,No ,Extremely gravelly clay loam,42963026,84935588
GRV-S,No ,Yes,Very gravelly sand,42963027,84935589
GRX-S,No ,No ,Extremely gravelly sand,42963027,84935590
SICL,No ,Yes,Silty clay loam,42963028,84935591
C,No ,Yes,Clay,42963029,84935592
WB,No ,Yes,Weathered bedrock,42963030,84935593
C,No ,Yes,Clay,42963031,84935594
SIC,No ,Yes,Silty clay,42963032,84935595
C,No ,No ,Clay,42963032,84935596
SC,No ,No ,Sandy clay,42963032,84935597
SICL,No ,Yes,Silty clay loam,42963033,84935598
C,No ,Yes,Clay,42963034,84935599
WB,No ,Yes,Weathered bedrock,42963035,84935600
C,No ,Yes,Clay,42963036,84935601
SIC,No ,Yes,Silty clay,42963037,84935602
C,No ,No ,Clay,42963037,84935603
SC,No ,No ,Sandy clay,42963037,84935604
SIL,No ,Yes,Silt loam,42963050,84935622
SICL,No ,Yes,Silty clay loam,42963051,84935623
C,No ,Yes,Clay,42963052,84935624
GR-SICL,No ,Yes,Gravelly silty clay loam,42963053,84935625
GR-C,No ,Yes,Gravelly clay,42963054,84935626
GR-SIC,No ,No ,Gravelly silty clay,42963054,84935627
GRV-CL,No ,Yes,Very gravelly clay loam,42963055,84935628
GRX-CL,No ,No ,Extremely gravelly clay loam,42963055,84935629
GRV-S,No ,Yes,Very gravelly sand,42963056,84935630
GRX-S,No ,No ,Extremely gravelly sand,42963056,84935631
