texmod,chtkey,chtexmodkey
Cobbly,86422972,23798399
Cobbly,86423641,23797796
Very gravelly,86423993,23797631
Cobbly,86425010,23798441
Very gravelly,86425029,23798450
Extremely gravelly,86425243,23798176
Very gravelly,86425244,23797221
Gravelly,86425511,23797065
Gravelly,86425513,23797068
Extremely gravelly,86425514,23797410
Extremely gravelly,86425662,23797210
Gravelly,86425663,23797405
Gravelly,86425664,23797212
Very cobbly,86423542,23798483
Cobbly,86423840,23798443
Cobbly,86423857,23797640
Very gravelly,86423858,23797847
Very cobbly,86423859,23797641
Gravelly,86423976,23797625
Very gravelly,86424861,23798023
Gravelly,86425545,23797077
Cobbly,86423299,23798397
Gravelly,86423516,23797780
Very gravelly,86423517,23797781
Gravelly,86423630,23798438
Gravelly,86423816,23797628
Very gravelly,86423864,23797850
Cobbly,86423998,23797840
Gravelly,86424185,23797578
Gravelly,86424717,23797415
Gravelly,86424718,23797416
Extremely gravelly,86424867,23798451
Very gravelly,86425671,23797218
Gravelly,86425672,23797414
Gravelly,86423415,23797078
Very gravelly,86423514,23798377
Extremely gravelly,86423515,23797577
Gravelly,86423832,23797837
Gravelly,86423833,23798439
Gravelly,86423834,23797632
Extremely gravelly,86423866,23797851
Gravelly,86424184,23797779
Extremely gravelly,86424869,23798028
Extremely gravelly,86425003,23797839
Very gravelly,86425522,23797418
Very gravelly,86425670,23798168
Very gravelly,86423102,23797227
Cobbly,86423643,23797797
Cobbly,86423863,23797643
Very cobbly,86424547,23798035
Gravelly,86424706,23797403
Cobbly,86424847,23798440
Cobbly,86424849,23797637
Very cobbly,86424863,23798447
Gravelly,86425240,23798172
Very gravelly,86425242,23798175
Gravelly,86425276,23798177
Gravelly,86425510,23797406
Extremely gravelly,86425517,23797071
Very gravelly,86425667,23797214
Gravelly,86425674,23798174
Gravelly,86423209,23797833
Cobbly,86423636,23797795
Very gravelly,86423836,23797633
Gravelly,86423970,23797567
Extremely gravelly,86424722,23797419
Extremely gravelly,86424724,23797421
Very gravelly,86425031,23798027
Gravelly,86425508,23798160
Extremely gravelly,86425515,23797070
Cobbly,86423308,23798400
Cobbly,86423843,23797635
Gravelly,86423873,23797857
Gravelly,86424309,23798012
Very gravelly,86424708,23797061
Very gravelly,86424709,23797407
Very gravelly,86424711,23797409
Very cobbly,86424860,23797644
Cobbly,86425011,23797841
Extremely gravelly,86425245,23797075
Gravelly,86425661,23798161
Cobbly,86423139,23798401
Cobbly,86423842,23797842
Extremely gravelly,86423992,23798016
Gravelly,86424344,23797956
Gravelly,86424525,23797784
Extremely gravelly,86424710,23797408
Extremely gravelly,86424712,23797211
Gravelly,86425028,23797649
Gravelly,86425230,23798162
Gravelly,86425512,23797066
Very gravelly,86423101,23797079
Extremely cobbly,86423544,23798036
Cobbly,86423844,23797636
Gravelly,86423871,23797856
Very stony,86424546,23798034
Gravelly,86424705,23797402
Gravelly,86424707,23797404
Very gravelly,86424866,23798449
Cobbly,86425014,23798018
Very gravelly,86425241,23797217
Gravelly,86425273,23797224
Gravelly,86425509,23797064
Gravelly,86425666,23797213
Gravelly,86423819,23797629
Very gravelly,86423835,23797838
Very gravelly,86424187,23797579
Gravelly,86424353,23797783
Very gravelly,86424723,23797420
Gravelly,86424839,23797630
Very gravelly,86425025,23798022
Extremely gravelly,86425516,23798169
Gravelly,86425548,23798178
Cobbly,86422969,23797798
Cobbly,86423860,23797848
Very cobbly,86423862,23797849
Extremely cobbly,86423869,23797853
Gravelly,86424012,23797854
Gravelly,86424014,23797855
Extremely cobbly,86424214,23797659
Gravelly,86424714,23797413
Gravelly,86424716,23797069
Cobbly,86424889,23798033
Very gravelly,86425507,23797062
Cobbly,86423133,23798398
Cobbly,86423301,23797967
Cobbly,86423644,23797968
Gravelly,86423810,23797626
Very gravelly,86424721,23797219
Extremely gravelly,86424841,23797634
Cobbly,86424848,23798442
Gravelly,86425030,23797651
Extremely gravelly,86425232,23797209
Extremely gravelly,86425234,23798165
Gravelly,86425239,23798171
Extremely gravelly,86425518,23797072
Extremely gravelly,86425659,23797207
Gravelly,86423813,23797627
Cobbly,86424211,23797966
Very stony,86424213,23798484
Gravelly,86424345,23797782
Very cobbly,86424545,23797866
Extremely gravelly,86424713,23797412
Very gravelly,86425231,23798163
Very gravelly,86425233,23797063
Very gravelly,86425665,23798164
Very cobbly,86423543,23797865
Very gravelly,86423861,23797642
Gravelly,86423872,23797650
Gravelly,86424013,23797648
Gravelly,86424515,23798374
Gravelly,86424715,23797215
Very gravelly,86424840,23798014
Extremely gravelly,86425660,23797208
Gravelly,86425676,23797223
Very stony,86423867,23798448
Extremely gravelly,86424516,23798375
Very gravelly,86424519,23798379
Extremely gravelly,86424720,23797073
Very gravelly,86424868,23798026
Very gravelly,86425001,23798013
Extremely gravelly,86425002,23798015
Very gravelly,86425004,23798017
Very gravelly,86425235,23798166
Gravelly,86425238,23798170
Extremely gravelly,86425519,23797074
Gravelly,86425520,23798173
Gravelly,86425521,23797076
Gravelly,86423096,23797226
Gravelly,86423865,23797645
Very cobbly,86423868,23797647
Very gravelly,86424517,23798376
Very gravelly,86424518,23798378
Very gravelly,86424719,23797417
Extremely gravelly,86425236,23798167
Gravelly,86425237,23797067
Very gravelly,86425669,23797216
Gravelly,86425673,23797220
Very gravelly,86425668,23797411
Gravelly,86425675,23797222
