unifiedcl,rvindicator,chkey,chunifiedkey
ML,Yes,42963012,80996160
CL,No ,42963013,80996161
GC,Yes,42963013,80996162
GC,No ,42963014,80996163
GM,Yes,42963014,80996164
GM,Yes,42963015,80996165
GP-GM,No ,42963015,80996166
CL,No ,42963016,80996167
ML,Yes,42963016,80996168
CH,Yes,42963017,80996169
GC,No ,42963018,80996170
GM,Yes,42963018,80996171
GP,No ,42963019,80996172
GW,Yes,42963019,80996173
ML,Yes,42963020,80996174
CL,No ,42963021,80996175
GC,Yes,42963021,80996176
GC,No ,42963022,80996177
GM,Yes,42963022,80996178
GM,Yes,42963023,80996179
GP-GM,No ,42963023,80996180
CL,No ,42963024,80996181
ML,Yes,42963024,80996182
CH,Yes,42963025,80996183
GC,No ,42963026,80996184
GM,Yes,42963026,80996185
GP,No ,42963027,80996186
GW,Yes,42963027,80996187
CL,Yes,42963028,80996188
CH,Yes,42963029,80996189
CH,Yes,42963031,80996190
CH,Yes,42963032,80996191
CL,Yes,42963033,80996192
CH,Yes,42963034,80996193
CH,Yes,42963036,80996194
CH,Yes,42963037,80996195
ML,Yes,42963050,80996208
ML,Yes,42963051,80996209
CH,Yes,42963052,80996210
CL,No ,42963053,80996211
ML,Yes,42963053,80996212
CH,Yes,42963054,80996213
GC,No ,42963055,80996214
GM,Yes,42963055,80996215
GP,No ,42963056,80996216
GW,Yes,42963056,80996217
CH,Yes,42963057,80996218
CH,Yes,42963058,80996219
CH,Yes,42963059,80996220
CL,No ,42963059,80996221
CL,Yes,42963060,80996222
CH,Yes,42963061,80996223
ML,Yes,42963063,80996224
ML,Yes,42963064,80996225
CH,Yes,42963065,80996226
CL,Yes,42963066,80996227
CH,Yes,42963067,80996228
CH,Yes,42963068,80996229
CL,No ,42963068,80996230
CH,Yes,42963069,80996231
CL,Yes,42963071,80996232
CH,Yes,42963072,80996233
CH,Yes,42963073,80996234
CH,Yes,42963075,80996235
CH,Yes,42963076,80996236
CL,Yes,42963078,80996237
CH,Yes,42963079,80996238
CH,Yes,42963081,80996239
CH,Yes,42963082,80996240
CH,Yes,42963085,80996241
CH,Yes,42963086,80996242
PT,Yes,42963109,80996275
CL,No ,42963110,80996276
ML,Yes,42963110,80996277
CL,No ,42963111,80996278
GC,Yes,42963111,80996279
PT,Yes,42963113,80996280
CL,No ,42963114,80996281
ML,Yes,42963114,80996282
CL,No ,42963115,80996283
GC,Yes,42963115,80996284
PT,Yes,42963117,80996285
CL,No ,42963118,80996286
ML,Yes,42963118,80996287
CL,No ,42963119,80996288
GC,Yes,42963119,80996289
GM,Yes,42963122,80996290
SM,Yes,42963122,80996291
GP,Yes,42963123,80996292
GP-GM,Yes,42963123,80996293
GM,Yes,42963130,80996298
GC,Yes,42963131,80996299
CL-ML,No ,42963136,80996307
GC-GM,No ,42963136,80996308
GM,No ,42963136,80996309
ML,Yes,42963136,80996310
CL,No ,42963137,80996311
GM,Yes,42963137,80996312
ML,No ,42963137,80996313
SM,No ,42963137,80996314
GP,No ,42963138,80996315
GP-GM,Yes,42963138,80996316
SP,No ,42963138,80996317
SP-SM,No ,42963138,80996318
CL-ML,No ,42963139,80996319
GC-GM,No ,42963139,80996320
GM,No ,42963139,80996321
ML,Yes,42963139,80996322
CL,No ,42963140,80996323
GM,Yes,42963140,80996324
ML,No ,42963140,80996325
SM,No ,42963140,80996326
GP,No ,42963141,80996327
GP-GM,Yes,42963141,80996328
SP,No ,42963141,80996329
SP-SM,No ,42963141,80996330
MH,Yes,42963142,80996331
CL,Yes,42963144,80996332
CL,Yes,42963145,80996333
MH,Yes,42963146,80996334
CL,Yes,42963148,80996335
MH,Yes,42963149,80996336
CL,Yes,42963151,80996337
MH,Yes,42963152,80996338
CL,Yes,42963157,80996343
MH,Yes,42963158,80996344
MH,Yes,42963159,80996345
ML,No ,42963159,80996346
CL,Yes,42963160,80996347
MH,Yes,42963161,80996348
MH,Yes,42963162,80996349
ML,No ,42963162,80996350
ML,Yes,42963181,80996383
ML,Yes,42963182,80996384
ML,Yes,42963184,80996385
ML,Yes,42963185,80996386
ML,Yes,42963187,80996387
ML,Yes,42963188,80996388
CL,Yes,42963198,80996399
CL,Yes,42963199,80996400
CH,Yes,42963200,80996401
CL,Yes,42963202,80996402
CH,Yes,42963203,80996403
CL,Yes,42963205,80996404
CH,Yes,42963206,80996405
CL,No ,42963225,80996426
ML,Yes,42963225,80996427
CH,No ,42963226,80996428
MH,Yes,42963226,80996429
CH,Yes,42963227,80996430
CH,Yes,42963228,80996431
ML,Yes,42963229,80996432
ML,Yes,42963230,80996433
MH,Yes,42963231,80996434
ML,Yes,42963283,80996508
ML,Yes,42963284,80996509
ML,Yes,42963286,80996510
ML,Yes,42963287,80996511
ML,Yes,42963289,80996512
ML,Yes,42963290,80996513
ML,Yes,42963293,80996514
ML,Yes,42963294,80996515
GM,Yes,42963302,80996522
GC,Yes,42963303,80996523
GM,Yes,42963305,80996524
GC,Yes,42963306,80996525
ML,Yes,42963376,80996620
CH,No ,42963377,80996621
CL,Yes,42963377,80996622
ML,Yes,42963378,80996623
CL,No ,42963379,80996624
ML,Yes,42963379,80996625
CH,No ,42963380,80996626
MH,Yes,42963380,80996627
GM,No ,42963425,80996683
SM,Yes,42963425,80996684
GP,No ,42963426,80996685
GP-GM,No ,42963426,80996686
GW-GM,Yes,42963426,80996687
GM,No ,42963428,80996688
SM,Yes,42963428,80996689
GP,No ,42963429,80996690
GP-GM,Yes,42963429,80996691
ML,Yes,42963430,80996692
SM,Yes,42963431,80996693
GM,Yes,42963432,80996694
ML,Yes,42963433,80996695
ML,Yes,42963434,80996696
ML,Yes,42963435,80996697
SM,Yes,42963436,80996698
GM,Yes,42963437,80996699
CL,Yes,42963438,80996700
ML,Yes,42963439,80996701
CL,Yes,42963440,80996702
CL,Yes,42963441,80996703
CL,Yes,42963442,80996704
ML,Yes,42963443,80996705
ML,Yes,42963444,80996706
ML,Yes,42963445,80996707
ML,Yes,42963447,80996708
ML,Yes,42963448,80996709
ML,Yes,42963450,80996710
ML,Yes,42963451,80996711
SM,Yes,42963452,80996712
ML,Yes,42963456,80996716
ML,Yes,42963457,80996717
SM,Yes,42963458,80996718
CL,Yes,42963459,80996719
CL,Yes,42963460,80996720
ML,Yes,42963461,80996721
SM,No ,42963461,80996722
CL,Yes,42963462,80996723
CH,Yes,42963463,80996724
CL,No ,42963463,80996725
ML,Yes,42963464,80996726
CL,Yes,42963465,80996727
CL,Yes,42963466,80996728
ML,Yes,42963467,80996729
SM,No ,42963467,80996730
CL,Yes,42963468,80996731
CH,Yes,42963469,80996732
CL,No ,42963469,80996733
ML,Yes,42963470,80996734
CL,Yes,42963471,80996735
CH,Yes,42963472,80996736
CL,No ,42963472,80996737
ML,Yes,42963473,80996738
CL,Yes,42963474,80996739
CH,Yes,42963475,80996740
MH,No ,42963475,80996741
CH,Yes,42963476,80996742
MH,No ,42963476,80996743
CH,Yes,42963477,80996744
CH,Yes,42963478,80996745
CL,No ,42963479,80996746
ML,Yes,42963479,80996747
CH,Yes,42963480,80996748
GC,No ,42963481,80996749
GM,Yes,42963481,80996750
GP,No ,42963482,80996751
GW,Yes,42963482,80996752
CL,Yes,42963483,80996753
CH,Yes,42963484,80996754
MH,No ,42963484,80996755
CH,Yes,42963485,80996756
MH,No ,42963485,80996757
CH,Yes,42963486,80996758
CH,Yes,42963487,80996759
CH,Yes,42963488,80996760
CL,No ,42963488,80996761
CL,Yes,42963489,80996762
CH,Yes,42963490,80996763
PT,Yes,42963500,80996779
CL,No ,42963501,80996780
ML,Yes,42963501,80996781
MH,Yes,42963502,80996782
PT,Yes,42963503,80996783
ML,Yes,42963504,80996784
MH,Yes,42963505,80996785
MH,Yes,42963506,80996786
ML,Yes,42963513,80996795
ML,Yes,42963514,80996796
CH,Yes,42963515,80996797
CH,Yes,42963516,80996798
CL,Yes,42963517,80996799
CH,Yes,42963518,80996800
MH,No ,42963518,80996801
CH,Yes,42963519,80996802
MH,No ,42963519,80996803
CH,Yes,42963520,80996804
CH,Yes,42963521,80996805
CL,Yes,42963522,80996806
CH,Yes,42963523,80996807
CL,No ,42963523,80996808
ML,Yes,42963524,80996809
CL,No ,42963525,80996810
ML,Yes,42963525,80996811
CH,Yes,42963526,80996812
GC,No ,42963527,80996813
GM,Yes,42963527,80996814
GP,No ,42963528,80996815
GW,Yes,42963528,80996816
CL,Yes,42963529,80996817
CH,Yes,42963530,80996818
CH,Yes,42963531,80996819
CL,No ,42963531,80996820
ML,Yes,42963532,80996821
ML,Yes,42963533,80996822
SM,No ,42963533,80996823
SM,Yes,42963534,80996824
GM,Yes,42963535,80996825
ML,Yes,42963536,80996826
ML,Yes,42963537,80996827
CH,Yes,42963538,80996828
CL,Yes,42963558,80996859
CH,Yes,42963559,80996860
CL,Yes,42963561,80996861
CH,Yes,42963562,80996862
CL,Yes,42963564,80996863
CH,Yes,42963565,80996864
CL,Yes,42963567,80996865
CH,Yes,42963568,80996866
CL,Yes,42963570,80996867
CL,Yes,42963571,80996868
CH,Yes,42963572,80996869
CL,Yes,42963575,80996870
CH,Yes,42963576,80996871
CH,Yes,42963577,80996872
CH,Yes,42963578,80996873
CL,Yes,42963580,80996874
CL,Yes,42963581,80996875
CH,Yes,42963582,80996876
CH,Yes,42963584,80996877
CL,Yes,42963586,80996878
CL,Yes,42963587,80996879
CH,Yes,42963588,80996880
CH,Yes,42963590,80996881
CH,Yes,42963591,80996882
CL,Yes,42963593,80996883
CL,Yes,42963594,80996884
CH,Yes,42963595,80996885
ML,Yes,42963604,80996900
ML,Yes,42963605,80996901
CL,Yes,42963607,80996902
CH,Yes,42963608,80996903
ML,Yes,42963617,80996911
ML,Yes,42963618,80996912
MH,Yes,42963619,80996913
CL,No ,42963620,80996914
ML,Yes,42963620,80996915
CH,No ,42963621,80996916
MH,Yes,42963621,80996917
SM,Yes,42963622,80996918
SM,Yes,42963623,80996919
SM,Yes,42963624,80996920
CL,Yes,42963637,80996937
CH,Yes,42963638,80996938
MH,No ,42963638,80996939
CH,Yes,42963639,80996940
MH,No ,42963639,80996941
CH,Yes,42963640,80996942
CH,Yes,42963641,80996943
CL,Yes,42963642,80996944
CH,Yes,42963643,80996945
CL,No ,42963643,80996946
ML,Yes,42963644,80996947
ML,Yes,42963645,80996948
ML,Yes,42963646,80996949
CH,Yes,42963647,80996950
CH,Yes,42963648,80996951
CL,Yes,42963668,80996979
CL,Yes,42963669,80996980
CH,Yes,42963670,80996981
CL,Yes,42963672,80996982
CH,Yes,42963673,80996983
CL,Yes,42963675,80996984
CL,Yes,42963676,80996985
CH,Yes,42963677,80996986
CL,Yes,42963679,80996987
CH,Yes,42963680,80996988
CL,No ,42963714,80997032
ML,Yes,42963714,80997033
CH,Yes,42963715,80997034
CL,Yes,42963716,80997035
CH,Yes,42963717,80997036
MH,No ,42963717,80997037
CH,Yes,42963718,80997038
MH,No ,42963718,80997039
ML,Yes,42963719,80997040
ML,Yes,42963720,80997041
CH,Yes,42963721,80997042
CH,Yes,42963722,80997043
CL,Yes,42963750,80997068
CH,Yes,42963751,80997069
MH,No ,42963751,80997070
CH,Yes,42963752,80997071
MH,No ,42963752,80997072
CH,Yes,42963753,80997073
CH,Yes,42963754,80997074
CL,Yes,42963755,80997075
CH,Yes,42963756,80997076
CL,No ,42963756,80997077
ML,Yes,42963757,80997078
ML,Yes,42963778,80997107
CL,Yes,42963779,80997108
ML,Yes,42963882,80997233
CL,Yes,42963883,80997234
ML,Yes,42963884,80997235
ML,Yes,42963885,80997236
CL,Yes,42963886,80997237
ML,Yes,42963887,80997238
CL,No ,42963890,80997242
ML,Yes,42963890,80997243
CL,Yes,42963891,80997244
CL,No ,42963892,80997245
ML,Yes,42963892,80997246
CH,No ,42963893,80997247
MH,Yes,42963893,80997248
ML,Yes,42963895,80997249
CL,Yes,42963896,80997250
ML,No ,42963896,80997251
CL,Yes,42963897,80997252
GC,No ,42963897,80997253
ML,Yes,42963898,80997254
ML,Yes,42963899,80997255
MH,Yes,42963900,80997256
CH,Yes,42963916,80997272
CH,Yes,42963917,80997273
CL,Yes,42963918,80997274
CH,Yes,42963919,80997275
MH,No ,42963919,80997276
CH,Yes,42963920,80997277
MH,No ,42963920,80997278
CL,Yes,42963921,80997279
CH,Yes,42963922,80997280
CL,No ,42963922,80997281
ML,Yes,42963923,80997282
CL,No ,42963924,80997283
ML,Yes,42963924,80997284
CH,Yes,42963925,80997285
GC,No ,42963926,80997286
GM,Yes,42963926,80997287
GP,No ,42963927,80997288
GW,Yes,42963927,80997289
CL,Yes,42963928,80997290
CH,Yes,42963929,80997291
CH,Yes,42963930,80997292
CL,No ,42963930,80997293
PT,Yes,42963939,80997304
CL,No ,42963940,80997305
ML,Yes,42963940,80997306
MH,Yes,42963941,80997307
CL,Yes,42963962,80997333
CH,Yes,42963963,80997334
CH,Yes,42963964,80997335
CL,No ,42963964,80997336
CH,Yes,42963965,80997337
CH,Yes,42963966,80997338
CL,No ,42963967,80997339
ML,Yes,42963967,80997340
CH,Yes,42963968,80997341
GC,No ,42963969,80997342
GM,Yes,42963969,80997343
GP,No ,42963970,80997344
GW,Yes,42963970,80997345
ML,Yes,42963971,80997346
ML,Yes,42963972,80997347
CH,Yes,42963973,80997348
CH,Yes,42963974,80997349
CH,Yes,42963975,80997350
CH,Yes,42963976,80997351
CH,Yes,42963977,80997352
CL,No ,42963977,80997353
CH,Yes,42963978,80997354
CH,Yes,42963979,80997355
CL,No ,42963980,80997356
ML,Yes,42963980,80997357
CH,Yes,42963981,80997358
GC,No ,42963982,80997359
GM,Yes,42963982,80997360
GP,No ,42963983,80997361
GW,Yes,42963983,80997362
ML,Yes,42963984,80997363
CH,Yes,42963985,80997364
CH,Yes,42963986,80997365
ML,Yes,42963987,80997366
CL,Yes,42963988,80997367
CH,Yes,42963989,80997368
CH,Yes,42963990,80997369
CL,No ,42963990,80997370
CL,Yes,42963991,80997371
CH,Yes,42963992,80997372
MH,No ,42963992,80997373
CH,Yes,42963993,80997374
MH,No ,42963993,80997375
CH,Yes,42963994,80997376
CH,Yes,42963995,80997377
CL,No ,42963996,80997378
ML,Yes,42963996,80997379
CH,Yes,42963997,80997380
GC,No ,42963998,80997381
GM,Yes,42963998,80997382
GP,No ,42963999,80997383
GW,Yes,42963999,80997384
CL,Yes,42964000,80997385
CH,Yes,42964001,80997386
CL,No ,42964001,80997387
ML,Yes,42964002,80997388
PT,Yes,42964008,80997397
ML,Yes,42964009,80997398
CL,Yes,42964010,80997399
GC,No ,42964010,80997400
PT,Yes,42964012,80997401
ML,Yes,42964013,80997402
CL,Yes,42964014,80997403
GC,No ,42964014,80997404
PT,Yes,42964016,80997405
ML,Yes,42964017,80997406
CL,Yes,42964018,80997407
GC,No ,42964018,80997408
