cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Barley,Bu,NA,50,NA,NA,NA,NA,NA,NA,14896856,31350534
Snap beans,Bu,NA,NA,NA,NA,330,NA,NA,NA,14896856,31350535
Blackberries,Tons,NA,NA,NA,NA,4,NA,NA,NA,14896856,31350536
Sweet corn,Tons,NA,NA,NA,NA,6,NA,NA,NA,14896856,31350537
Pasture,AUM,NA,7,NA,NA,15,NA,NA,NA,14896856,31350538
Winter wheat,Bu,NA,50,NA,NA,NA,NA,NA,NA,14896856,31350539
Barley,Bu,NA,50,NA,NA,NA,NA,NA,NA,14896857,31350540
Snap beans,Bu,NA,NA,NA,NA,270,NA,NA,NA,14896857,31350541
Blackberries,Tons,NA,2.5,NA,NA,NA,NA,NA,NA,14896857,31350542
Common ryegrass seed,Lbs,NA,1400,NA,NA,NA,NA,NA,NA,14896857,31350543
Sweet corn,Tons,NA,NA,NA,NA,4,NA,NA,NA,14896857,31350544
Pasture,AUM,NA,8,NA,NA,12,NA,NA,NA,14896857,31350545
Perennial ryegrass seed,Lbs,NA,900,NA,NA,NA,NA,NA,NA,14896857,31350546
Barley,Bu,NA,50,NA,NA,NA,NA,NA,NA,14896858,31350547
Snap beans,Bu,NA,NA,NA,NA,330,NA,NA,NA,14896858,31350548
Blackberries,Tons,NA,NA,NA,NA,4,NA,NA,NA,14896858,31350549
Sweet corn,Tons,NA,NA,NA,NA,6,NA,NA,NA,14896858,31350550
Pasture,AUM,NA,7,NA,NA,15,NA,NA,NA,14896858,31350551
Winter wheat,Bu,NA,50,NA,NA,NA,NA,NA,NA,14896858,31350552
Barley,Bu,NA,50,NA,NA,NA,NA,NA,NA,14896860,31350553
Snap beans,Bu,NA,NA,NA,NA,270,NA,NA,NA,14896860,31350554
Blackberries,Tons,NA,2.5,NA,NA,NA,NA,NA,NA,14896860,31350555
Common ryegrass seed,Lbs,NA,1400,NA,NA,NA,NA,NA,NA,14896860,31350556
Sweet corn,Tons,NA,NA,NA,NA,4,NA,NA,NA,14896860,31350557
Pasture,AUM,NA,8,NA,NA,12,NA,NA,NA,14896860,31350558
Perennial ryegrass seed,Lbs,NA,900,NA,NA,NA,NA,NA,NA,14896860,31350559
Pasture,AUM,NA,5,NA,NA,NA,NA,NA,NA,14896861,31350560
Barley,Bu,NA,42,NA,NA,NA,NA,NA,NA,14896862,31350561
Common ryegrass seed,Lbs,NA,1600,NA,NA,NA,NA,NA,NA,14896862,31350562
Sweet corn,Tons,NA,NA,NA,NA,3,NA,NA,NA,14896862,31350563
Grass hay,Tons,NA,2.4,NA,NA,NA,NA,NA,NA,14896862,31350564
Pasture,AUM,NA,8,NA,NA,12,NA,NA,NA,14896862,31350565
Perennial ryegrass seed,Lbs,NA,700,NA,NA,NA,NA,NA,NA,14896862,31350566
Winter wheat,Bu,NA,40,NA,NA,NA,NA,NA,NA,14896862,31350567
Pasture,AUM,NA,5,NA,NA,NA,NA,NA,NA,14896863,31350568
Barley,Bu,NA,42,NA,NA,NA,NA,NA,NA,14896865,31350569
Common ryegrass seed,Lbs,NA,1600,NA,NA,NA,NA,NA,NA,14896865,31350570
Sweet corn,Tons,NA,NA,NA,NA,3,NA,NA,NA,14896865,31350571
Grass hay,Tons,NA,2.4,NA,NA,NA,NA,NA,NA,14896865,31350572
Pasture,AUM,NA,8,NA,NA,12,NA,NA,NA,14896865,31350573
Perennial ryegrass seed,Lbs,NA,700,NA,NA,NA,NA,NA,NA,14896865,31350574
