plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
BRMA4,Bromus marginatus,mountain brome,1,NA,14896889,64175968
COCO6,Corylus cornuta,beaked hazelnut,1,NA,14896889,64176056
FEOC,Festuca occidentalis,western fescue,1,NA,14896889,64176148
GASH,Gaultheria shallon,salal,1,NA,14896889,64176364
HIAL2,Hieracium albiflorum,white hawkweed,1,NA,14896889,64176384
HODI,Holodiscus discolor,oceanspray,1,NA,14896889,64176395
PTAQP2,Pteridium aquilinum var. pubescens,hairy brackenfern,1,NA,14896889,64177041
ROGY,Rosa gymnocarpa,baldhip rose,1,NA,14896889,64177262
RUUR,Rubus ursinus,trailing blackberry,1,NA,14896889,64177434
SYAL,Symphoricarpos albus,common snowberry,1,NA,14896889,64177536
WHMO,Whipplea modesta,common whipplea,1,NA,14896889,64178027
BRMA4,Bromus marginatus,mountain brome,1,NA,14896890,64175969
COCO6,Corylus cornuta,beaked hazelnut,1,NA,14896890,64176057
FEOC,Festuca occidentalis,western fescue,1,NA,14896890,64176149
GASH,Gaultheria shallon,salal,1,NA,14896890,64176365
HIAL2,Hieracium albiflorum,white hawkweed,1,NA,14896890,64176385
HODI,Holodiscus discolor,oceanspray,1,NA,14896890,64176396
PTAQP2,Pteridium aquilinum var. pubescens,hairy brackenfern,1,NA,14896890,64177042
ROGY,Rosa gymnocarpa,baldhip rose,1,NA,14896890,64177263
RUUR,Rubus ursinus,trailing blackberry,1,NA,14896890,64177435
SYAL,Symphoricarpos albus,common snowberry,1,NA,14896890,64177537
WHMO,Whipplea modesta,common whipplea,1,NA,14896890,64178028
BRMA4,Bromus marginatus,mountain brome,1,NA,14896891,64175970
COCO6,Corylus cornuta,beaked hazelnut,1,NA,14896891,64176058
FEOC,Festuca occidentalis,western fescue,1,NA,14896891,64176150
GASH,Gaultheria shallon,salal,1,NA,14896891,64176366
HIAL2,Hieracium albiflorum,white hawkweed,1,NA,14896891,64176386
HODI,Holodiscus discolor,oceanspray,1,NA,14896891,64176397
PTAQP2,Pteridium aquilinum var. pubescens,hairy brackenfern,1,NA,14896891,64177043
ROGY,Rosa gymnocarpa,baldhip rose,1,NA,14896891,64177264
RUUR,Rubus ursinus,trailing blackberry,1,NA,14896891,64177436
SYAL,Symphoricarpos albus,common snowberry,1,NA,14896891,64177538
WHMO,Whipplea modesta,common whipplea,1,NA,14896891,64178029
ACLEL,Achnatherum lemmonii var. lemmonii,Lemmon's needlegrass,1,NA,14896897,64175779
BRCA5,Bromus carinatus,California brome,5,NA,14896897,64175966
ERLA6,Eriophyllum lanatum,woolly eriophyllum,5,NA,14896897,64176137
ERWR,Eriogonum wrightii,shrubby buckwheat,2,NA,14896897,64176142
FEID,Festuca idahoensis,Idaho fescue,55,NA,14896897,64176145
KOMA,Koeleria macrantha,prairie Junegrass,5,NA,14896897,64176442
LUBR3,Lupinus breweri,Brewer's lupine,5,NA,14896897,64176484
POSE,Poa secunda,Pine bluegrass,5,NA,14896897,64176912
PSSP6,Pseudoroegneria spicata,bluebunch wheatgrass,5,NA,14896897,64177016
COCO6,Corylus cornuta,beaked hazelnut,NA,NA,14896899,64176059
HODI,Holodiscus discolor,oceanspray,NA,NA,14896899,64176398
RONU,Rosa nutkana,Nootka rose,NA,NA,14896899,64177296
TODI,Toxicodendron diversilobum,Pacific poison oak,NA,NA,14896899,64177639
COCO6,Corylus cornuta,beaked hazelnut,NA,NA,14896900,64176106
HODI,Holodiscus discolor,oceanspray,NA,NA,14896900,64176432
RONU,Rosa nutkana,Nootka rose,NA,NA,14896900,64177297
TODI,Toxicodendron diversilobum,Pacific poison oak,NA,NA,14896900,64177640
2GP,,other perennial grasses,NA,NA,14896902,64175525
2SD,,other  shrubs,NA,NA,14896902,64175553
ACMA3,Acer macrophyllum,bigleaf maple,NA,NA,14896902,64175785
COCO6,Corylus cornuta,beaked hazelnut,NA,NA,14896902,64176107
MANE2,Mahonia nervosa,Cascade Oregongrape,NA,NA,14896902,64176624
PSME,Pseudotsuga menziesii,Douglas-fir,NA,NA,14896902,64176921
