plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896889,20743889
PIPO,Pinus ponderosa,ponderosa pine,,NA,NA,NA,NA,NA,NA,14896889,20744149
PSME,Pseudotsuga menziesii,Douglas-fir,King 1966 (795),NA,107,NA,NA,149,NA,14896889,20744472
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896890,20743890
PIPO,Pinus ponderosa,ponderosa pine,,NA,NA,NA,NA,NA,NA,14896890,20744150
PSME,Pseudotsuga menziesii,Douglas-fir,King 1966 (795),NA,107,NA,NA,149,NA,14896890,20744473
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896891,20743891
PIPO,Pinus ponderosa,ponderosa pine,,NA,NA,NA,NA,NA,NA,14896891,20744151
PSME,Pseudotsuga menziesii,Douglas-fir,King 1966 (795),NA,107,NA,NA,149,NA,14896891,20744474
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896899,20743992
PIPO,Pinus ponderosa,ponderosa pine,,NA,NA,NA,NA,NA,NA,14896899,20744152
PSME,Pseudotsuga menziesii,Douglas-fir,,NA,NA,NA,NA,NA,NA,14896899,20744465
QUGA4,Quercus garryana,Oregon white oak,,NA,NA,NA,NA,NA,NA,14896899,20744476
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896900,20743993
PIPO,Pinus ponderosa,ponderosa pine,,NA,NA,NA,NA,NA,NA,14896900,20744153
PSME,Pseudotsuga menziesii,Douglas-fir,,NA,NA,NA,NA,NA,NA,14896900,20744466
QUGA4,Quercus garryana,Oregon white oak,,NA,NA,NA,NA,NA,NA,14896900,20744477
ABGR,Abies grandis,grand fir,,NA,NA,NA,NA,NA,NA,14896902,20743816
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896902,20743994
PSME,Pseudotsuga menziesii,Douglas-fir,King 1966 (795),NA,115,NA,NA,163,NA,14896902,20744467
QUGA4,Quercus garryana,Oregon white oak,,NA,NA,NA,NA,NA,NA,14896902,20744478
ABGR,Abies grandis,grand fir,,NA,NA,NA,NA,NA,NA,14896903,20743817
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896903,20743995
PSME,Pseudotsuga menziesii,Douglas-fir,King 1966 (795),NA,115,NA,NA,163,NA,14896903,20744468
QUGA4,Quercus garryana,Oregon white oak,,NA,NA,NA,NA,NA,NA,14896903,20744479
ABGR,Abies grandis,grand fir,,NA,NA,NA,NA,NA,NA,14896904,20743818
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896904,20743996
PSME,Pseudotsuga menziesii,Douglas-fir,King 1966 (795),NA,115,NA,NA,163,NA,14896904,20744469
QUGA4,Quercus garryana,Oregon white oak,,NA,NA,NA,NA,NA,NA,14896904,20744480
ABGR,Abies grandis,grand fir,,NA,NA,NA,NA,NA,NA,14896905,20743819
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896905,20743997
PSME,Pseudotsuga menziesii,Douglas-fir,King 1966 (795),NA,115,NA,NA,163,NA,14896905,20744458
QUGA4,Quercus garryana,Oregon white oak,,NA,NA,NA,NA,NA,NA,14896905,20744481
ABGR,Abies grandis,grand fir,,NA,NA,NA,NA,NA,NA,14896907,20743862
ACMA3,Acer macrophyllum,bigleaf maple,,NA,NA,NA,NA,NA,NA,14896907,20743987
ALRU2,Alnus rubra,red alder,,NA,NA,NA,NA,NA,NA,14896907,20744071
