geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,terraces,,NA,NA,Yes,14896856,21870248
Landform,depressions,,NA,NA,Yes,14896857,21870110
Landform,terraces,,NA,NA,Yes,14896858,21870249
Landform,depressions,,NA,NA,Yes,14896860,21870111
Landform,benches,,1,3,Yes,14896861,21870108
Landform,swales,,2,3,Yes,14896861,21870236
Landform,hills,,3,NA,Yes,14896861,21870328
Landform,terraces,,NA,NA,Yes,14896862,21870250
Landform,benches,,1,3,Yes,14896863,21870109
Landform,swales,,2,3,Yes,14896863,21870237
Landform,hills,,3,NA,Yes,14896863,21870329
Landform,terraces,,NA,NA,Yes,14896865,21870251
Landform,hills,,NA,NA,Yes,14896869,21870330
Landform,fans,,NA,NA,Yes,14896869,21870321
Landform,depressions,,NA,NA,Yes,14896870,21870113
Landform,terraces,,NA,NA,Yes,14896871,21870252
Landform,swales,,NA,NA,Yes,14896872,21870238
Landform,fans,,NA,NA,Yes,14896873,21870322
Landform,hills,,NA,NA,Yes,14896873,21870331
Landform,terraces,,NA,NA,Yes,14896875,21870253
Landform,swales,,NA,NA,Yes,14896876,21870239
Landform,hills,,NA,NA,Yes,14896877,21870332
Landform,hills,,NA,NA,Yes,14896878,21870333
Landform,swales,,NA,NA,Yes,14896879,21870240
Landform,hills,,NA,NA,Yes,14896880,21870358
Landform,hills,,NA,NA,Yes,14896881,21870359
Landform,hills,,NA,NA,Yes,14896889,21870360
Landform,hills,,NA,NA,Yes,14896890,21870361
Landform,hills,,NA,NA,Yes,14896891,21870362
Landform,flood plains,,NA,NA,Yes,14896892,21870135
Landform,flood plains,,NA,NA,Yes,14896893,21870136
Landform,hills,,NA,NA,Yes,14896897,21870363
Landform,stream terraces,,NA,NA,Yes,14896899,21870582
Landform,stream terraces,,NA,NA,Yes,14896900,21870583
Landform,hillslopes,,NA,NA,Yes,14896902,21870611
Landform,hillslopes,,NA,NA,Yes,14896903,21870612
Landform,hillslopes,,NA,NA,Yes,14896904,21870613
Landform,hillslopes,,NA,NA,Yes,14896905,21870614
Landform,terraces,old high,NA,NA,Yes,14896907,21870307
Landform,terraces,old high,NA,NA,Yes,14896908,21870308
Landform,low hills,,NA,NA,Yes,14896914,21870637
Landform,low hills,,NA,NA,Yes,14896915,21870638
Landform,low hills,,NA,NA,Yes,14896916,21870639
Landform,hills,,NA,NA,Yes,14896920,21870352
Landform,hills,,NA,NA,Yes,14896921,21870353
Landform,swales,,NA,NA,Yes,14896922,21870241
Landform,flood plains,depressions on,NA,NA,Yes,14896928,21870138
Landform,terraces,depressions on low,NA,NA,Yes,14896928,21870301
Landform,terraces,,NA,NA,Yes,14896929,21870302
Landform,flood plains,,NA,NA,Yes,14896930,21870139
Landform,hills,,NA,NA,Yes,14896947,21870354
Landform,hills,,NA,NA,Yes,14896948,21870355
Landform,hills,,NA,NA,Yes,14896949,21870356
Landform,hills,,NA,NA,Yes,14896950,21870357
Landform,hills,,NA,NA,Yes,14896955,21870346
Landform,hills,,NA,NA,Yes,14896956,21870347
Landform,flood plains,high,NA,NA,Yes,14896985,21870196
Landform,flood plains,,NA,NA,Yes,14896986,21870197
Landform,flood plains,,NA,NA,Yes,14896987,21870198
Landform,flood plains,,NA,NA,Yes,14897000,21870189
Landform,flood plains,,NA,NA,Yes,14897001,21870190
Landform,flood plains,,NA,NA,Yes,14897002,21870191
Landform,flood plains,,NA,NA,Yes,14897003,21870192
Landform,stream terraces,low,NA,NA,Yes,14897005,21870587
Landform,stream terraces,low,NA,NA,Yes,14897006,21870603
Landform,flood plains,,NA,NA,Yes,14897008,21870181
Landform,flood plains,,NA,NA,Yes,14897009,21870182
Landform,low hills,,NA,NA,Yes,14897011,21870641
Landform,low hills,,NA,NA,Yes,14897012,21870642
Landform,flood plains,,NA,NA,Yes,14897013,21870183
Landform,flood plains,,NA,NA,Yes,14897015,21870184
Landform,stream terraces,low,NA,NA,Yes,14897017,21870604
