monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227538
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227539
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227540
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227541
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227542
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227543
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227544
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227545
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227546
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227547
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227548
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897230,156227549
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227526
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227527
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227528
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227529
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227530
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227531
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227532
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227533
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227534
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227535
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227536
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897229,156227537
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227466
