comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,85,NA,Oxley,Series,Yes,,,0,2,3,NA,NA,NA,,5,38,7,NA,,,,No,Somewhat poorly drained,91,152,213,NA,NA,NA,terraces,0.02,0.16,0.16,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,3,w,NA,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,C/D,Moderate,High,"Loamy-skeletal, mixed, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,loamy-skeletal,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62566,14896856
NA,4,NA,Courtney,Series,No ,,,0,2,3,NA,NA,NA,,3,38,7,NA,,,Wooded under natural conditions,Yes,Poorly drained,53,149,244,NA,NA,NA,depressions,0.16,0.16,0.23,10,11,12,1016,1270,1524,NA,NA,NA,165,188,210,4,w,NA,4,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,Moderate,"Fine, smectitic, mesic Abruptic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Abruptic Argiaquolls,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62566,14896857
NA,45,NA,Oxley,Series,Yes,,,0,2,3,NA,NA,NA,,5,38,7,NA,,,,No,Somewhat poorly drained,107,160,213,NA,NA,NA,terraces,0.02,0.16,0.16,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,3,w,NA,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,C/D,Moderate,High,"Loamy-skeletal, mixed, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,loamy-skeletal,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62567,14896858
NA,40,NA,Urban land,Miscellaneous area,Yes,,,0,2,3,NA,NA,NA,,NA,NA,NA,NA,,,,No,,107,160,213,NA,NA,NA,,NA,NA,NA,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,8,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,0,0,0,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62567,14896859
NA,5,NA,Courtney,Series,No ,,,0,2,3,NA,NA,NA,,3,38,7,NA,,,Wooded under natural conditions,Yes,Poorly drained,53,149,244,NA,NA,NA,depressions,0.16,0.16,0.23,10,11,12,1016,1270,1524,NA,NA,NA,165,188,210,4,w,NA,4,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,Moderate,"Fine, smectitic, mesic Abruptic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Abruptic Argiaquolls,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62567,14896860
NA,80,NA,Panther,Series,Yes,,,2,7,12,NA,NA,NA,,3,48,6,NA,,,Wooded under natural conditions,Yes,Poorly drained,91,229,366,NA,NA,NA,"benches on hills, swales on hills",0.09,0.09,0.09,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,6,w,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,High,"Very-fine, smectitic, mesic Typic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Typic Haplaquolls,very-fine,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62568,14896861
NA,5,NA,Bashaw,Series,No ,,,0,1,1,NA,NA,NA,,5,86,4,NA,,,Wooded under natural conditions,Yes,Poorly drained,27,166,305,NA,NA,NA,terraces,0.09,0.16,0.16,10,12,13,762,1143,1524,NA,NA,NA,160,198,235,4,w,NA,4,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,Moderate,"Very-fine, smectitic, mesic Typic Pelloxererts",Vertisols,Xererts,Pelloxererts,Typic Pelloxererts,very-fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62568,14896862
NA,60,NA,Panther,Series,Yes,,,2,7,12,NA,NA,NA,,3,48,6,NA,,,Wooded under natural conditions,Yes,Poorly drained,91,229,366,NA,NA,NA,"benches on hills, swales on hills",0.09,0.09,0.09,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,6,w,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,High,"Very-fine, smectitic, mesic Typic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Typic Haplaquolls,very-fine,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62569,14896863
NA,30,NA,Urban land,Miscellaneous area,Yes,,,2,7,12,NA,NA,NA,,NA,NA,NA,NA,,,,No,,91,229,366,NA,NA,NA,,NA,NA,NA,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,8,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,0,0,0,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62569,14896864
NA,3,NA,Bashaw,Series,No ,,,0,1,1,NA,NA,NA,,5,86,4,NA,,,Wooded under natural conditions,Yes,Poorly drained,27,166,305,NA,NA,NA,terraces,0.09,0.16,0.16,10,12,13,762,1143,1524,NA,NA,NA,160,198,235,4,w,NA,4,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,Moderate,"Very-fine, smectitic, mesic Typic Pelloxererts",Vertisols,Xererts,Pelloxererts,Typic Pelloxererts,very-fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62569,14896865
