pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,,mixed gravelly,Alluvium,,10525996,14610060
NA,,gravelly and clayey,Alluvium,Mixed,10525997,14610061
NA,,mixed gravelly,Alluvium,,10525998,14610062
NA,,gravelly and clayey,Alluvium,Mixed,10525999,14610063
NA,,,Residuum,Igneous and sedimentary rock,10526000,14610064
NA,,,Colluvium,Igneous and sedimentary rock,10526000,14610065
NA,Clayey,,Alluvium,,10526001,14610066
NA,,,Residuum,Igneous and sedimentary rock,10526002,14610067
NA,,,Colluvium,Igneous and sedimentary rock,10526002,14610068
NA,Clayey,,Alluvium,,10526003,14610069
NA,,stratified,Alluvium,,10526007,14610080
NA,,gravelly and clayey,Alluvium,Mixed,10526008,14610081
NA,,fine-textured mixed,Alluvium,,10526009,14610082
NA,,,Residuum,Igneous and sedimentary rock,10526010,14610083
NA,,,Colluvium,Igneous and sedimentary rock,10526010,14610084
NA,,stratified,Alluvium,,10526011,14610085
NA,,fine-textured mixed,Alluvium,,10526012,14610086
NA,,,Residuum,Igneous and sedimentary rock,10526013,14610087
NA,,,Colluvium,Igneous and sedimentary rock,10526013,14610088
NA,,,Colluvium,Igneous rock,10526014,14610089
NA,,,Residuum,Igneous rock,10526014,14610090
NA,,,Colluvium,Igneous rock,10526015,14610091
NA,,,Residuum,Igneous rock,10526015,14610092
NA,,,Residuum,Igneous and sedimentary rock,10526016,14610093
NA,,,Colluvium,Igneous and sedimentary rock,10526016,14610094
NA,,,Colluvium,Igneous rock,10526017,14610095
NA,,,Residuum,Igneous rock,10526017,14610096
NA,,,Colluvium,Igneous rock,10526018,14610097
NA,,,Residuum,Igneous rock,10526018,14610098
NA,,cobbly,Colluvium,Igneous rock,10526024,14610108
NA,,cobbly,Colluvium,Igneous rock,10526025,14610109
NA,,cobbly,Colluvium,Igneous rock,10526026,14610110
NA,,,Residuum,Igneous rock,10526028,14610115
NA,,,Colluvium,Igneous rock,10526028,14610116
NA,,gravelly mixed,Alluvium,,10526030,14610119
NA,,gravelly mixed,Alluvium,,10526031,14610120
NA,,,Colluvium,Sandstone and siltstone,10526032,14610121
NA,,,Residuum,Sandstone and siltstone,10526032,14610122
NA,,,Colluvium,Tuff breccia,10526032,14610123
NA,,,Residuum,Tuff breccia,10526032,14610124
NA,,,Colluvium,Sandstone and siltstone,10526033,14610125
NA,,,Residuum,Sandstone and siltstone,10526033,14610126
NA,,,Colluvium,Tuff breccia,10526033,14610127
NA,,,Residuum,Tuff breccia,10526033,14610128
NA,,,Colluvium,Sandstone and siltstone,10526034,14610129
NA,,,Residuum,Sandstone and siltstone,10526034,14610130
NA,,,Colluvium,Tuff breccia,10526034,14610131
NA,,,Residuum,Tuff breccia,10526034,14610132
NA,,,Colluvium,Sandstone and siltstone,10526035,14610133
NA,,,Residuum,Sandstone and siltstone,10526035,14610134
NA,,,Colluvium,Tuff breccia,10526035,14610135
NA,,,Residuum,Tuff breccia,10526035,14610136
NA,,mixed,Alluvium,,10526037,14610138
NA,,mixed,Alluvium,,10526038,14610139
NA,,,Colluvium,Igneous and sedimentary rock,10526043,14610146
NA,,,Residuum,Igneous and sedimentary rock,10526043,14610147
