pmgroupname,rvindicator,cokey,copmgrpkey
mixed gravelly alluvium,Yes,14896856,10525996
gravelly and clayey alluvium from mixed sources,Yes,14896857,10525997
mixed gravelly alluvium,Yes,14896858,10525998
gravelly and clayey alluvium from mixed sources,Yes,14896860,10525999
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14896861,10526000
clayey alluvium,Yes,14896862,10526001
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14896863,10526002
clayey alluvium,Yes,14896865,10526003
stratified alluvium,Yes,14896869,10526007
gravelly and clayey alluvium from mixed sources,Yes,14896870,10526008
fine-textured mixed alluvium,Yes,14896871,10526009
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14896872,10526010
stratified alluvium,Yes,14896873,10526011
fine-textured mixed alluvium,Yes,14896875,10526012
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14896876,10526013
colluvium and residuum derived from basic igneous rock,Yes,14896877,10526014
colluvium and residuum derived from basic igneous rock,Yes,14896878,10526015
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14896879,10526016
colluvium and residuum derived from basic igneous rock,Yes,14896880,10526017
colluvium and residuum derived from basic igneous rock,Yes,14896881,10526018
cobbly colluvium derived from basic igneous rock,Yes,14896889,10526024
cobbly colluvium derived from basic igneous rock,Yes,14896890,10526025
cobbly colluvium derived from basic igneous rock,Yes,14896891,10526026
colluvium and residuum derived from basic igneous rock,Yes,14896897,10526028
gravelly mixed alluvium,Yes,14896899,10526030
gravelly mixed alluvium,Yes,14896900,10526031
"colluvium and residuum derived from sandstone, siltstone, and tuff breccia",Yes,14896902,10526032
"colluvium and residuum derived from sandstone, siltstone, and tuff breccia",Yes,14896903,10526033
"colluvium and residuum derived from sandstone, siltstone, and tuff breccia",Yes,14896904,10526034
"colluvium and residuum derived from sandstone, siltstone, and tuff breccia",Yes,14896905,10526035
mixed alluvium derived from glacial outwash material,Yes,14896907,10526037
mixed alluvium derived from glacial outwash material,Yes,14896908,10526038
colluvium and residuum derived from igneous or sedimentary rock,Yes,14896914,10526043
colluvium and residuum derived from igneous or sedimentary rock,Yes,14896915,10526044
colluvium and residuum derived from igneous or sedimentary rock,Yes,14896916,10526045
colluvium derived from sedimentary rock,Yes,14896920,10526048
colluvium and residuum derived from basalt,Yes,14896921,10526049
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14896922,10526050
mixed silty and clayey alluvium,Yes,14896928,10526056
clayey alluvium,Yes,14896929,10526057
colluvium and residuum derived from tuffaceous sandstone,Yes,14896947,10526073
colluvium and residuum derived from tuffaceous sandstone,Yes,14896948,10526074
colluvium and residuum derived from tuffaceous sandstone,Yes,14896949,10526075
colluvium and residuum derived from tuffaceous sandstone,Yes,14896950,10526076
colluvium and residuum derived from basic igneous rock,Yes,14896955,10526079
colluvium derived from basic igneous rock,Yes,14896956,10526080
alluvium derived from mixed sources,Yes,14896985,10526101
mixed silty and clayey alluvium,Yes,14896986,10526102
sandy and gravelly alluvium,Yes,14897000,10526113
sandy and gravelly alluvium,Yes,14897003,10526114
alluvium from mixed sources,Yes,14897005,10526115
alluvium from mixed sources,Yes,14897006,10526116
alluvium from mixed sources,Yes,14897008,10526117
alluvium from mixed sources,Yes,14897009,10526118
colluvium derived from sedimentary rock,Yes,14897011,10526119
colluvium derived from sedimentary rock,Yes,14897012,10526120
alluvium from mixed sources,Yes,14897013,10526121
alluvium from mixed sources,Yes,14897015,10526123
loamy alluvium over clayey alluvium,Yes,14897017,10526124
silty and clayey alluvium from mixed sources,Yes,14897018,10526125
loamy alluvium over clayey alluvium,Yes,14897019,10526126
silty and clayey alluvium from mixed sources,Yes,14897021,10526127
silty and clayey alluvium from mixed sources,Yes,14897022,10526128
silty and clayey alluvium derived from mixed sources,Yes,14897023,10526129
clayey alluvium,Yes,14897024,10526130
gravelly and clayey alluvium from mixed sources,Yes,14897025,10526131
silty and clayey alluvium derived from mixed sources,Yes,14897026,10526132
clayey alluvium,Yes,14897027,10526133
fine-textured mixed alluvium,Yes,14897028,10526134
colluvium and glacial till from basic igneous rock,Yes,14897032,10526138
alluvium and colluvium derived from volcanic tuff breccia,Yes,14897033,10526139
stratified clayey and silty alluvium and lacustrine deposits,Yes,14897036,10526142
silty and clayey alluvium derived from mixed sources,Yes,14897037,10526143
clayey alluvium,Yes,14897038,10526144
silty and clayey alluvium from mixed sources,Yes,14897039,10526145
gravelly and clayey alluvium from mixed sources,Yes,14897040,10526146
fine-textured mixed alluvium,Yes,14897041,10526147
mixed alluvium,Yes,14897042,10526148
stratified alluvium,Yes,14897043,10526149
colluvium and residuum derived from basalt,Yes,14897050,10526155
colluvium and residuum derived from basalt,Yes,14897051,10526156
colluvium and residuum derived from basalt,Yes,14897052,10526157
colluvium and residuum derived from basalt,Yes,14897053,10526158
colluvium derived from sedimentary rock,Yes,14897054,10526159
colluvium and residuum derived from basalt,Yes,14897056,10526160
colluvium and residuum derived from basic igneous rock,Yes,14897057,10526161
colluvium derived from sedimentary rock,Yes,14897058,10526162
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14897059,10526163
colluvium and residuum derived from basalt,Yes,14897060,10526164
colluvium and residuum derived from basic igneous rock,Yes,14897061,10526165
colluvium derived from sedimentary rock,Yes,14897062,10526166
colluvium derived from sandstone,Yes,14897066,10526170
colluvium and residuum derived from basic igneous and sedimentary rock,Yes,14897067,10526171
recently deposited alluvium,Yes,14897070,10526174
mixed silty and clayey alluvium,Yes,14897073,10526175
mixed alluvium,Yes,14897074,10526176
silty and clayey alluvium derived from mixed sources,Yes,14897079,10526180
