soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
15,31,46,52,58,76,Wet,156223050,95889689
15,31,46,52,58,76,Wet,156223052,95889690
15,31,46,52,58,76,Wet,156223053,95889691
15,31,46,52,58,76,Wet,156223054,95889692
15,31,46,52,58,76,Wet,156223057,95889693
15,31,46,52,58,76,Wet,156223058,95889694
15,31,46,52,58,76,Wet,156223059,95889695
0,0,0,183,183,183,Wet,156223062,95889696
0,0,0,183,183,183,Wet,156223064,95889697
0,0,0,183,183,183,Wet,156223065,95889698
0,0,0,183,183,183,Wet,156223066,95889699
0,0,0,183,183,183,Wet,156223069,95889700
0,0,0,183,183,183,Wet,156223070,95889701
0,0,0,183,183,183,Wet,156223071,95889702
15,31,46,52,58,76,Wet,156223074,95889703
15,31,46,52,58,76,Wet,156223076,95889704
15,31,46,52,58,76,Wet,156223077,95889705
15,31,46,52,58,76,Wet,156223078,95889706
15,31,46,52,58,76,Wet,156223081,95889707
15,31,46,52,58,76,Wet,156223082,95889708
15,31,46,52,58,76,Wet,156223083,95889709
0,0,0,183,183,183,Wet,156223098,95889710
0,0,0,183,183,183,Wet,156223100,95889711
0,0,0,183,183,183,Wet,156223101,95889712
0,0,0,183,183,183,Wet,156223102,95889713
0,0,0,183,183,183,Wet,156223105,95889714
0,0,0,183,183,183,Wet,156223106,95889715
0,0,0,183,183,183,Wet,156223107,95889716
0,15,30,15,24,30,Wet,156223110,95889717
0,15,30,15,24,30,Wet,156223112,95889718
0,15,30,15,24,30,Wet,156223113,95889719
0,15,30,15,24,30,Wet,156223114,95889720
0,15,30,15,24,30,Wet,156223117,95889721
0,0,0,183,183,183,Wet,156223122,95889722
0,0,0,183,183,183,Wet,156223124,95889723
0,0,0,183,183,183,Wet,156223125,95889724
0,0,0,183,183,183,Wet,156223126,95889725
0,0,0,183,183,183,Wet,156223129,95889726
0,0,0,183,183,183,Wet,156223130,95889727
0,0,0,183,183,183,Wet,156223131,95889728
0,15,30,15,24,30,Wet,156223134,95889729
0,15,30,15,24,30,Wet,156223136,95889730
0,15,30,15,24,30,Wet,156223137,95889731
0,15,30,15,24,30,Wet,156223138,95889732
0,15,30,15,24,30,Wet,156223141,95889733
0,0,0,183,183,183,Wet,156223158,95889734
0,0,0,183,183,183,Wet,156223160,95889735
0,0,0,183,183,183,Wet,156223161,95889736
0,0,0,183,183,183,Wet,156223162,95889737
0,0,0,183,183,183,Wet,156223165,95889738
0,0,0,183,183,183,Wet,156223166,95889739
0,0,0,183,183,183,Wet,156223167,95889740
0,38,76,52,55,76,Wet,156223206,95889762
0,38,76,52,55,76,Wet,156223208,95889763
0,38,76,52,55,76,Wet,156223209,95889764
0,38,76,52,55,76,Wet,156223210,95889765
0,38,76,52,55,76,Wet,156223213,95889766
0,38,76,52,55,76,Wet,156223214,95889767
0,38,76,52,55,76,Wet,156223215,95889768
0,0,0,183,183,183,Wet,156223218,95889769
0,0,0,183,183,183,Wet,156223220,95889770
0,0,0,183,183,183,Wet,156223221,95889771
0,0,0,183,183,183,Wet,156223222,95889772
