geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
,,Tread,NA,21870103,7570979
,,Tread,NA,21870104,7570980
,,Tread,NA,21870105,7570981
,,Tread,NA,21870106,7570982
,,Tread,NA,21870138,7570984
,,Tread,NA,21870152,7570993
,,Tread,NA,21870153,7570994
,,Tread,NA,21870154,7570995
,,Tread,NA,21870164,7570998
,,Tread,NA,21870170,7571000
,,Tread,NA,21870174,7571001
,,Tread,NA,21870181,7571002
,,Tread,NA,21870182,7571003
,,Tread,NA,21870183,7571004
,,Tread,NA,21870184,7571005
,,Tread,NA,21870186,7571006
,,Tread,NA,21870189,7571007
,,Tread,NA,21870192,7571008
,,Tread,NA,21870196,7571010
,,Tread,NA,21870248,7571034
,,Tread,NA,21870249,7571035
,,Riser,NA,21870254,7571036
,,Riser,NA,21870255,7571037
,,Riser,NA,21870256,7571038
,,Riser,NA,21870257,7571039
,,Tread,NA,21870258,7571040
,,Tread,NA,21870266,7571042
,,Tread,NA,21870270,7571043
,,Tread,NA,21870274,7571044
,,Tread,NA,21870276,7571045
,,Tread,NA,21870277,7571046
,,Tread,NA,21870278,7571047
,,Tread,NA,21870283,7571050
,,Tread,NA,21870301,7571059
,,Tread,NA,21870307,7571062
,,Riser,NA,21870307,7571063
,,Riser,NA,21870308,7571064
,,Tread,NA,21870316,7571070
,,Tread,NA,21870321,7571073
,,Tread,NA,21870322,7571074
,,Tread,NA,21870326,7571079
,,Tread,NA,21870327,7571080
,Base Slope,,NA,21870328,7571081
,Base Slope,,NA,21870329,7571082
,Base Slope,,NA,21870330,7571083
,Base Slope,,NA,21870331,7571084
,Nose Slope,,NA,21870332,7571085
,Interfluve,,NA,21870332,7571086
,Crest,,NA,21870332,7571087
,Crest,,NA,21870333,7571088
,Interfluve,,NA,21870333,7571089
,Nose Slope,,NA,21870333,7571090
,Nose Slope,,NA,21870336,7571095
,Interfluve,,NA,21870336,7571096
,Interfluve,,NA,21870337,7571097
,Nose Slope,,NA,21870337,7571098
,Interfluve,,NA,21870338,7571099
,Nose Slope,,NA,21870338,7571100
,Side Slope,,NA,21870339,7571101
,Nose Slope,,NA,21870339,7571102
,Base Slope,,NA,21870340,7571103
,Interfluve,,NA,21870340,7571104
,Nose Slope,,NA,21870340,7571105
,Base Slope,,NA,21870341,7571106
,Interfluve,,NA,21870341,7571107
,Nose Slope,,NA,21870341,7571108
,Base Slope,,NA,21870342,7571109
,Interfluve,,NA,21870342,7571110
,Nose Slope,,NA,21870342,7571111
,Base Slope,,NA,21870343,7571112
,Interfluve,,NA,21870343,7571113
,Nose Slope,,NA,21870343,7571114
,Base Slope,,NA,21870344,7571115
,Interfluve,,NA,21870346,7571119
,Nose Slope,,NA,21870346,7571120
,Side Slope,,NA,21870347,7571121
