hillslopeprof,cogeomdkey,cosurfmorhppkey
Footslope,21870328,8832185
Footslope,21870329,8832186
Toeslope,21870330,8832187
Toeslope,21870331,8832188
Shoulder,21870332,8832189
Summit,21870332,8832190
Summit,21870333,8832191
Shoulder,21870333,8832192
Shoulder,21870336,8832197
Summit,21870336,8832198
Summit,21870337,8832199
Shoulder,21870337,8832200
Summit,21870338,8832201
Shoulder,21870338,8832202
Backslope,21870339,8832203
Shoulder,21870339,8832204
Summit,21870340,8832205
Toeslope,21870340,8832206
Shoulder,21870340,8832207
Summit,21870341,8832208
Toeslope,21870341,8832209
Shoulder,21870341,8832210
Shoulder,21870342,8832211
Toeslope,21870342,8832212
Summit,21870342,8832213
Summit,21870343,8832214
Toeslope,21870343,8832215
Shoulder,21870343,8832216
Toeslope,21870344,8832217
Footslope,21870344,8832218
Summit,21870346,8832221
Shoulder,21870346,8832222
Backslope,21870347,8832223
Shoulder,21870347,8832224
Shoulder,21870348,8832225
Backslope,21870348,8832226
Summit,21870348,8832227
Summit,21870349,8832228
Backslope,21870349,8832229
Shoulder,21870349,8832230
Shoulder,21870350,8832231
Summit,21870350,8832232
Toeslope,21870350,8832233
Shoulder,21870351,8832234
Summit,21870351,8832235
Toeslope,21870351,8832236
Shoulder,21870352,8832237
Summit,21870352,8832238
Toeslope,21870352,8832239
Summit,21870353,8832240
Toeslope,21870353,8832241
Shoulder,21870353,8832242
Summit,21870354,8832243
Shoulder,21870354,8832244
Shoulder,21870355,8832245
Summit,21870355,8832246
Summit,21870356,8832247
Shoulder,21870356,8832248
Backslope,21870357,8832249
Shoulder,21870357,8832250
Summit,21870358,8832251
Shoulder,21870358,8832252
Backslope,21870358,8832253
Backslope,21870359,8832254
Shoulder,21870359,8832255
Summit,21870359,8832256
Summit,21870360,8832257
Shoulder,21870360,8832258
Shoulder,21870361,8832259
Summit,21870361,8832260
Shoulder,21870362,8832261
Backslope,21870362,8832262
Summit,21870363,8832263
Shoulder,21870363,8832264
Backslope,21870363,8832265
Shoulder,21870395,8832308
Summit,21870395,8832309
Footslope,21870443,8832389
Footslope,21870444,8832390
Footslope,21870453,8832401
Footslope,21870454,8832402
Footslope,21870463,8832416
Shoulder,21870611,8832604
Summit,21870611,8832605
Summit,21870612,8832606
Shoulder,21870612,8832607
Summit,21870613,8832608
Shoulder,21870613,8832609
Backslope,21870614,8832610
Shoulder,21870614,8832611
Shoulder,21870637,8832643
Summit,21870637,8832644
Summit,21870638,8832645
Shoulder,21870638,8832646
Summit,21870639,8832647
Shoulder,21870639,8832648
Backslope,21870639,8832649
Summit,21870641,8832651
Shoulder,21870641,8832652
Backslope,21870642,8832653
Shoulder,21870642,8832654
Summit,21870642,8832655
Backslope,21870643,8832656
Shoulder,21870646,8832659
Summit,21870646,8832660
Summit,21870647,8832661
Shoulder,21870647,8832662
Summit,21870648,8832663
Shoulder,21870648,8832664
Summit,21870649,8832665
Shoulder,21870649,8832666
Backslope,21870650,8832667
Shoulder,21870650,8832668
Shoulder,21870651,8832669
Backslope,21870651,8832670
