shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Linear,Linear,21870103,12441849
Linear,Linear,21870104,12441850
Linear,Linear,21870105,12441851
Concave,Concave,21870105,12441852
Linear,Linear,21870106,12441853
Linear,Linear,21870109,12441855
Linear,Concave,21870109,12441856
Linear,Linear,21870138,12441864
Linear,Concave,21870138,12441865
Linear,Linear,21870152,12441874
Linear,Linear,21870153,12441875
Linear,Linear,21870154,12441876
Linear,Linear,21870164,12441880
Linear,Linear,21870170,12441883
Linear,Linear,21870174,12441884
Linear,Linear,21870181,12441885
Linear,Linear,21870182,12441886
Linear,Linear,21870183,12441887
Linear,Linear,21870184,12441888
Linear,Linear,21870186,12441889
Linear,Linear,21870189,12441890
Linear,Linear,21870192,12441891
Linear,Linear,21870196,12441893
Linear,Linear,21870235,12441913
Linear,Linear,21870247,12441914
Concave,Concave,21870248,12441915
Concave,Concave,21870249,12441916
Linear,Linear,21870254,12441917
Linear,Concave,21870254,12441918
Linear,Concave,21870255,12441919
Linear,Linear,21870255,12441920
Linear,Concave,21870256,12441921
Linear,Linear,21870256,12441922
Linear,Concave,21870257,12441923
Linear,Linear,21870257,12441924
Linear,Linear,21870258,12441925
Concave,Concave,21870266,12441927
Linear,Linear,21870266,12441928
Linear,Linear,21870270,12441929
Linear,Linear,21870274,12441930
Linear,Linear,21870276,12441931
Linear,Linear,21870277,12441932
Linear,Linear,21870278,12441933
Linear,Linear,21870283,12441936
Linear,Concave,21870301,12441944
Linear,Linear,21870301,12441945
Linear,Linear,21870307,12441948
Linear,Linear,21870308,12441949
Linear,Linear,21870316,12441956
Linear,Linear,21870321,12441961
Linear,Linear,21870322,12441962
Linear,Concave,21870322,12441963
Linear,Linear,21870326,12441968
Linear,Linear,21870327,12441969
Linear,Concave,21870328,12441970
Linear,Linear,21870328,12441971
Linear,Linear,21870330,12441972
Linear,Concave,21870331,12441973
Linear,Linear,21870331,12441974
Linear,Linear,21870332,12441975
Linear,Linear,21870333,12441976
Linear,Linear,21870336,12441980
Linear,Linear,21870337,12441981
Linear,Linear,21870338,12441982
Linear,Linear,21870339,12441983
Linear,Linear,21870340,12441984
Linear,Linear,21870341,12441985
Linear,Linear,21870342,12441986
Linear,Linear,21870343,12441987
Linear,Linear,21870344,12441988
Linear,Linear,21870346,12441992
Linear,Linear,21870347,12441993
Convex,Convex,21870347,12441994
Linear,Linear,21870348,12441995
Linear,Linear,21870349,12441996
Linear,Linear,21870350,12441997
Linear,Linear,21870351,12441998
Linear,Linear,21870352,12441999
Linear,Linear,21870353,12442000
Linear,Linear,21870354,12442001
Linear,Linear,21870355,12442002
Linear,Linear,21870356,12442003
Linear,Linear,21870357,12442004
Linear,Linear,21870358,12442005
Linear,Linear,21870359,12442006
Linear,Linear,21870360,12442007
Linear,Linear,21870361,12442008
Linear,Linear,21870362,12442009
Convex,Convex,21870363,12442010
Linear,Linear,21870395,12442047
Linear,Linear,21870406,12442061
Linear,Linear,21870443,12442114
Linear,Linear,21870444,12442115
Linear,Linear,21870453,12442131
Convex,Convex,21870453,12442132
Convex,Convex,21870454,12442133
Linear,Linear,21870454,12442134
Linear,Linear,21870463,12442145
Linear,Linear,21870582,12442330
Linear,Linear,21870583,12442331
Linear,Linear,21870587,12442335
Linear,Linear,21870592,12442337
Linear,Linear,21870597,12442341
Linear,Linear,21870600,12442343
Concave,Concave,21870600,12442344
Linear,Linear,21870603,12442346
Linear,Linear,21870604,12442347
Linear,Linear,21870606,12442348
Linear,Linear,21870608,12442349
Linear,Linear,21870609,12442350
Linear,Linear,21870610,12442351
Linear,Linear,21870611,12442352
Convex,Convex,21870611,12442353
Linear,Linear,21870612,12442354
Linear,Linear,21870613,12442355
Linear,Linear,21870614,12442356
Linear,Linear,21870637,12442408
Linear,Linear,21870638,12442409
Linear,Linear,21870639,12442410
Linear,Linear,21870641,12442412
Linear,Linear,21870642,12442413
Convex,Convex,21870642,12442414
Concave,Linear,21870643,12442415
Linear,Linear,21870643,12442416
Linear,Linear,21870646,12442421
Linear,Linear,21870647,12442422
Linear,Linear,21870648,12442423
Linear,Linear,21870649,12442424
Linear,Linear,21870650,12442425
Linear,Linear,21870651,12442426
