recdate,comptextkind,textcat,textsubcat,text,cokey,cotextkey
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Water is a miscellaneous area.,14897231,14326989
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,"The Umbrepts component makes up 40 percent of the map unit. Slopes are 20 to 60 percent. This component is on terraces, terraces. The parent material consists of stratified silty, loamy, or gravelly alluvium and weathered residuum of mixed origin. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Available water to a depth of 60 inches is very low. Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches.   Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.",14897230,14326988
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,"The Ochrepts component makes up 45 percent of the map unit. Slopes are 20 to 60 percent. This component is on terraces, terraces. The parent material consists of stratified silty, loamy, or gravelly alluvium and weathered residuum of mixed origin. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Available water to a depth of 60 inches is very low. Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches.   Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.",14897229,14326987
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Urban land is a miscellaneous area.,14897224,14326982
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,The Newberg component makes up 50 percent of the map unit. Slopes are 0 to 3 percent. This component is on flood plains. The parent material consists of recent silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is high.  Available water to a depth of 60 inches is moderate.  Shrink-swell potential is low. This soil is occasionally flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2w. Irrigated land capability classification is 2w. This soil does not meet hydric criteria.,14897223,14326981
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,The Newberg component makes up 85 percent of the map unit. Slopes are 0 to 3 percent. This component is on flood plains. The parent material consists of recent silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is high.  Available water to a depth of 60 inches is high.  Shrink-swell potential is low. This soil is occasionally flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2w. Irrigated land capability classification is 2w. This soil does not meet hydric criteria.,14897222,14326980
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,The Newberg component makes up 85 percent of the map unit. Slopes are 0 to 3 percent. This component is on flood plains. The parent material consists of recent silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is high.  Available water to a depth of 60 inches is moderate.  Shrink-swell potential is low. This soil is occasionally flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2w. Irrigated land capability classification is 2w. This soil does not meet hydric criteria.,14897221,14326979
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major components.  The Natroy soil is a minor component.,14897206,14326964
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major components.  The Courtney soil is a minor component.,14897205,14326963
08/11/2009 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major components.  The Conser soil is a minor component.,14897204,14326962
