plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
PIPO,Pinus ponderosa,ponderosa pine,14896889,26280752
PSME,Pseudotsuga menziesii,Douglas-fir,14896889,26281075
PIPO,Pinus ponderosa,ponderosa pine,14896890,26280753
PSME,Pseudotsuga menziesii,Douglas-fir,14896890,26281076
PIPO,Pinus ponderosa,ponderosa pine,14896891,26280754
PSME,Pseudotsuga menziesii,Douglas-fir,14896891,26281077
PSME,Pseudotsuga menziesii,Douglas-fir,14896899,26281068
PSME,Pseudotsuga menziesii,Douglas-fir,14896900,26281069
PSME,Pseudotsuga menziesii,Douglas-fir,14896902,26281070
PSME,Pseudotsuga menziesii,Douglas-fir,14896903,26281071
PSME,Pseudotsuga menziesii,Douglas-fir,14896904,26281072
PSME,Pseudotsuga menziesii,Douglas-fir,14896905,26281061
ALRU2,Alnus rubra,red alder,14896907,26280736
PSME,Pseudotsuga menziesii,Douglas-fir,14896907,26281063
ALRU2,Alnus rubra,red alder,14896908,26280737
PSME,Pseudotsuga menziesii,Douglas-fir,14896908,26281064
PIPO,Pinus ponderosa,ponderosa pine,14896921,26280755
PSME,Pseudotsuga menziesii,Douglas-fir,14896921,26281059
PSME,Pseudotsuga menziesii,Douglas-fir,14896947,26281051
PSME,Pseudotsuga menziesii,Douglas-fir,14896948,26281052
PSME,Pseudotsuga menziesii,Douglas-fir,14896949,26281053
PSME,Pseudotsuga menziesii,Douglas-fir,14896950,26281054
PSME,Pseudotsuga menziesii,Douglas-fir,14896985,26281031
ABGR,Abies grandis,grand fir,14897005,26280697
POBAT,Populus balsamifera ssp. trichocarpa,black cottonwood,14897005,26280809
PSME,Pseudotsuga menziesii,Douglas-fir,14897005,26281030
ABGR,Abies grandis,grand fir,14897006,26280698
POBAT,Populus balsamifera ssp. trichocarpa,black cottonwood,14897006,26280810
PSME,Pseudotsuga menziesii,Douglas-fir,14897006,26281019
ALRU2,Alnus rubra,red alder,14897008,26280738
PSME,Pseudotsuga menziesii,Douglas-fir,14897008,26281020
ALRU2,Alnus rubra,red alder,14897009,26280739
PSME,Pseudotsuga menziesii,Douglas-fir,14897009,26281021
ALRU2,Alnus rubra,red alder,14897013,26280740
PSME,Pseudotsuga menziesii,Douglas-fir,14897013,26281022
ALRU2,Alnus rubra,red alder,14897015,26280742
PSME,Pseudotsuga menziesii,Douglas-fir,14897015,26281024
PSME,Pseudotsuga menziesii,Douglas-fir,14897032,26281016
THPL,Thuja plicata,western redcedar,14897032,26281081
TSHE,Tsuga heterophylla,western hemlock,14897032,26281227
PSME,Pseudotsuga menziesii,Douglas-fir,14897033,26281017
THPL,Thuja plicata,western redcedar,14897033,26281082
TSHE,Tsuga heterophylla,western hemlock,14897033,26281228
PIPO,Pinus ponderosa,ponderosa pine,14897050,26280765
PSME,Pseudotsuga menziesii,Douglas-fir,14897050,26281001
PIPO,Pinus ponderosa,ponderosa pine,14897051,26280766
PSME,Pseudotsuga menziesii,Douglas-fir,14897051,26281002
PIPO,Pinus ponderosa,ponderosa pine,14897052,26280767
PSME,Pseudotsuga menziesii,Douglas-fir,14897052,26281003
PIPO,Pinus ponderosa,ponderosa pine,14897053,26280768
PSME,Pseudotsuga menziesii,Douglas-fir,14897053,26281004
PIPO,Pinus ponderosa,ponderosa pine,14897056,26280769
PSME,Pseudotsuga menziesii,Douglas-fir,14897056,26281005
PIPO,Pinus ponderosa,ponderosa pine,14897060,26280770
PSME,Pseudotsuga menziesii,Douglas-fir,14897060,26281006
ABGR,Abies grandis,grand fir,14897123,26280699
PSME,Pseudotsuga menziesii,Douglas-fir,14897123,26280976
PIPO,Pinus ponderosa,ponderosa pine,14897152,26280759
PSME,Pseudotsuga menziesii,Douglas-fir,14897152,26280951
PIPO,Pinus ponderosa,ponderosa pine,14897153,26280760
PSME,Pseudotsuga menziesii,Douglas-fir,14897153,26280952
PIPO,Pinus ponderosa,ponderosa pine,14897156,26280761
PSME,Pseudotsuga menziesii,Douglas-fir,14897156,26280942
ABGR,Abies grandis,grand fir,14897160,26280715
POBAT,Populus balsamifera ssp. trichocarpa,black cottonwood,14897160,26280811
PSME,Pseudotsuga menziesii,Douglas-fir,14897160,26280943
PSME,Pseudotsuga menziesii,Douglas-fir,14897172,26280937
ABGR,Abies grandis,grand fir,14897197,26280704
PSME,Pseudotsuga menziesii,Douglas-fir,14897197,26280932
ABGR,Abies grandis,grand fir,14897198,26280705
PSME,Pseudotsuga menziesii,Douglas-fir,14897198,26280933
ABGR,Abies grandis,grand fir,14897199,26280706
PSME,Pseudotsuga menziesii,Douglas-fir,14897199,26280934
ABGR,Abies grandis,grand fir,14897200,26280707
PSME,Pseudotsuga menziesii,Douglas-fir,14897200,26280923
PSME,Pseudotsuga menziesii,Douglas-fir,14897221,26280926
PSME,Pseudotsuga menziesii,Douglas-fir,14897222,26280927
PSME,Pseudotsuga menziesii,Douglas-fir,14897223,26280928
