taxfamother,cokey,cotaxfokey
not used,14896856,10311384
not used,14896857,10311385
not used,14896858,10311386
not used,14896860,10311387
not used,14896861,10311388
not used,14896862,10311389
not used,14896863,10311390
not used,14896865,10311391
not used,14896869,10311395
not used,14896870,10311396
not used,14896871,10311397
not used,14896872,10311398
not used,14896873,10311399
not used,14896875,10311400
not used,14896876,10311401
shallow,14896877,10311402
shallow,14896878,10311403
not used,14896879,10311404
shallow,14896880,10311405
shallow,14896881,10311406
not used,14896889,10311412
not used,14896890,10311413
not used,14896891,10311414
not used,14896892,10311415
not used,14896893,10311416
not used,14896897,10311418
not used,14896899,10311420
not used,14896900,10311421
not used,14896902,10311422
not used,14896903,10311423
not used,14896904,10311424
not used,14896905,10311425
not used,14896907,10311427
not used,14896908,10311428
not used,14896914,10311434
not used,14896915,10311435
not used,14896916,10311436
not used,14896920,10311439
not used,14896921,10311440
not used,14896922,10311441
not used,14896928,10311447
not used,14896929,10311448
not used,14896930,10311449
not used,14896947,10311465
not used,14896948,10311466
not used,14896949,10311467
not used,14896950,10311468
not used,14896955,10311473
not used,14896956,10311474
not used,14896985,10311497
not used,14896986,10311498
not used,14896987,10311499
not used,14897000,10311512
not used,14897001,10311513
not used,14897002,10311514
not used,14897003,10311515
not used,14897005,10311516
not used,14897006,10311517
not used,14897008,10311518
not used,14897009,10311519
shallow,14897011,10311520
shallow,14897012,10311521
not used,14897013,10311522
not used,14897015,10311524
not used,14897017,10311525
not used,14897018,10311526
not used,14897019,10311527
not used,14897021,10311528
not used,14897022,10311529
not used,14897023,10311530
not used,14897024,10311531
not used,14897025,10311532
not used,14897026,10311533
not used,14897027,10311534
not used,14897028,10311535
not used,14897032,10311539
not used,14897033,10311540
not used,14897036,10311543
not used,14897037,10311544
not used,14897038,10311545
not used,14897039,10311546
not used,14897040,10311547
not used,14897041,10311548
not used,14897042,10311549
not used,14897043,10311550
not used,14897050,10311556
not used,14897051,10311557
not used,14897052,10311558
not used,14897053,10311559
not used,14897054,10311560
not used,14897056,10311561
shallow,14897057,10311562
not used,14897058,10311563
not used,14897059,10311564
not used,14897060,10311565
shallow,14897061,10311566
not used,14897062,10311567
not used,14897066,10311571
not used,14897067,10311572
not used,14897070,10311575
not used,14897071,10311576
not used,14897072,10311577
not used,14897073,10311578
not used,14897074,10311579
not used,14897079,10311583
not used,14897080,10311584
not used,14897081,10311585
not used,14897082,10311586
not used,14897090,10311594
not used,14897091,10311595
not used,14897092,10311596
not used,14897093,10311597
not used,14897102,10311606
not used,14897103,10311607
not used,14897104,10311608
not used,14897112,10311616
not used,14897114,10311617
not used,14897115,10311618
not used,14897123,10311626
not used,14897152,10311651
not used,14897153,10311652
not used,14897156,10311654
not used,14897157,10311655
not used,14897158,10311656
not used,14897159,10311657
not used,14897160,10311658
not used,14897161,10311659
not used,14897165,10311663
not used,14897166,10311664
not used,14897167,10311665
not used,14897168,10311666
not used,14897169,10311667
not used,14897172,10311670
not used,14897180,10311677
not used,14897181,10311678
not used,14897182,10311679
not used,14897183,10311680
not used,14897184,10311681
not used,14897185,10311682
not used,14897186,10311683
not used,14897187,10311684
not used,14897188,10311685
not used,14897190,10311686
not used,14897191,10311687
not used,14897192,10311688
not used,14897193,10311689
not used,14897197,10311693
not used,14897198,10311694
not used,14897199,10311695
not used,14897200,10311696
not used,14897201,10311697
not used,14897203,10311698
not used,14897204,10311699
not used,14897205,10311700
not used,14897206,10311701
not used,14897221,10311716
not used,14897222,10311717
not used,14897223,10311718
not used,14897229,10311723
not used,14897230,10311724
