tabphyname,idxphyname,uniqueindex
chaashto,DI_chaashto_73,No
chaashto,PK_chaashto,Yes
chconsistence,DI_chconsistence_6989,No
chconsistence,PK_chconsistence,Yes
chdesgnsuffix,DI_chdesgnsuffix_78,No
chdesgnsuffix,PK_chdesgnsuffix,Yes
chfrags,DI_chfrags_87,No
chfrags,PK_chfrags,Yes
chorizon,DI_chorizon_19,No
chorizon,PK_chorizon,Yes
chpores,DI_chpores_85,No
chpores,PK_chpores,Yes
chstruct,DI_chstruct_6991,No
chstruct,PK_chstruct,Yes
chstructgrp,DI_chstructgrp_6994,No
chstructgrp,PK_chstructgrp,Yes
chtext,DI_chtext_152,No
chtext,PK_chtext,Yes
chtexture,DI_chtexture_91,No
chtexture,PK_chtexture,Yes
chtexturegrp,DI_chtexturegrp_92,No
chtexturegrp,PK_chtexturegrp,Yes
chtexturemod,DI_chtexturemod_94,No
chtexturemod,PK_chtexturemod,Yes
chunified,DI_chunified_95,No
chunified,PK_chunified,Yes
cocanopycover,DI_cocanopycover_44,No
cocanopycover,PK_cocanopycover,Yes
cocropyld,DI_cocropyld_36,No
cocropyld,PK_cocropyld,Yes
codiagfeatures,DI_codiagfeatures_37,No
codiagfeatures,PK_codiagfeatures,Yes
coecoclass,DI_coecoclass_7582,No
coecoclass,PK_coecoclass,Yes
coeplants,DI_coeplants_40,No
coeplants,PK_coeplants,Yes
coerosionacc,DI_coerosionacc_2006,No
coerosionacc,PK_coerosionacc,Yes
coforprod,DI_coforprod_2289,No
coforprod,PK_coforprod,Yes
coforprodo,DI_coforprodo_2297,No
coforprodo,PK_coforprodo,Yes
cogeomordesc,DI_cogeomordesc_2004,No
cogeomordesc,PK_cogeomordesc,Yes
cohydriccriteria,DI_cohydriccriteria_7662,No
cohydriccriteria,PK_cohydriccriteria,Yes
cointerp,DI_cointerp_3627,No
cointerp,DI_cointerp_7729,No
cointerp,DI_cointerp_7730,No
cointerp,PK_cointerp,Yes
comonth,DI_comonth_371,No
comonth,PK_comonth,Yes
component,DI_component_17,No
component,PK_component,Yes
copm,DI_copm_2008,No
copm,PK_copm,Yes
copmgrp,DI_copmgrp_2010,No
copmgrp,PK_copmgrp,Yes
copwindbreak,DI_copwindbreak_60,No
copwindbreak,PK_copwindbreak,Yes
corestrictions,DI_corestrictions_62,No
corestrictions,PK_corestrictions,Yes
cosoilmoist,DI_cosoilmoist_64,No
cosoilmoist,PK_cosoilmoist,Yes
cosoiltemp,DI_cosoiltemp_66,No
cosoiltemp,PK_cosoiltemp,Yes
cosurffrags,DI_cosurffrags_67,No
cosurffrags,PK_cosurffrags,Yes
cosurfmorphgc,DI_cosurfmorphgc_2569,No
cosurfmorphgc,PK_cosurfmorphgc,Yes
cosurfmorphhpp,DI_cosurfmorphhpp_2573,No
cosurfmorphhpp,PK_cosurfmorphhpp,Yes
cosurfmorphmr,DI_cosurfmorphmr_2574,No
cosurfmorphmr,PK_cosurfmorphmr,Yes
cosurfmorphss,DI_cosurfmorphss_2576,No
cosurfmorphss,PK_cosurfmorphss,Yes
cotaxfmmin,DI_cotaxfmmin_2012,No
cotaxfmmin,PK_cotaxfmmin,Yes
cotaxmoistcl,DI_cotaxmoistcl_171,No
cotaxmoistcl,PK_cotaxmoistcl,Yes
cotext,DI_cotext_151,No
cotext,PK_cotext,Yes
cotreestomng,DI_cotreestomng_61,No
cotreestomng,PK_cotreestomng,Yes
cotxfmother,DI_cotxfmother_70,No
cotxfmother,PK_cotxfmother,Yes
distinterpmd,DI_distinterpmd_5475,No
distinterpmd,PK_distinterpmd,Yes
distlegendmd,DI_distlegendmd_5479,No
distlegendmd,PK_distlegendmd,Yes
distmd,PK_distmd,Yes
featdesc,PK_featdesc,Yes
featdesc,UC_featdesc_12250,Yes
laoverlap,DI_laoverlap_232,No
laoverlap,PK_laoverlap,Yes
legend,PK_legend,Yes
legendtext,DI_legendtext_239,No
legendtext,PK_legendtext,Yes
mapunit,DI_mapunit_10,No
mapunit,PK_mapunit,Yes
mdstatdomdet,DI_mdstatdomdet_7684,No
mdstatdomdet,PK_mdstatdomdet,Yes
mdstatdomdet,UC_mdstatdomdet_4565,Yes
mdstatdommas,PK_mdstatdommas,Yes
mdstatidxdet,DI_mdstatidxdet_4555,No
