ltabphyname,rtabphyname,relationshipname,cardinality,mandatory
chorizon,chaashto,default,One to Many,Yes
chorizon,chconsistence,default,One to Many,Yes
chorizon,chdesgnsuffix,default,One to Many,Yes
chorizon,chfrags,default,One to Many,Yes
chorizon,chpores,default,One to Many,Yes
chorizon,chstructgrp,default,One to Many,Yes
chorizon,chtext,default,One to Many,Yes
chorizon,chtexturegrp,default,One to Many,Yes
chorizon,chunified,default,One to Many,Yes
chstructgrp,chstruct,default,One to Many,Yes
chtexture,chtexturemod,default,One to Many,Yes
chtexturegrp,chtexture,default,One to Many,Yes
coforprod,coforprodo,default,One to Many,Yes
cogeomordesc,cosurfmorphgc,default,One to Many,Yes
cogeomordesc,cosurfmorphhpp,default,One to Many,Yes
cogeomordesc,cosurfmorphmr,default,One to Many,Yes
cogeomordesc,cosurfmorphss,default,One to Many,Yes
comonth,cosoilmoist,default,One to Many,Yes
comonth,cosoiltemp,default,One to Many,Yes
component,chorizon,default,One to Many,Yes
component,cocanopycover,default,One to Many,Yes
component,cocropyld,default,One to Many,Yes
component,codiagfeatures,default,One to Many,Yes
component,coecoclass,default,One to Many,Yes
component,coeplants,default,One to Many,Yes
component,coerosionacc,default,One to Many,Yes
component,coforprod,default,One to Many,Yes
component,cogeomordesc,default,One to Many,Yes
component,cohydriccriteria,default,One to Many,Yes
component,cointerp,default,One to Many,Yes
component,comonth,default,One to Many,Yes
component,copmgrp,default,One to Many,Yes
component,copwindbreak,default,One to Many,Yes
component,corestrictions,default,One to Many,Yes
component,cosurffrags,default,One to Many,Yes
component,cotaxfmmin,default,One to Many,Yes
component,cotaxmoistcl,default,One to Many,Yes
component,cotext,default,One to Many,Yes
component,cotreestomng,default,One to Many,Yes
component,cotxfmother,default,One to Many,Yes
copmgrp,copm,default,One to Many,Yes
distmd,distinterpmd,default,One to Many,Yes
distmd,distlegendmd,default,One to Many,Yes
laoverlap,muaoverlap,default,One to Many,Yes
legend,laoverlap,default,One to Many,Yes
legend,legendtext,default,One to Many,Yes
legend,mapunit,default,One to Many,Yes
mapunit,component,default,One to Many,Yes
mapunit,muaggatt,default,One to Many,Yes
mapunit,muaoverlap,default,One to Many,No
mapunit,mucropyld,default,One to Many,Yes
mapunit,mutext,default,One to Many,Yes
mdstatdommas,mdstatdomdet,default,One to Many,Yes
mdstatdommas,mdstattabcols,default,One to Many,No
mdstatidxmas,mdstatidxdet,default,One to Many,Yes
mdstatrshipmas,mdstatrshipdet,default,One to Many,Yes
mdstattabs,mdstatidxmas,default,One to Many,Yes
mdstattabs,mdstatrshipmas,left_table,One to Many,Yes
mdstattabs,mdstatrshipmas,right_table,One to Many,Yes
mdstattabs,mdstattabcols,default,One to Many,Yes
sacatalog,sainterp,default,One to Many,Yes
sdvattribute,sdvfolderattribute,default,One to Many,Yes
sdvfolder,sdvfolderattribute,default,One to Many,Yes
