musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
135C,"Willakenzie clay loam, 2 to 12 percent slopes",NA,7,7,91,NA,NA,None,None,0,5,9.34,16.31,16.31,Well drained,Well drained,C,NA,85,3,85,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.027,Moderate,0,0.296,62618
135D,"Willakenzie clay loam, 12 to 20 percent slopes",NA,16,16,91,NA,NA,None,None,0,5,9.34,16.31,16.31,Well drained,Well drained,C,NA,85,3,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.027,Severe,0,1,62619
135E,"Willakenzie clay loam, 20 to 30 percent slopes",NA,25,25,91,NA,NA,None,None,0,5,9.34,16.31,16.31,Well drained,Well drained,C,NA,85,4,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,62620
135F,"Willakenzie clay loam, 30 to 50 percent slopes",NA,40,40,91,NA,NA,None,None,0,5,9.34,16.31,16.31,Well drained,Well drained,C,NA,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,62621
138E,"Witzel very cobbly loam, 3 to 30 percent slopes",NA,17,17,43,NA,NA,None,None,0,1.8,2.88,2.88,2.88,Well drained,Well drained,D,NA,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.423,Severe,0,1,62624
138G,"Witzel very cobbly loam, 30 to 75 percent slopes",NA,53,53,43,NA,NA,None,None,0,1.8,2.88,2.88,2.88,Well drained,Well drained,D,NA,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,62625
1A,"Abiqua silty clay loam, 0 to 3 percent slopes",NA,2,2,NA,NA,NA,None,None,0,5,9.95,18.43,25.96,Well drained,Well drained,C,1,85,1,85,Very limited,Somewhat limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.075,Slight,10,0.335,62641
130,Waldo silty clay loam,NA,2,1.9,NA,8,8,Occasional,Occasional,10,4.93,9.07,17.04,25.01,Poorly drained,Poorly drained,C/D,3,90,3,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Slight,95,1,62611
127C,"Urban land-Hazelair-Dixonville complex, 3 to 12 percent slopes",NA,8,8,66,46,46,None,None,0,4.61,8.42,12.24,12.31,,Moderately well drained,D,NA,83,8,35,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Poor,Not rated,Somewhat limited,0.31,Moderate,3,1,62607
125F,"Steiwer loam, 20 to 50 percent slopes",NA,35,35,74,NA,NA,None,None,0,4.75,9.5,14.06,14.06,Well drained,Well drained,C,NA,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,62604
125D,"Steiwer loam, 12 to 20 percent slopes",NA,16,16,74,NA,NA,None,None,0,4.75,9.5,14.06,14.06,Well drained,Well drained,C,6,85,4,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.025,Severe,0,1,62603
125C,"Steiwer loam, 3 to 12 percent slopes",NA,8,8,74,NA,NA,None,None,0,4.75,9.5,14.06,14.06,Well drained,Well drained,C,3,85,3,85,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.025,Moderate,0,0.539,62602
121C,"Salkum silty clay loam, 8 to 16 percent slopes",NA,12,12,NA,NA,NA,None,None,0,4.75,8.82,16.32,24.08,Well drained,Well drained,B,NA,85,3,85,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.031,Severe,0,0.633,62597
121B,"Salkum silty clay loam, 2 to 8 percent slopes",NA,5,5,NA,NA,NA,None,None,0,4.75,8.82,16.32,24.08,Well drained,Well drained,B,NA,90,2,90,Not limited,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.031,Moderate,0,0.296,62596
11F,"Bellpine silty clay loam, 30 to 50 percent slopes",NA,40,40,86,NA,NA,None,None,0,5,9.15,14.55,14.55,Well drained,Well drained,C,NA,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,62594
11E,"Bellpine silty clay loam, 20 to 30 percent slopes",NA,25,25,86,NA,NA,None,None,0,5,9.15,14.55,14.55,Well drained,Well drained,C,NA,85,4,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,62593
11D,"Bellpine silty clay loam, 12 to 20 percent slopes",NA,16,16,86,NA,NA,None,None,0,5,9.15,14.55,14.55,Well drained,Well drained,C,NA,85,3,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.034,Severe,0,1,62592
