areaovacres,lareaovkey,mukey,muareaovkey
2227,343542,62566,20126798
768,343542,62567,20126809
8581,343542,62568,20126808
523,343542,62569,20126807
5094,343542,62572,20126804
997,343542,62573,20126815
2312,343542,62574,20126814
2089,343542,62575,20126813
6786,343542,62576,20126812
240,343542,62577,20126811
2180,343542,62578,20126810
4812,343542,62582,20126818
12237,343542,62583,20126817
21475,343542,62584,20126816
2224,343542,62585,20126827
1687,343542,62587,20126825
6981,343542,62589,20126823
3326,343542,62590,20126822
16408,343542,62591,20126833
16408,343544,62591,20127033
58940,343542,62592,20126832
58940,343544,62592,20127032
38950,343542,62593,20126831
38950,343544,62593,20127031
26883,343542,62594,20126830
26883,343544,62594,20127030
5450,343542,62596,20126828
2344,343542,62597,20126839
2345,343542,62602,20126596
927,343542,62603,20126597
1258,343542,62604,20126598
2094,343542,62607,20126858
7674,343542,62611,20126862
2593,343542,62618,20126857
7465,343542,62619,20126846
6331,343542,62620,20126847
10180,343542,62621,20126848
5341,343542,62624,20126851
6472,343542,62625,20126840
5311,343542,62641,20126796
5311,343544,62641,20127004
6208,343542,62648,20126791
6208,343544,62648,20127007
613,343542,62649,20126780
613,343544,62649,20127008
3771,343542,62650,20126781
3771,343544,62650,20127009
1381,343542,62651,20126782
1381,343544,62651,20126998
9349,343542,62652,20126783
9349,343544,62652,20126999
827,343542,62653,20126784
827,343544,62653,20127000
1596,343542,62654,20126785
1596,343544,62654,20127001
554,343542,62655,20126774
554,343544,62655,20127002
4954,343542,62656,20126775
4954,343544,62656,20127003
279,343542,62658,20126777
279,343544,62658,20126992
12131,343542,62659,20126778
12131,343544,62659,20126993
4440,343542,62660,20126779
4440,343544,62660,20126994
4386,343542,62661,20126768
4386,343544,62661,20126995
2923,343542,62662,20126769
2923,343544,62662,20126996
32622,343542,62666,20126773
4587,343542,62669,20126764
4587,343544,62669,20126997
2886,343542,62675,20126758
2886,343544,62675,20126986
3543,343542,62676,20126759
3543,343544,62676,20126987
2995,343542,62677,20126760
2995,343544,62677,20126988
794,343542,62678,20126761
794,343544,62678,20126989
10336,343542,62679,20126750
10336,343544,62679,20126990
19947,343542,62680,20126751
19947,343544,62680,20126991
22081,343542,62682,20126753
22081,343544,62682,20126980
10186,343542,62685,20126744
10186,343544,62685,20126981
9847,343542,62689,20126748
9847,343544,62689,20126983
5736,343542,62692,20126739
5736,343544,62692,20126984
11413,343542,62693,20126740
11413,343544,62693,20126985
1097,343542,62699,20126734
1097,343544,62699,20126974
936,343542,62707,20126730
936,343544,62707,20126977
4872,343542,62713,20126724
4872,343544,62713,20126978
14019,343542,62737,20126700
14019,343544,62737,20126970
8180,343542,62738,20126701
8180,343544,62738,20126971
11867,343542,62740,20126691
11867,343544,62740,20126973
5574,343542,62741,20126692
5574,343544,62741,20126962
9054,343542,62745,20126684
9054,343544,62745,20126963
9054,343547,62745,20127223
2576,343542,62748,20126687
2576,343545,62748,20127059
2576,343547,62748,20127226
5574,343547,62741,20127231
11867,343547,62740,20127230
8180,343547,62738,20127240
14019,343547,62737,20127239
4872,343547,62713,20127263
936,343547,62707,20127269
1097,343547,62699,20127273
11413,343547,62693,20127279
5736,343547,62692,20127278
9847,343547,62689,20127287
10186,343547,62685,20127283
22081,343547,62682,20127292
19947,343547,62680,20127290
10336,343547,62679,20127289
794,343547,62678,20127300
2995,343547,62677,20127299
3543,343547,62676,20127298
2886,343547,62675,20127297
4587,343547,62669,20127303
32622,343547,62666,20127312
32622,343545,62666,20127089
2923,343547,62662,20127308
4386,343547,62661,20127307
4440,343547,62660,20127318
12131,343547,62659,20127317
279,343547,62658,20127316
4954,343547,62656,20127314
554,343547,62655,20127313
1596,343547,62654,20127324
827,343547,62653,20127323
9349,343547,62652,20127322
1381,343547,62651,20127321
3771,343547,62650,20127320
613,343547,62649,20127319
6208,343547,62648,20127330
5311,343547,62641,20127335
6472,343547,62625,20127379
6472,343544,62625,20127036
5341,343547,62624,20127390
5341,343544,62624,20127035
10180,343547,62621,20127387
10180,343544,62621,20127034
6331,343547,62620,20127386
6331,343544,62620,20127045
7465,343547,62619,20127385
7465,343544,62619,20127044
2593,343547,62618,20127396
2593,343544,62618,20127043
7674,343547,62611,20127401
7674,343544,62611,20127041
2094,343547,62607,20127397
2094,343544,62607,20126932
1258,343547,62604,20127137
1258,343544,62604,20126931
927,343547,62603,20127136
927,343544,62603,20126930
2345,343547,62602,20127135
2345,343544,62602,20126929
2344,343547,62597,20127378
2344,343544,62597,20127039
5450,343547,62596,20127367
5450,343544,62596,20127028
26883,343547,62594,20127369
38950,343547,62593,20127370
58940,343547,62592,20127371
16408,343547,62591,20127372
3326,343547,62590,20127361
3326,343544,62590,20127022
6981,343547,62589,20127362
6981,343544,62589,20127023
1687,343547,62587,20127364
1687,343544,62587,20127024
2224,343547,62585,20127366
2224,343544,62585,20127025
21475,343547,62584,20127355
21475,343544,62584,20127026
12237,343547,62583,20127356
12237,343544,62583,20127027
4812,343547,62582,20127357
4812,343544,62582,20127016
2180,343547,62578,20127349
2180,343544,62578,20127017
240,343547,62577,20127350
240,343544,62577,20127018
6786,343547,62576,20127351
6786,343544,62576,20127019
2089,343547,62575,20127352
2089,343544,62575,20127020
2312,343547,62574,20127353
2312,343544,62574,20127021
997,343547,62573,20127354
997,343544,62573,20127010
5094,343547,62572,20127343
5094,343544,62572,20127011
523,343547,62569,20127346
523,343544,62569,20127012
8581,343547,62568,20127347
8581,343544,62568,20127013
768,343547,62567,20127348
768,343544,62567,20127014
2227,343547,62566,20127337
2227,343544,62566,20127015
12517,343542,62754,20126681
12517,343544,62754,20126964
12517,343547,62754,20127220
2740,343542,62755,20126682
2740,343544,62755,20126965
2740,343547,62755,20127221
1344,343542,62756,20126683
1344,343544,62756,20126966
1344,343547,62756,20127222
5576,343542,62758,20126673
5576,343544,62758,20126967
5576,343547,62758,20127212
16673,343542,62759,20126674
16673,343544,62759,20126956
16673,343547,62759,20127213
10539,343542,62760,20126675
10539,343544,62760,20126957
10539,343547,62760,20127214
7718,343542,62761,20126676
7718,343544,62761,20126958
7718,343547,62761,20127215
461,343542,62762,20126677
461,343544,62762,20126959
461,343547,62762,20127216
8449,343542,62770,20126661
8449,343544,62770,20126960
8449,343547,62770,20127200
8852,343542,62771,20126662
8852,343544,62771,20126961
8852,343547,62771,20127201
1472,343542,62772,20126663
1472,343544,62772,20126950
1472,343547,62772,20127202
1170,343542,62774,20126665
1170,343544,62774,20126952
1170,343547,62774,20127204
32566,343542,62775,20126654
11860,343544,62775,20126953
20166,343545,62775,20127063
32566,343547,62775,20127193
