attributekey,attributename,attributetablename,attributecolumnname,attributelogicaldatatype,attributefieldsize,attributeprecision,attributedescription,attributeuom,attributeuomabbrev,attributetype,nasisrulename,ruledesign,notratedphrase,mapunitlevelattribflag,complevelattribflag,cmonthlevelattribflag,horzlevelattribflag,tiebreakdomainname,tiebreakruleoptionflag,tiebreaklowlabel,tiebreakhighlabel,tiebreakrule,resultcolumnname,sqlwhereclause,primaryconcolname,pcclogicaldatatype,primaryconstraintlabel,secondaryconcolname,scclogicaldatatype,secondaryconstraintlabel,dqmodeoptionflag,depthqualifiermode,layerdepthtotop,layerdepthtobottom,layerdepthuom,monthrangeoptionflag,beginningmonth,endingmonth,horzaggmeth,interpnullsaszerooptionflag,interpnullsaszeroflag,nullratingreplacementvalue,basicmodeflag,maplegendkey,maplegendclasses,maplegendxml,nasissiteid,wlupdated,algorithmname,componentpercentcutoff,readytodistribute,effectivelogicaldatatype
58,Yields of Irrigated Crops (Component),cocropyld,irryield_r,Float,NA,2,"These are the estimated average yields per acre that can be expected of selected irrigated crops under a high level of management. In any given year, yields may be higher or lower than those indicated because of variations in rainfall and other climatic factors. It is assumed that the irrigation system is adapted to the soils and to the crops grown, that good-quality irrigation water is uniformly applied as needed, and that tillage is kept to a minimum.

In the database, some states maintain crop yield data by individual map unit component and others maintain the data at the map unit level. Attributes are included in this application for both, although only one or the other is likely to have data for any given geographic area. This attribute uses data maintained at the map unit component level.

The yields are actually recorded as three separate values in the database. A low value and a high value indicate the range for the soil component. A ""representative"" value indicates the expected value for the component. For these yields, only the representative value is used.

The yields are based mainly on the experience and records of farmers, conservationists, and extension agents. Available yield data from nearby areas and results of field trials and demonstrations also are considered.

The management needed to obtain the indicated yields of the various crops depends on the kind of soil and the crop. Management can include drainage, erosion control, and protection from flooding; the proper planting and seeding rates; suitable high-yielding crop varieties; appropriate and timely tillage; control of weeds, plant diseases, and harmful insects; favorable soil reaction and optimum levels of nitrogen, phosphorus, potassium, and trace elements for each crop; effective use of crop residue, barnyard manure, and green manure crops; and harvesting that ensures the smallest possible loss.

The estimated yields reflect the productive capacity of each soil for the selected crop. Yields are likely to increase as new production technology is developed. The productivity of a given soil compared with that of other soils, however, is not likely to change.",,,Property,,NA,,0,1,0,0,,1,,,1,IrrYldCo,,cropname,Choice,Crop,yldunits,Choice,Yield Units,0,,NA,NA,,0,,,Weighted Average,1,1,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,04/26/2007 07:13:43,Weighted Average,NA,1,Float
77,Forest Productivity (Cubic Feet per Acre per Year),coforprod,fprod_r,Float,NA,2,"Forest productivity is the volume of wood fiber that is the yield likely to be produced by the most important tree species. This number, expressed as cubic feet per acre per year and calculated at the age of culmination of the mean annual increment (CMAI), indicates the amount of fiber produced in a fully stocked, even-aged, unmanaged stand.

This attribute is actually recorded as three separate values in the database. A low value and a high value indicate the range of this attribute for the soil component. A ""representative"" value indicates the expected value of this attribute for the component. For this attribute, only the representative value is used.",,,Property,,NA,,0,1,0,0,,1,,,1,ForestProd,,plantcomname,String,Tree,siteindexbase,Choice,Site Index Base,0,,NA,NA,,0,,,Weighted Average,0,0,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,04/03/2009 08:10:40,Dominant Component,NA,1,Float
81,Range Production (Normal Year),component,rsprod_r,Integer,NA,NA,"Total range production is the amount of vegetation that can be expected to grow annually in a well managed area that is supporting the potential natural plant community. It includes all vegetation, whether or not it is palatable to grazing animals. It includes the current year's growth of leaves, twigs, and fruits of woody plants. It does not include the increase in stem diameter of trees and shrubs. It is expressed in pounds per acre of air-dry vegetation. In a normal year, growing conditions are about average. Yields are adjusted to a common percent of air-dry moisture content.

In areas that have similar climate and topography, differences in the kind and amount of vegetation produced on rangeland are closely related to the kind of soil. Effective management is based on the relationship between the soils and vegetation and water.",pounds per acre per year,lbs/acre/yr,Property,,NA,,0,1,0,0,,1,,,1,RngProdNY,,,,,,,,0,,NA,NA,,0,,,Weighted Average,1,1,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,03/04/2007 08:55:04,Weighted Average,NA,1,Integer
89,Range Production (Unfavorable Year),component,rsprod_l,Integer,NA,NA,"Total range production is the amount of vegetation that can be expected to grow annually in a well managed area that is supporting the potential natural plant community. It includes all vegetation, whether or not it is palatable to grazing animals. It includes the current year's growth of leaves, twigs, and fruits of woody plants. It does not include the increase in stem diameter of trees and shrubs. It is expressed in pounds per acre of air-dry vegetation. In an unfavorable year, growing conditions are well below average, generally because of low available soil moisture. Yields are adjusted to a common percent of air-dry moisture content.

In areas that have similar climate and topography, differences in the kind and amount of vegetation produced on rangeland are closely related to the kind of soil. Effective management is based on the relationship between the soils and vegetation and water.",pounds per acre per year,lbs/acre/yr,Property,,NA,,0,1,0,0,,1,,,1,RngProdUY,,,,,,,,0,,NA,NA,,0,,,Weighted Average,1,1,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,03/04/2007 08:55:54,Weighted Average,NA,1,Integer
99,Yields of Irrigated Crops (Map Unit),mucropyld,irryield_r,Float,NA,2,"These are the estimated average yields per acre that can be expected of selected irrigated crops under a high level of management. In any given year, yields may be higher or lower than those indicated because of variations in rainfall and other climatic factors. It is assumed that the irrigation system is adapted to the soils and to the crops grown, that good-quality irrigation water is uniformly applied as needed, and that tillage is kept to a minimum.

In the database, some states maintain crop yield data by individual map unit component and others maintain the data at the map unit level. Attributes are included in this application for both, although only one or the other is likely to contain data for any given geographic area. This attribute uses data maintained at the map unit level.

The yields are actually recorded as three separate values in the database. A low value and a high value indicate the range for the soil component. A ""representative"" value indicates the expected value for the component. For these yields, only the representative value is used.

The yields are based mainly on the experience and records of farmers, conservationists, and extension agents. Available yield data from nearby areas and results of field trials and demonstrations also are considered.

The management needed to obtain the indicated yields of the various crops depends on the kind of soil and the crop. Management can include drainage, erosion control, and protection from flooding; the proper planting and seeding rates; suitable high-yielding crop varieties; appropriate and timely tillage; control of weeds, plant diseases, and harmful insects; favorable soil reaction and optimum levels of nitrogen, phosphorus, potassium, and trace elements for each crop; effective use of crop residue, barnyard manure, and green manure crops; and harvesting that ensures the smallest possible loss.

The estimated yields reflect the productive capacity of each soil for the selected crop. Yields are likely to increase as new production technology is developed. The productivity of a given soil compared with that of other soils, however, is not likely to change.",,,Property,,NA,,1,0,0,0,,1,,,1,IrrYldMU,,cropname,Choice,Crop,yldunits,Choice,Yield Units,0,,NA,NA,,0,,,Weighted Average,0,0,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,04/26/2007 07:17:37,No Aggregation Necessary,NA,1,Float
100,Yields of Non-Irrigated Crops (Map Unit),mucropyld,nonirryield_r,Float,NA,2,"These are the estimated average yields per acre that can be expected of selected nonirrigated crops under a high level of management. In any given year, yields may be higher or lower than those indicated because of variations in rainfall and other climatic factors.

In the database, some states maintain crop yield data by individual map unit component and others maintain the data at the map unit level. Attributes are included in this application for both, although only one or the other is likely to contain data for any given geographic area. This attribute uses data maintained at the map unit level. 

The yields are actually recorded as three separate values in the database. A low value and a high value indicate the range for the soil component. A ""representative"" value indicates the expected value for the component. For these yields, only the representative value is used.

The yields are based mainly on the experience and records of farmers, conservationists, and extension agents. Available yield data from nearby areas and results of field trials and demonstrations also are considered.

The management needed to obtain the indicated yields of the various crops depends on the kind of soil and the crop. Management can include drainage, erosion control, and protection from flooding; the proper planting and seeding rates; suitable high-yielding crop varieties; appropriate and timely tillage; control of weeds, plant diseases, and harmful insects; favorable soil reaction and optimum levels of nitrogen, phosphorus, potassium, and trace elements for each crop; effective use of crop residue, barnyard manure, and green manure crops; and harvesting that ensures the smallest possible loss.

The estimated yields reflect the productive capacity of each soil for the selected crop. Yields are likely to increase as new production technology is developed. The productivity of a given soil compared with that of other soils, however, is not likely to change.",,,Property,,NA,,1,0,0,0,,1,,,1,NirrYldMU,,cropname,Choice,Crop,yldunits,Choice,Yield Units,0,,NA,NA,,0,,,Weighted Average,0,0,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,04/26/2007 07:18:47,No Aggregation Necessary,NA,1,Float
190,Crop Productivity Index,component,cropprodindex,Integer,NA,NA,"Crop productivity index ratings provide a relative ranking of soils based on their potential for intensive crop production. An index can be used to rate the potential yield of one soil against that of another over a period of time. Ratings range from 0 to 100. The higher numbers indicate higher production potential. The rating is not crop specific.  Minnesota inquiries must use the 'Map Unit Cropland Productivity Report (MN)' soils report from the Soil Reports tab under 'Vegetative Productivity'.  

When the soils are rated, the following assumptions are made: a) adequate management, b) natural weather conditions (no irrigation), c) artificial drainage where required, d) no frequent flooding on the lower lying soils, and e) no land leveling or terracing. Even though predicted average yields will change with time, the productivity indices are expected to remain relatively constant in relation to one another over time.
",,,Property,,NA,,0,1,0,0,,1,,,1,CropProdIn,,,,,,,,0,,NA,NA,,0,,,Weighted Average,1,1,,1,3,5,"<Map_Legend maplegendkey=""3"">
  <ColorRampType type=""1"" name=""Progressive"" count=""3"">
    <LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" />
    <UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" />
    <LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" />
    <UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" />
    <LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" />
    <UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" />
  </ColorRampType>
  <Legend_Symbols shapeType=""polygon"">
    <Styles fillStyle=""esriSFSSolid"" />
    <Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" />
    <Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" />
  </Legend_Symbols>
  <Legend_Elements transparency=""0"" classes=""5"" />
</Map_Legend>",1,08/11/2017 15:58:54,Weighted Average,NA,1,Integer
14,Range Production (Favorable Year),component,rsprod_h,Integer,NA,NA,"Total range production is the amount of vegetation that can be expected to grow annually in a well managed area that is supporting the potential natural plant community. It includes all vegetation, whether or not it is palatable to grazing animals. It includes the current year's growth of leaves, twigs, and fruits of woody plants. It does not include the increase in stem diameter of trees and shrubs. It is expressed in pounds per acre of air-dry vegetation. In a favorable year, the amount and distribution of precipitation and the temperatures make growing conditions substantially better than average. Yields are adjusted to a common percent of air-dry moisture content.

In areas that have similar climate and topography, differences in the kind and amount of vegetation produced on rangeland are closely related to the kind of soil. Effective management is based on the relationship between the soils and vegetation and water.",pounds per acre per year,lbs/acre/yr,Property,,NA,,0,1,0,0,,1,,,1,RngProdFY,,,,,,,,0,,NA,NA,,0,,,Weighted Average,1,1,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,03/04/2007 08:53:53,Weighted Average,NA,1,Integer
25,Yields of Non-Irrigated Crops (Component),cocropyld,nonirryield_r,Float,NA,2,"These are the estimated average yields per acre that can be expected of selected nonirrigated crops under a high level of management. In any given year, yields may be higher or lower than those indicated because of variations in rainfall and other climatic factors.

In the database, some states maintain crop yield data by individual map unit component and others maintain the data at the map unit level. Attributes are included in this application for both, although only one or the other is likely to contain data for any given geographic area. This attribute uses data maintained at the map unit component level.

The yields are actually recorded as three separate values in the database. A low value and a high value indicate the range for the soil component. A ""representative"" value indicates the expected value for the component. For these yields, only the representative value is used.

The yields are based mainly on the experience and records of farmers, conservationists, and extension agents. Available yield data from nearby areas and results of field trials and demonstrations also are considered.

The management needed to obtain the indicated yields of the various crops depends on the kind of soil and the crop. Management can include drainage, erosion control, and protection from flooding; the proper planting and seeding rates; suitable high-yielding crop varieties; appropriate and timely tillage; control of weeds, plant diseases, and harmful insects; favorable soil reaction and optimum levels of nitrogen, phosphorus, potassium, and trace elements for each crop; effective use of crop residue, barnyard manure, and green manure crops; and harvesting that ensures the smallest possible loss.

The estimated yields reflect the productive capacity of each soil for the selected crop. Yields are likely to increase as new production technology is developed. The productivity of a given soil compared with that of other soils, however, is not likely to change.",,,Property,,NA,,0,1,0,0,,1,,,1,NirrYldCo,,cropname,Choice,Crop,yldunits,Choice,Yield Units,0,,NA,NA,,0,,,Weighted Average,1,1,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,04/26/2007 07:15:43,Weighted Average,NA,1,Float
49,Forest Productivity (Tree Site Index),coforprod,siteindex_r,Integer,NA,NA,"The ""site index"" is the average height, in feet, that dominant and codominant trees of a given species attain in a specified number of years. The site index applies to fully stocked, even-aged, unmanaged stands. 

This attribute is actually recorded as three separate values in the database. A low value and a high value indicate the range of this attribute for the soil component. A ""representative"" value indicates the expected value of this attribute for the component. For this attribute, only the representative value is used.",feet,ft,Property,,NA,,0,1,0,0,,1,,,1,SiteIndex,,plantcomname,String,Tree,siteindexbase,Choice,Site Index Base,0,,NA,NA,,0,,,Weighted Average,0,0,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,04/03/2009 08:09:27,Dominant Component,NA,1,Integer
