aashtocl,rvindicator,chkey,chaashtokey
A-2-4,Yes,42894272,70099087
A-4,No ,42894272,70099088
A-2-4,Yes,42894273,70099089
A-4,No ,42894273,70099090
A-1-b,Yes,42894274,70099091
A-2,No ,42894274,70099092
A-4,Yes,42894283,70099106
A-6,No ,42894283,70099107
A-4,Yes,42894345,70099176
A-6,Yes,42894346,70099177
A-4,Yes,42894347,70099178
A-6,Yes,42894348,70099179
A-2-4,Yes,42894349,70099180
A-4,Yes,42894350,70099181
A-2-4,Yes,42894351,70099182
A-4,Yes,42894352,70099183
A-4,Yes,42894353,70099184
A-1-a,Yes,42894354,70099185
A-2-6,Yes,42894355,70099186
A-2-4,Yes,42894356,70099187
A-4,Yes,42894360,70099194
A-6,Yes,42894361,70099195
A-6,Yes,42894362,70099196
A-4,Yes,42894363,70099197
A-2-4,Yes,42894364,70099198
A-4,Yes,42894365,70099199
A-4,Yes,42894366,70099200
A-4,Yes,42894367,70099201
A-2-4,Yes,42894368,70099202
A-2-4,Yes,42894369,70099203
A-2-6,Yes,42894370,70099204
A-1-a,Yes,42894371,70099205
A-2-4,Yes,42894372,70099206
A-4,Yes,42894373,70099207
A-6,Yes,42894374,70099208
A-6,Yes,42894375,70099209
A-4,Yes,42894376,70099210
A-2-4,Yes,42894377,70099211
A-4,Yes,42894378,70099212
A-4,Yes,42894379,70099213
A-4,Yes,42894380,70099214
A-4,Yes,42894381,70099215
A-6,Yes,42894382,70099216
A-6,Yes,42894383,70099217
A-6,Yes,42894384,70099218
A-4,Yes,42894385,70099219
A-2-4,Yes,42894386,70099220
A-1-b,Yes,42894395,70099233
A-2,No ,42894395,70099234
A-1-b,Yes,42894396,70099235
A-1-a,Yes,42894397,70099236
A-1-a,Yes,42894398,70099237
A-1-b,Yes,42894399,70099238
A-2,No ,42894399,70099239
A-1-b,Yes,42894400,70099240
A-1-a,Yes,42894401,70099241
A-1-a,Yes,42894402,70099242
A-1-a,Yes,42894403,70099243
A-1-a,Yes,42894404,70099244
A-1-b,Yes,42894405,70099245
A-2,No ,42894405,70099246
A-1-b,Yes,42894406,70099247
A-6,Yes,42894407,70099248
A-6,No ,42894408,70099249
A-7-6,Yes,42894408,70099250
A-2-4,Yes,42894412,70099254
A-4,No ,42894412,70099255
A-2,Yes,42894413,70099256
A-4,No ,42894413,70099257
A-4,Yes,42894414,70099258
A-6,No ,42894414,70099259
A-4,Yes,42894415,70099260
A-6,No ,42894415,70099261
A-2-4,Yes,42894416,70099262
A-4,No ,42894416,70099263
A-6,No ,42894417,70099264
A-2,No ,42894417,70099265
A-4,Yes,42894417,70099266
A-4,Yes,42894418,70099267
A-6,No ,42894419,70099268
A-2,No ,42894419,70099269
A-4,Yes,42894419,70099270
A-1-b,Yes,42894458,70099333
A-2,No ,42894458,70099334
A-3,No ,42894458,70099335
A-2-4,Yes,42894459,70099336
A-1-b,No ,42894459,70099337
A-3,No ,42894459,70099338
A-2-4,Yes,42894461,70099339
A-4,No ,42894461,70099340
A-4,Yes,42894462,70099341
A-6,Yes,42894463,70099342
A-6,Yes,42894464,70099343
A-4,Yes,42894465,70099344
A-4,Yes,42894466,70099345
A-4,Yes,42894467,70099346
A-4,Yes,42894468,70099347
A-2-4,No ,42894468,70099348
A-2-4,No ,42894469,70099349
A-4,Yes,42894469,70099350
A-4,No ,42894470,70099351
A-2-4,Yes,42894470,70099352
A-4,Yes,42894471,70099353
A-4,Yes,42894472,70099354
A-6,Yes,42894473,70099355
A-4,No ,42894474,70099356
A-6,Yes,42894474,70099357
A-6,Yes,42894475,70099358
A-4,No ,42894475,70099359
A-6,No ,42894476,70099360
A-4,Yes,42894476,70099361
A-4,Yes,42894485,70099370
A-6,Yes,42894486,70099371
A-7,No ,42894486,70099372
A-6,Yes,42894490,70099373
A-7-6,Yes,42894491,70099374
A-6,Yes,42894492,70099375
A-7,No ,42894492,70099376
A-2-4,Yes,42894505,70099402
A-1,No ,42894505,70099403
A-4,Yes,42894506,70099404
A-6,No ,42894506,70099405
A-2-4,Yes,42894507,70099406
A-1,No ,42894507,70099407
A-4,No ,42894507,70099408
A-1,Yes,42894508,70099409
A-2-4,Yes,42894509,70099410
A-1,No ,42894509,70099411
A-1,Yes,42894510,70099412
A-2,No ,42894511,70099413
A-4,Yes,42894511,70099414
A-6,Yes,42894528,70099437
A-6,No ,42894529,70099438
A-7-6,Yes,42894529,70099439
A-6,No ,42894530,70099440
A-7-6,Yes,42894530,70099441
A-6,Yes,42894531,70099442
A-6,Yes,42894533,70099443
A-6,No ,42894534,70099444
A-7-6,Yes,42894534,70099445
A-6,No ,42894535,70099446
A-7-6,Yes,42894535,70099447
A-6,Yes,42894536,70099448
A-2-4,Yes,42894538,70099449
A-1,No ,42894538,70099450
A-1-a,Yes,42894539,70099451
A-1-a,Yes,42894541,70099452
A-1-a,Yes,42894543,70099453
A-7-6,Yes,42894545,70099454
A-7-6,Yes,42894546,70099455
A-7-5,Yes,42894547,70099456
A-6,Yes,42894549,70099457
A-7,No ,42894549,70099458
A-6,No ,42894550,70099459
A-7-6,Yes,42894550,70099460
A-4,Yes,42894566,70099477
A-4,No ,42894567,70099478
A-6,Yes,42894567,70099479
A-6,Yes,42894588,70099499
A-6,Yes,42894589,70099500
A-7,No ,42894589,70099501
A-4,Yes,42894590,70099502
A-6,No ,42894590,70099503
A-7,No ,42894590,70099504
A-6,Yes,42894591,70099505
A-6,No ,42894592,70099506
A-7-6,Yes,42894592,70099507
A-4,Yes,42894598,70099515
A-2,No ,42894599,70099516
A-4,Yes,42894599,70099517
A-4,Yes,42894601,70099518
A-2-4,Yes,42894602,70099519
A-4,No ,42894602,70099520
A-6,No ,42894611,70099534
A-7-6,Yes,42894611,70099535
A-6,Yes,42894612,70099536
A-6,No ,42894613,70099537
A-7-6,Yes,42894613,70099538
A-2,No ,42894614,70099539
A-6,Yes,42894614,70099540
A-7-6,Yes,42894615,70099541
A-4,Yes,42894644,70099570
A-2-4,Yes,42894645,70099571
A-1,No ,42894645,70099572
A-4,No ,42894645,70099573
A-4,Yes,42894648,70099574
A-4,Yes,42894649,70099575
A-4,Yes,42894651,70099576
A-4,No ,42894652,70099577
A-6,Yes,42894652,70099578
A-1-a,Yes,42894688,70099642
A-1-a,Yes,42894689,70099643
A-6,Yes,42894694,70099652
A-7-6,Yes,42894695,70099653
A-6,No ,42894696,70099654
A-7-6,Yes,42894696,70099655
A-6,Yes,42894698,70099656
A-6,Yes,42894699,70099657
A-7-6,Yes,42894700,70099658
A-6,Yes,42894702,70099659
A-6,Yes,42894703,70099660
A-7-6,Yes,42894704,70099661
A-6,Yes,42894706,70099662
A-6,No ,42894707,70099663
A-7-6,Yes,42894707,70099664
A-4,Yes,42894722,70099680
A-4,Yes,42894723,70099681
A-6,No ,42894723,70099682
A-2-4,Yes,42894724,70099683
A-4,No ,42894724,70099684
A-1,Yes,42894728,70099688
A-2,No ,42894728,70099689
A-1,Yes,42894729,70099690
