rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Very friable,Soft,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894345,3584956
Very friable,Hard,NA,NA,NA,Slightly sticky,Slightly plastic,Yes,42894346,3584959
Friable,Very hard,NA,NA,NA,Slightly sticky,Nonplastic,Yes,42894347,3584957
Very friable,Hard,NA,NA,NA,Moderately sticky,Moderately plastic,Yes,42894348,3584958
Very friable,Hard,NA,NA,NA,Slightly sticky,Nonplastic,Yes,42894349,3584983
Very friable,Slightly hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894350,3584981
Very friable,Extremely hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894351,3584982
Very friable,Hard,NA,NA,NA,Slightly sticky,Slightly plastic,Yes,42894352,3584961
Very friable,Hard,NA,NA,NA,Slightly sticky,Slightly plastic,Yes,42894353,3584960
Very friable,Very hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894354,3584962
Friable,Hard,NA,NA,NA,Moderately sticky,Moderately plastic,Yes,42894355,3584964
Very friable,Slightly hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894356,3584963
Very friable,Soft,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894360,3584946
Very friable,Hard,NA,NA,NA,Slightly sticky,Slightly plastic,Yes,42894361,3584952
Very friable,Hard,NA,NA,NA,Moderately sticky,Moderately plastic,Yes,42894362,3584951
Friable,Very hard,NA,NA,NA,Slightly sticky,Nonplastic,Yes,42894363,3584965
Very friable,Hard,NA,NA,NA,Slightly sticky,Nonplastic,Yes,42894364,3584947
Very friable,Slightly hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894365,3584966
Very friable,Hard,NA,NA,NA,Slightly sticky,Slightly plastic,Yes,42894366,3584949
Very friable,Hard,NA,NA,NA,Slightly sticky,Slightly plastic,Yes,42894367,3584953
Very friable,Extremely hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894368,3584948
Very friable,Slightly hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894369,3584954
Friable,Hard,NA,NA,NA,Moderately sticky,Moderately plastic,Yes,42894370,3584955
Very friable,Very hard,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894371,3584950
Very friable,Hard,NA,NA,NA,Slightly sticky,Nonplastic,Yes,42894372,3584984
Very friable,Soft,NA,NA,NA,Nonsticky,Nonplastic,Yes,42894373,3584967
Very friable,Hard,NA,NA,NA,Slightly sticky,Slightly plastic,Yes,42894374,3584969
