desgnsuffix,chkey,chdesgnsfxkey
w,42894273,16084642
p,42894345,16085113
t,42894346,16085116
t,42894347,16085114
t,42894348,16085115
p,42894350,16085135
t,42894352,16085118
t,42894353,16085117
t,42894355,16085120
p,42894356,16085119
p,42894360,16085106
t,42894361,16085109
t,42894362,16085108
t,42894363,16085121
p,42894365,16085122
t,42894366,16085107
t,42894367,16085110
p,42894369,16085111
t,42894370,16085112
p,42894373,16085123
t,42894374,16085125
t,42894375,16085124
t,42894376,16085126
p,42894378,16085128
t,42894379,16085127
t,42894380,16085129
t,42894382,16085132
t,42894383,16085130
t,42894384,16085133
k,42894384,16085134
k,42894385,16085131
r,42894409,16084645
k,42894412,16084750
t,42894414,16084640
k,42894416,16084641
p,42894462,16084965
t,42894463,16085061
t,42894464,16085060
k,42894465,16085062
k,42894466,16085063
p,42894467,16084973
t,42894468,16084966
k,42894469,16084967
k,42894470,16084968
p,42894471,16084969
t,42894473,16084970
k,42894474,16084971
k,42894475,16084972
t,42894486,16084656
r,42894487,16084657
p,42894490,16084658
w,42894491,16084659
k,42894492,16084660
t,42894506,16084664
t,42894509,16084665
t,42894529,16084771
t,42894530,16084772
k,42894531,16084773
r,42894532,16084774
t,42894534,16084775
t,42894535,16084776
k,42894536,16084777
r,42894537,16084778
r,42894540,16084671
w,42894541,16084672
r,42894542,16084673
r,42894548,16084674
p,42894588,16084780
t,42894589,16084781
k,42894590,16084782
r,42894593,16084675
k,42894599,16084678
r,42894600,16084679
r,42894603,16084680
t,42894611,16084783
k,42894614,16084682
w,42894695,16084688
k,42894696,16084689
r,42894697,16084690
w,42894699,16084691
k,42894700,16084692
r,42894701,16084693
w,42894703,16084784
k,42894704,16084785
r,42894705,16084786
r,42894708,16084694
t,42894723,16084697
k,42894724,16084698
t,42894731,16084699
k,42894732,16084700
w,42894743,16084701
k,42894744,16084702
r,42894745,16084703
w,42894747,16084704
w,42894750,16084705
w,42894753,16084706
t,42894755,16084707
t,42894816,16084720
t,42894819,16084721
t,42894823,16085138
t,42894824,16085137
t,42894825,16085136
t,42894827,16085140
t,42894828,16085139
t,42894961,16084858
k,42894961,16084859
k,42894962,16084861
t,42894963,16084860
k,42894964,16084862
t,42894966,16084863
k,42894967,16084864
t,42894967,16084865
k,42894968,16084866
k,42894969,16084867
w,42894971,16084869
k,42894972,16084868
t,42894988,16084935
k,42894989,16084938
k,42894990,16084936
t,42894990,16084937
k,42894991,16084939
t,42894993,16084945
k,42894994,16084946
k,42894996,16084949
w,42894998,16084950
k,42894999,16084951
k,42895000,16084952
k,42895001,16084953
t,42895003,16084927
t,42895004,16084928
k,42895004,16084929
k,42895005,16084930
k,42895006,16084931
t,42895007,16084888
n,42895007,16084889
t,42895008,16084886
n,42895008,16084887
y,42895009,16084874
n,42895009,16084875
t,42895009,16084876
n,42895010,16084877
k,42895010,16084878
y,42895010,16084879
n,42895011,16084880
y,42895011,16084881
n,42895012,16084882
k,42895012,16084883
t,42895012,16084884
y,42895012,16084885
t,42895014,16084890
t,42895015,16084891
k,42895016,16084893
k,42895017,16084892
w,42895021,16084894
k,42895022,16084895
k,42895023,16084896
k,42895024,16084897
t,42895025,16084912
k,42895026,16084913
t,42895026,16084914
k,42895027,16084915
k,42895028,16084916
t,42895031,16084898
k,42895032,16084899
t,42895032,16084900
k,42895033,16084901
k,42895034,16084902
t,42895036,16084906
k,42895037,16084903
t,42895037,16084904
k,42895038,16084905
k,42895039,16084907
w,42895041,16084911
ss,42895042,16084908
k,42895042,16084909
r,42895043,16084910
r,45496130,17382085
k,45496132,17382086
t,45496132,17382087
k,45496133,17382088
t,45496135,17382089
k,45496139,17382090
t,45496139,17382091
r,45496140,17382092
t,45496141,17382093
,45496184,17382108
t,45496206,17382116
r,45496207,17382117
i,45496225,17382125
r,45496226,17382126
r,45496232,17382127
i,45496234,17382128
r,45496235,17382129
t,45496240,17382130
i,45496241,17382131
r,45496242,17382132
i,45496245,17382133
r,45496246,17382134
i,45496250,17382135
r,45496251,17382136
r,45496255,17382137
t,45496262,17382140
r,45496264,17382141
i,45496265,17382142
w,45496271,17382143
i,45496272,17382144
r,45496274,17382145
r,45496393,17382201
i,45496395,17382202
r,45496396,17382203
e,45496400,17382204
t,45496405,17382205
t,45496406,17382206
i,45496407,17382207
r,45496408,17382208
r,45496411,17382209
i,45496414,17382210
t,45496416,17382211
r,45496437,17382220
i,45496439,17382221
i,45496441,17382222
i,45496444,17382223
r,45496445,17382224
i,45496446,17382225
r,45496447,17382226
w,45496449,17382227
w,45496450,17382228
b,45496454,17382229
g,45496454,17382230
t,45496498,17382247
r,45496499,17382248
i,45496501,17382249
i,45496502,17382250
t,45496505,17382251
t,45496509,17382252
r,45496510,17382253
i,45496512,17382254
r,45496515,17382255
i,45496516,17382256
t,45496518,17382257
r,45496520,17382258
i,45496521,17382259
r,45496526,17382260
r,45496528,17382261
i,45496529,17382262
r,45496532,17382263
i,45496536,17382264
r,45496537,17382265
r,45496583,17382284
b,45496588,17382285
g,45496588,17382286
t,45496620,17382296
i,45496621,17382297
t,45496625,17382298
r,45496626,17382299
i,45496627,17382300
i,45496628,17382301
t,45496632,17382302
r,45496633,17382303
t,45496636,17382304
r,45496637,17382305
i,45496639,17382306
i,45496661,17382317
r,45496662,17382318
i,45496665,17382319
r,45496666,17382320
r,45496672,17382321
t,45496706,17382332
t,45496707,17382333
e,45496708,17382334
r,45496713,17382335
i,45496714,17382336
r,45496715,17382337
r,45496718,17382338
i,45496721,17382339
t,45496722,17382340
r,45496723,17382341
i,45496725,17382342
t,45496730,17382343
r,45496731,17382344
t,45496734,17382345
r,45496735,17382346
r,45496741,17382347
t,45496744,17382348
r,45496807,17382378
i,45496808,17382379
r,45496813,17382380
r,45496816,17382381
i,45496817,17382382
