fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,3,6,,2,4,5,,,,42894272,73501705
0,6,11,,2,4,5,,,,42894273,73501706
0,5,9,,5,40,75,,,,42894273,73501707
0,7,14,,2,4,5,,,,42894274,73501708
11,17,23,,5,40,75,,,,42894274,73501709
NA,NA,NA,,5,40,75,,,,42894282,73501724
0,3,6,,2,4,5,,,,42894283,73501725
0,3,6,,5,40,75,,,,42894283,73501726
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894347,73501762
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894348,73501763
0,2,10,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894349,73501764
0,2,10,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894351,73501765
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894352,73501766
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894353,73501767
10,10,20,Mixed rock fragments,5,10,20,Nonflat,Subrounded,Indurated,42894354,73501768
25,40,60,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894354,73501769
0,5,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894355,73501770
0,25,30,Mixed rock fragments,5,10,20,Nonflat,Subrounded,Indurated,42894355,73501771
10,10,20,Mixed rock fragments,5,10,20,Nonflat,Subrounded,Indurated,42894356,73501772
5,5,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894356,73501773
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Strongly cemented,42894362,73501783
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Strongly cemented,42894363,73501784
0,2,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894364,73501785
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Strongly cemented,42894366,73501786
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Strongly cemented,42894367,73501787
0,2,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Strongly cemented,42894368,73501788
5,5,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894369,73501789
10,10,20,Mixed rock fragments,5,10,20,Nonflat,Subrounded,Indurated,42894369,73501790
0,5,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894370,73501791
0,25,30,Mixed rock fragments,5,10,20,Nonflat,Subrounded,Indurated,42894370,73501792
10,10,20,Mixed rock fragments,5,10,20,Nonflat,Subrounded,Indurated,42894371,73501793
25,40,60,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894371,73501794
0,2,10,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894372,73501795
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894375,73501796
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894376,73501797
0,2,10,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894377,73501798
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894379,73501799
0,0,5,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894380,73501800
0,3,6,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894381,73501801
0,2,3,Arkose fragments,5,40,75,Nonflat,Subrounded,Indurated,42894381,73501802
0,3,6,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894382,73501803
0,2,3,Arkose fragments,5,40,75,Nonflat,Subangular,Indurated,42894382,73501804
0,3,6,Arkose fragments,2,4,5,Nonflat,Subangular,Indurated,42894383,73501805
0,2,3,Arkose fragments,5,40,75,Nonflat,Subrounded,Indurated,42894383,73501806
0,3,6,Arkose fragments,2,4,5,Nonflat,Subangular,Indurated,42894384,73501807
0,2,3,Arkose fragments,5,40,75,Nonflat,Subangular,Indurated,42894384,73501808
0,2,3,Arkose fragments,2,4,5,Nonflat,Subrounded,Indurated,42894385,73501809
0,2,3,Arkose fragments,5,40,75,Nonflat,Subrounded,Indurated,42894385,73501810
0,2,3,Arkose fragments,2,4,5,Nonflat,Subangular,Indurated,42894386,73501811
0,2,3,Arkose fragments,5,40,75,Nonflat,Subrounded,Indurated,42894386,73501812
0,7,14,,2,4,5,,,,42894395,73501821
10,17,23,,5,40,75,,,,42894395,73501822
0,2,3,,75,162,250,,,,42894395,73501823
0,2,3,,250,625,1000,,,,42894395,73501824
0,7,14,,2,4,5,,,,42894396,73501825
20,29,37,,5,40,75,,,,42894396,73501826
0,3,6,,75,162,250,,,,42894396,73501827
0,3,6,,250,625,1000,,,,42894396,73501828
0,6,11,,2,4,5,,,,42894397,73501829
32,40,48,,5,40,75,,,,42894397,73501830
0,3,6,,75,162,250,,,,42894397,73501831
0,3,6,,250,625,1000,,,,42894397,73501832
0,7,14,,2,4,5,,,,42894398,73501833
20,29,37,,5,40,75,,,,42894398,73501834
0,3,6,,75,162,250,,,,42894398,73501835
0,3,6,,250,625,1000,,,,42894398,73501836
0,7,14,,2,4,5,,,,42894399,73501837
10,17,23,,5,40,75,,,,42894399,73501838
0,2,3,,75,162,250,,,,42894399,73501839
