hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
A,NA,A,NA,NA,NA,0,NA,NA,25,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,90,95,100,60,65,70,30,35,40,NA,66.8,NA,NA,4.4,NA,NA,14.3,NA,NA,17.7,NA,NA,19.8,NA,NA,10.6,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,10,14,18,NA,NA,NA,2,3,4,NA,NA,NA,1.35,1.43,1.5,NA,NA,NA,1.42,1.5,1.56,NA,14.11,28,42.33,0.1,0.12,0.13,NA,NA,NA,14.4,21.1,24.3,8.3,12.1,16.1,37,41,45,0,1.5,2.9,25,27.5,30,5,7.5,10,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10,15,20,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875503,42894272
Bw,NA,B,NA,NA,NA,25,NA,NA,91,NA,NA,NA,NA,0,0,0,0,0,0,85,92.5,100,80,90,100,50,67.5,85,25,40,55,NA,65.9,NA,NA,4.3,NA,NA,14.1,NA,NA,17.5,NA,NA,19.6,NA,NA,10.4,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,10,15,20,NA,NA,NA,1,1.5,2,NA,NA,NA,1.35,1.43,1.5,NA,NA,NA,1.42,1.5,1.57,NA,4.233,9,14.11,0.1,0.12,0.14,NA,NA,NA,12.1,19.3,23.3,6.5,10.4,14.6,35,40,46,0,1.5,2.9,25,27.5,30,5,7.5,10,0,0,3,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875503,42894273
C,NA,C,NA,NA,NA,91,NA,NA,152,NA,NA,NA,NA,0,0,0,0,0,0,60,70,80,55,65,75,35,42.5,50,20,25,30,NA,65.3,NA,NA,4.3,NA,NA,13.2,NA,NA,16.4,NA,NA,19.8,NA,NA,11.6,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA,5,11.5,18,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.35,1.43,1.5,NA,NA,NA,1.43,1.51,1.6,NA,14.11,28,42.33,0.06,0.08,0.1,NA,NA,NA,4.9,13.1,17.7,2.1,5.6,9.7,28,34,39,0,1.5,2.9,20,22.5,25,0,2.5,5,0,0,0,0.17,0.32,0,1,2,0,0,0,0,0,0,0,0,0,2,6,10,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875503,42894274
A,NA,A,NA,NA,NA,0,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1.25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,9,14.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875510,42894282
C,NA,C,NA,NA,NA,15,NA,NA,152,NA,NA,NA,NA,0,0,0,0,0,0,90,95,100,90,95,100,65,80,95,40,62.5,85,NA,55,NA,NA,0.4,NA,NA,7,NA,NA,18.8,NA,NA,22.3,NA,NA,6.5,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,5,25,35,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.2,1.28,1.35,NA,NA,NA,1.26,1.34,1.4,NA,1.411,8,14.11,0.14,0.16,0.18,NA,NA,NA,6.4,28.5,32.9,3.1,13.9,19.9,44,47,52,0,1.5,2.9,20,27.5,35,5,10,15,0,3,12,0.24,0.24,1,6,10,0,0,0,0,0,0,0,1,2,5,10,15,NA,NA,NA,NA,NA,NA,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875510,42894283
Ap,NA,A,NA,NA,0,0,0,9,13,21,9,13,21,0,0,0,0,0,0,100,100,100,100,100,100,74,77,80,37,39,44,53,66.8,67,2,4.4,4.4,12,14.3,14.3,14,17.7,17.7,16,19.8,19.9,9,10.6,10.7,19,19.2,33,NA,NA,NA,NA,NA,NA,8,14,16,0,0,0,2,3,4,NA,NA,NA,1.48,1.52,1.56,NA,NA,NA,1.55,1.59,1.6,2.58,14.11,28.225,42.34,0.1,0.11,0.12,NA,NA,NA,17.8,22.3,24.2,8,13.2,15.9,38,39,41,0.8,1.5,1.7,23,31,35,4,8,10,0,0,1,0.15,0.15,0,0,5,0,0,0,0,0,0,0.1,0.1,2,7.5,12.6,14.3,NA,NA,NA,5.9,12.3,53.3,6.1,6.8,7.8,5.6,6.3,7.3,NA,NA,NA,NA,NA,NA,0.1,3.7,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875535,42894345
Bt1,NA,B,NA,1,9,13,21,18,20,27,3,7,18,0,0,0,0,0,0,100,100,100,100,100,100,74,76,83,43,48,55,52,58,63,3.5,5.5,5.9,5,14.7,15.2,12.5,13.4,14.7,14.3,15,21.9,9,9.4,13.5,15,25,36,NA,NA,NA,NA,NA,NA,12,17,22,0,0,0,0.5,1.25,2,NA,NA,NA,1.45,1.51,1.57,NA,NA,NA,1.53,1.59,1.64,2.61,4.23,28.225,42.34,0.1,0.11,0.12,NA,NA,NA,18.1,21.7,24.7,8.3,12.5,16.7,38,40,42,1.2,1.8,2.8,24,30,36,7,11,15,0,2,5,0.28,0.28,0,0,1,0,0,0,0,0,0,0.1,0.1,2,10.2,14.5,18.6,NA,NA,NA,8,13.9,57.6,6.1,6.8,7.8,5.6,6.3,7.3,NA,NA,NA,NA,NA,NA,0,3.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875535,42894346
Bt3,NA,B,NA,3,33,69,73,78,91,104,5,22,71,0,0,0,0,0,0,100,100,100,92,100,100,68,76,81,31,37,42,66,70,75,4.3,4.9,19.5,14.1,14.2,17.9,13.2,17.5,18.6,12.5,21.1,22.3,6.9,12.3,13,10,20,27,NA,NA,NA,NA,NA,NA,7,10,15,0,0,0,0.5,0.75,1,NA,NA,NA,1.59,1.6,1.62,NA,NA,NA,1.64,1.65,1.68,2.62,14.11,28.225,42.34,0.09,0.12,0.13,NA,NA,NA,14.2,17.6,21,5.2,7.9,11.6,34,37,37,0.6,1,1.6,19,22,28,3,5,9,0,0,0,0.24,0.24,0,0,1,0,0,0,0,0,0,0.1,0.1,2,6.3,8.8,12.8,NA,NA,NA,5.4,8.4,51.8,6.1,6.8,7.8,5.6,6.3,7.3,NA,NA,NA,NA,NA,NA,0,2.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875535,42894347
Bt2,NA,B,NA,2,18,20,27,33,69,73,6,49,55,0,0,0,0,0,0,100,100,100,92,100,100,72,86,88,38,48,50,52,57,63,1,1.2,1.6,7,7.6,8,18,20.2,21,17,18.3,21,9,9.7,11.4,12,18,23,NA,NA,NA,NA,NA,NA,18,25,27,0,0,0,0.5,1.25,2,NA,NA,NA,1.41,1.51,1.61,NA,NA,NA,1.56,1.66,1.68,2.59,4.233,9.17,42.34,0.1,0.12,0.13,NA,NA,NA,20.4,25.3,26.7,11.5,17.5,19.8,34,40,43,1.8,3.3,3.7,29,38,41,12,17,19,0,4,6,0.2,0.2,0,0,1,0,0,0,0,0,0,0.1,0.1,2,14.7,20.5,22.3,NA,NA,NA,12.5,19.9,61.3,6.1,6.8,7.8,5.6,6.3,7.3,NA,NA,NA,NA,NA,NA,0.4,4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875535,42894348
C,NA,C,NA,NA,78,91,104,203,203,203,99,112,125,0,0,0,0,0,0,100,100,100,85,97,100,38,50,55,13,20,25,74,82,85,0.6,16.5,22.1,9.4,27.4,30.2,14.9,19.8,26.8,8.9,13.5,32.3,3.6,4.8,12.5,0,7,21,NA,NA,NA,NA,NA,NA,5,11,15,0,0,0,0,0.25,0.5,NA,NA,NA,1.6,1.68,1.75,NA,NA,NA,1.65,1.73,1.76,2.63,14.11,91.74,141.14,0.05,0.05,0.11,16.7,23,25.7,11.5,18.3,21.6,3.5,8.7,12.4,29,34,37,0.5,1,1.6,16,22,26,2,7,10,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0.1,0.1,2,6.9,9.2,13.2,NA,NA,NA,5.7,9,52.2,6.1,6.8,8.4,5.6,6.3,7.9,NA,NA,NA,NA,NA,NA,0,2.4,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875535,42894349
