structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Fine,Granular,NA,NA,21271308,25962487
Weak,Medium,Subangular blocky,2,NA,21271309,25962515
Weak,Coarse,Prismatic,1,2,21271309,25962516
,,Massive,NA,NA,21271310,25962514
Moderate,Fine,Granular,NA,NA,21271369,25962418
Moderate,Medium,Subangular blocky,2,NA,21271370,25962419
Weak,Coarse,Prismatic,1,2,21271370,25962420
Moderate,Medium,Subangular blocky,2,NA,21271371,25962421
Moderate,Medium,Prismatic,1,2,21271371,25962422
Moderate,Coarse,Prismatic,1,2,21271372,25962423
Moderate,Medium,Subangular blocky,2,NA,21271372,25962424
Structureless,,Massive,1,NA,21271373,25962425
Moderate,Medium,Granular,NA,NA,21271374,25962426
Structureless,,Massive,NA,NA,21271375,25962427
Moderate,Coarse,Prismatic,1,2,21271376,25962428
Weak,Medium,Subangular blocky,2,NA,21271376,25962429
Moderate,Coarse,Prismatic,1,2,21271377,25962430
Weak,Coarse,Subangular blocky,2,NA,21271377,25962431
Structureless,,Massive,NA,NA,21271378,25962432
Moderate,Medium,Subangular blocky,NA,NA,21271379,25962433
Moderate,Medium,Granular,NA,NA,21271380,25962434
Moderate,Fine,Granular,NA,NA,21271382,25962436
Weak,Coarse,Prismatic,1,2,21271383,25962437
Moderate,Medium,Subangular blocky,2,NA,21271383,25962438
Moderate,Medium,Subangular blocky,2,NA,21271384,25962439
Moderate,Coarse,Prismatic,1,2,21271384,25962440
Moderate,Medium,Subangular blocky,2,NA,21271385,25962441
Moderate,Medium,Prismatic,1,2,21271385,25962442
Structureless,,Massive,1,NA,21271386,25962443
Moderate,Medium,Granular,NA,NA,21271387,25962444
Weak,Medium,Subangular blocky,2,NA,21271388,25962445
Moderate,Coarse,Prismatic,1,2,21271388,25962446
Moderate,Coarse,Prismatic,1,2,21271389,25962447
Weak,Coarse,Subangular blocky,2,NA,21271389,25962448
Structureless,,Massive,NA,NA,21271390,25962449
Moderate,Medium,Granular,NA,NA,21271391,25962450
Moderate,Medium,Subangular blocky,NA,NA,21271392,25962451
Structureless,,Massive,NA,NA,21271393,25962452
Structureless,,Massive,1,NA,21271394,25962453
Moderate,Fine,Granular,NA,NA,21271395,25962454
Moderate,Medium,Subangular blocky,2,NA,21271396,25962455
Weak,Coarse,Prismatic,1,2,21271396,25962456
Moderate,Medium,Subangular blocky,2,NA,21271397,25962523
Moderate,Coarse,Prismatic,1,2,21271397,25962524
Moderate,Medium,Prismatic,1,2,21271398,25962525
Moderate,Medium,Subangular blocky,2,NA,21271398,25962526
Structureless,,Massive,NA,NA,21271399,25962527
Moderate,Medium,Granular,NA,NA,21271400,25962528
Moderate,Coarse,Prismatic,1,2,21271401,25962529
Weak,Medium,Subangular blocky,2,NA,21271401,25962530
