structgrpname,rvindicator,chkey,chstructgrpkey
weak fine granular structure,Yes,42894272,21271308
weak coarse prismatic structure parting to weak medium subangular blocky structure,Yes,42894273,21271309
massive,Yes,42894274,21271310
moderate fine granular structure,Yes,42894345,21271369
weak coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,42894346,21271370
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,42894347,21271371
moderate coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,42894348,21271372
structureless massive structure,Yes,42894349,21271373
moderate medium granular structure,Yes,42894350,21271374
structureless massive structure,Yes,42894351,21271375
moderate coarse prismatic structure parts to weak medium subangular blocky structure,Yes,42894352,21271376
moderate medium prismatic structure parts to weak medium subangular blocky structure,Yes,42894353,21271377
structureless massive structure,Yes,42894354,21271378
moderate medium subangular blocky structure,Yes,42894355,21271379
moderate medium granular structure,Yes,42894356,21271380
moderate fine granular structure,Yes,42894360,21271382
weak coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,42894361,21271383
moderate coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,42894362,21271384
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,42894363,21271385
structureless massive structure,Yes,42894364,21271386
moderate medium granular structure,Yes,42894365,21271387
moderate coarse prismatic structure parts to weak medium subangular blocky structure,Yes,42894366,21271388
moderate medium prismatic structure parts to weak medium subangular blocky structure,Yes,42894367,21271389
structureless massive structure,Yes,42894368,21271390
moderate medium granular structure,Yes,42894369,21271391
moderate medium subangular blocky structure,Yes,42894370,21271392
structureless massive structure,Yes,42894371,21271393
structureless massive structure,Yes,42894372,21271394
moderate fine granular structure,Yes,42894373,21271395
weak coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,42894374,21271396
moderate coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,42894375,21271397
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,42894376,21271398
structureless massive structure,Yes,42894377,21271399
moderate medium granular structure,Yes,42894378,21271400
moderate coarse prismatic structure parts to weak medium subangular blocky structure,Yes,42894379,21271401
moderate medium prismatic structure parts to weak medium subangular blocky structure,Yes,42894380,21271402
moderate fine granular structure,Yes,42894381,21271403
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,42894382,21271404
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,42894383,21271405
weak medium subangular blocky structure,Yes,42894384,21271406
weak medium subangular blocky structure,Yes,42894385,21271407
structureless massive structure,Yes,42894386,21271408
moderate medium granular structure,Yes,42894395,21271417
weak medium subangular blocky structure,Yes,42894396,21271418
single grain,Yes,42894397,21271419
single grain,Yes,42894398,21271420
moderate medium granular structure,Yes,42894399,21271421
weak medium subangular blocky structure,Yes,42894400,21271422
single grain,Yes,42894401,21271423
single grain,Yes,42894402,21271424
single grain,Yes,42894403,21271425
single grain,Yes,42894404,21271426
moderate medium granular structure,Yes,42894405,21271427
weak medium subangular blocky structure,Yes,42894406,21271428
weak thin platy structure,Yes,42894407,21271429
"weak fine subangular blocky structure, and weak thick platy structure",Yes,42894408,21271430
massive,Yes,42894412,21271433
moderate fine granular structure,Yes,42894413,21271434
moderate medium prismatic structure parting to moderate medium subangular blocky structure,Yes,42894414,21271435
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,42894415,21271436
massive,Yes,42894416,21271437
moderate fine and medium subangular blocky structure,Yes,42894417,21271438
moderate fine granular structure,Yes,42894418,21271439
moderate coarse subangular blocky structure,Yes,42894419,21271440
single grain,Yes,42894458,21271471
single grain,Yes,42894459,21271472
