texcl,lieutex,chtgkey,chtkey
Sandy loam,,84781934,86267258
Sandy loam,,84781935,86267110
Sandy loam,,84781948,86267398
Sand,,84781949,86267263
Sand,,84781950,86267399
Loamy coarse sand,,84781951,86267261
Sandy loam,,84781965,86268275
Sandy clay loam,,84781966,86268204
Sandy clay loam,,84781967,86268203
Sandy loam,,84781968,86268164
Sandy loam,,84781982,86268231
Sandy clay loam,,84781983,86268205
Loamy coarse sand,,84781984,86268233
Sand,,84781985,86268234
Loamy coarse sand,,84781998,86267117
Coarse sandy loam,,84781999,86266970
Sandy loam,,84782000,86266971
Sandy loam,,84782001,86267403
Loamy sand,,84782032,86267883
Sandy loam,,84782033,86267884
Sandy loam,,84782034,86267734
Loamy coarse sand,,84782035,86268053
Fine sandy loam,,84782050,86267021
Loamy sand,,84782051,86267171
Sandy loam,,84782052,86267172
,Unweathered bedrock,84782065,86267738
Loamy coarse sand,,84782116,86267746
Coarse sand,,84782117,86268064
Sandy loam,,84782117,86268065
,Variable,84782118,86267895
Sandy loam,,84782132,86266960
Sandy loam,,84782133,86267393
Sandy loam,,84782134,86267253
Loamy sand,,84782135,86267254
Clay,,84782165,86268068
Sandy clay,,84782166,86267900
,Weathered bedrock,84782167,86267901
,Unweathered bedrock,84782168,86267902
,Unweathered bedrock,84782169,86267903
Sandy clay loam,,84782199,86267906
Loamy sand,,84782200,86267907
Loam,,84782201,86267756
Clay,,84782232,86267188
Clay loam,,84782233,86267189
Clay,,84782234,86267190
Clay loam,,84782235,86267191
Clay,,84782249,86267602
Silty clay loam,,84782250,86267603
,Weathered bedrock,84782251,86268084
Silty clay loam,,84782252,86267604
Clay loam,,84782316,86267194
Silty clay,,84782317,86267477
Clay loam,,84782318,86267041
Silty clay loam,,84782319,86267478
,Weathered bedrock,84782333,86267606
Fine sandy loam,,84782334,86267607
Fine sandy loam,,84782335,86267608
Sandy loam,,84782336,86267609
Loam,,84782402,86267780
Loam,,84782403,86267615
Clay loam,,84782466,86267939
Silty clay,,84782467,86268107
Clay,,84782468,86267791
Clay loam,,84782469,86268108
Clay,,84782483,86268110
Clay loam,,84782484,86267631
Fine sandy loam,,84781811,86267875
Sandy clay loam,,84781936,86267111
Coarse sandy loam,,84781938,86267260
Loamy coarse sand,,84781945,86267406
Sandy loam,,84781947,86266964
Loamy coarse sand,,84781952,86267262
Sandy loam,,84781954,86266965
Coarse sandy loam,,84781970,86267113
Loamy sand,,84781972,86268202
Loamy coarse sand,,84781977,86268229
Sandy loam,,84781979,86268167
Sandy clay loam,,84781981,86268206
Sand,,84781986,86268274
Loamy coarse sand,,84781988,86267270
Sandy loam,,84781995,86267402
Coarse sandy loam,,84781997,86267116
Sandy loam,,84782002,86267404
Sandy clay loam,,84782004,86266973
Sandy clay loam,,84782006,86267118
Sandy loam,,84782011,86267120
Sandy loam,,84782029,86267733
