texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SL,No ,Yes,Sandy loam,42894272,84781809
SL,No ,Yes,Sandy loam,42894273,84781810
FSL,No ,No ,Fine sandy loam,42894273,84781811
GR-SL,No ,Yes,Gravelly sandy loam,42894274,84781812
VAR,No ,Yes,Variable,42894282,84781824
SR- LS CL,No ,Yes,Stratified loamy sand to clay loam,42894283,84781825
SL,No ,Yes,Sandy loam,42894345,84781934
SL,No ,Yes,Sandy loam,42894346,84781935
SCL,No ,No ,Sandy clay loam,42894346,84781936
SL,No ,Yes,Sandy loam,42894347,84781937
COSL,No ,No ,Coarse sandy loam,42894347,84781938
SCL,No ,Yes,Sandy clay loam,42894348,84781939
SL,No ,No ,Sandy loam,42894348,84781940
LCOS,No ,Yes,Loamy coarse sand,42894349,84781941
LS,No ,No ,Loamy sand,42894349,84781942
COSL,No ,No ,Coarse sandy loam,42894349,84781943
SL,No ,Yes,Sandy loam,42894350,84781944
LCOS,No ,No ,Loamy coarse sand,42894351,84781945
COSL,No ,Yes,Coarse sandy loam,42894351,84781946
SL,No ,Yes,Sandy loam,42894352,84781947
SL,No ,Yes,Sandy loam,42894353,84781948
GRX-S,No ,No ,Extremely gravelly sand,42894354,84781949
GRV-S,No ,No ,Very gravelly sand,42894354,84781950
GRV-LCOS,No ,Yes,Very gravelly loamy coarse sand,42894354,84781951
GRX-LCOS,No ,No ,Extremely gravelly loamy coarse sand,42894354,84781952
SCL,No ,No ,Sandy clay loam,42894355,84781953
SL,No ,No ,Sandy loam,42894355,84781954
GR-SCL,No ,Yes,Gravelly sandy clay loam,42894355,84781955
GR-SL,No ,No ,Gravelly sandy loam,42894355,84781956
GR-SL,No ,Yes,Gravelly sandy loam,42894356,84781957
SL,No ,Yes,Sandy loam,42894360,84781964
SL,No ,Yes,Sandy loam,42894361,84781965
SCL,No ,No ,Sandy clay loam,42894361,84781966
SCL,No ,Yes,Sandy clay loam,42894362,84781967
SL,No ,No ,Sandy loam,42894362,84781968
SL,No ,Yes,Sandy loam,42894363,84781969
COSL,No ,No ,Coarse sandy loam,42894363,84781970
COSL,No ,No ,Coarse sandy loam,42894364,84781971
LS,No ,No ,Loamy sand,42894364,84781972
LCOS,No ,Yes,Loamy coarse sand,42894364,84781973
SL,No ,Yes,Sandy loam,42894365,84781974
SL,No ,Yes,Sandy loam,42894366,84781975
SL,No ,Yes,Sandy loam,42894367,84781976
LCOS,No ,No ,Loamy coarse sand,42894368,84781977
COSL,No ,Yes,Coarse sandy loam,42894368,84781978
GR-SL,No ,Yes,Gravelly sandy loam,42894369,84781979
SL,No ,No ,Sandy loam,42894370,84781980
GR-SCL,No ,Yes,Gravelly sandy clay loam,42894370,84781981
GR-SL,No ,No ,Gravelly sandy loam,42894370,84781982
SCL,No ,No ,Sandy clay loam,42894370,84781983
GRX-LCOS,No ,No ,Extremely gravelly loamy coarse sand,42894371,84781984
GRX-S,No ,No ,Extremely gravelly sand,42894371,84781985
GRV-S,No ,No ,Very gravelly sand,42894371,84781986
GRV-LCOS,No ,Yes,Very gravelly loamy coarse sand,42894371,84781987
LCOS,No ,Yes,Loamy coarse sand,42894372,84781988
LS,No ,No ,Loamy sand,42894372,84781989
COSL,No ,No ,Coarse sandy loam,42894372,84781990
SL,No ,Yes,Sandy loam,42894373,84781991
SL,No ,Yes,Sandy loam,42894374,84781992
SCL,No ,No ,Sandy clay loam,42894374,84781993
SCL,No ,Yes,Sandy clay loam,42894375,84781994
SL,No ,No ,Sandy loam,42894375,84781995
SL,No ,Yes,Sandy loam,42894376,84781996
COSL,No ,No ,Coarse sandy loam,42894376,84781997
LCOS,No ,No ,Loamy coarse sand,42894377,84781998
COSL,No ,Yes,Coarse sandy loam,42894377,84781999
SL,No ,Yes,Sandy loam,42894378,84782000
SL,No ,Yes,Sandy loam,42894379,84782001
SL,No ,Yes,Sandy loam,42894380,84782002
SL,No ,Yes,Sandy loam,42894381,84782003
SCL,No ,Yes,Sandy clay loam,42894382,84782004
SL,No ,No ,Sandy loam,42894382,84782005
SCL,No ,Yes,Sandy clay loam,42894383,84782006
SL,No ,No ,Sandy loam,42894383,84782007
SL,No ,No ,Sandy loam,42894384,84782008
SCL,No ,Yes,Sandy clay loam,42894384,84782009
SL,No ,Yes,Sandy loam,42894385,84782010
SL,No ,No ,Sandy loam,42894386,84782011
LS,No ,Yes,Loamy sand,42894386,84782012
GR-SL,No ,Yes,Gravelly sandy loam,42894395,84782029
GRV-SL,No ,Yes,Very gravelly sandy loam,42894396,84782030
GRX-LCOS,No ,Yes,Extremely gravelly loamy coarse sand,42894397,84782031
GRV-LS,No ,Yes,Very gravelly loamy sand,42894398,84782032
GR-SL,No ,Yes,Gravelly sandy loam,42894399,84782033
GRV-SL,No ,Yes,Very gravelly sandy loam,42894400,84782034
GRX-LCOS,No ,Yes,Extremely gravelly loamy coarse sand,42894401,84782035
GRV-LS,No ,Yes,Very gravelly loamy sand,42894402,84782036
GRX-LCOS,No ,Yes,Extremely gravelly loamy coarse sand,42894403,84782037
GRV-LS,No ,Yes,Very gravelly loamy sand,42894404,84782038
GR-SL,No ,Yes,Gravelly sandy loam,42894405,84782039
GRV-SL,No ,Yes,Very gravelly sandy loam,42894406,84782040
CL,No ,Yes,Clay loam,42894407,84782041
C,No ,Yes,Clay,42894408,84782042
CL,No ,No ,Clay loam,42894408,84782043
SICL,No ,No ,Silty clay loam,42894408,84782044
WB,No ,Yes,Weathered bedrock,42894409,84782045
FSL,No ,No ,Fine sandy loam,42894412,84782050
LS,No ,No ,Loamy sand,42894412,84782051
SL,No ,Yes,Sandy loam,42894412,84782052
SL,No ,Yes,Sandy loam,42894413,84782053
SCL,No ,Yes,Sandy clay loam,42894414,84782054
SL,No ,No ,Sandy loam,42894414,84782055
SCL,No ,No ,Sandy clay loam,42894415,84782056
L,No ,No ,Loam,42894415,84782057
SL,No ,Yes,Sandy loam,42894415,84782058
FSL,No ,No ,Fine sandy loam,42894416,84782059
LS,No ,Yes,Loamy sand,42894416,84782060
SL,No ,No ,Sandy loam,42894416,84782061
SCL,No ,Yes,Sandy clay loam,42894417,84782062
L,No ,Yes,Loam,42894418,84782063
SCL,No ,Yes,Sandy clay loam,42894419,84782064
UWB,No ,Yes,Unweathered bedrock,42894420,84782065
LCOS,No ,Yes,Loamy coarse sand,42894458,84782116
SR- COS SL,Yes,Yes,Stratified coarse sand to sandy loam,42894459,84782117
VAR,No ,No ,Variable,42894460,84782118
SR- GRV-S L,Yes,No ,Stratified very gravelly sand to loam,42894461,84782119
SL,No ,Yes,Sandy loam,42894462,84782120
SL,No ,No ,Sandy loam,42894463,84782121
SCL,No ,Yes,Sandy clay loam,42894463,84782122
SL,No ,No ,Sandy loam,42894464,84782123
SCL,No ,Yes,Sandy clay loam,42894464,84782124
SCL,No ,No ,Sandy clay loam,42894465,84782125
FSL,No ,Yes,Fine sandy loam,42894465,84782126
SL,No ,No ,Sandy loam,42894465,84782127
SCL,No ,No ,Sandy clay loam,42894466,84782128
FSL,No ,Yes,Fine sandy loam,42894466,84782129
SL,No ,No ,Sandy loam,42894466,84782130
SL,No ,Yes,Sandy loam,42894467,84782131
SL,No ,Yes,Sandy loam,42894468,84782132
SL,No ,Yes,Sandy loam,42894469,84782133
SL,No ,Yes,Sandy loam,42894470,84782134
LS,No ,No ,Loamy sand,42894470,84782135
SL,No ,Yes,Sandy loam,42894471,84782136
SL,No ,Yes,Sandy loam,42894472,84782137
SCL,No ,Yes,Sandy clay loam,42894473,84782138
SL,No ,No ,Sandy loam,42894474,84782139
L,No ,No ,Loam,42894474,84782140
SCL,No ,Yes,Sandy clay loam,42894474,84782141
SCL,No ,Yes,Sandy clay loam,42894475,84782142
SL,No ,No ,Sandy loam,42894475,84782143
L,No ,No ,Loam,42894475,84782144
SCL,No ,No ,Sandy clay loam,42894476,84782145
SL,No ,Yes,Sandy loam,42894476,84782146
L,No ,No ,Loam,42894476,84782147
L,No ,Yes,Loam,42894485,84782164
C,No ,Yes,Clay,42894486,84782165
SC,No ,No ,Sandy clay,42894486,84782166
WB,No ,Yes,Weathered bedrock,42894487,84782167
UWB,No ,Yes,Unweathered bedrock,42894488,84782168
UWB,No ,Yes,Unweathered bedrock,42894489,84782169
CL,No ,Yes,Clay loam,42894490,84782170
SIC,No ,Yes,Silty clay,42894491,84782171
C,No ,No ,Clay,42894491,84782172
SICL,No ,Yes,Silty clay loam,42894492,84782173
GR-SL,No ,Yes,Gravelly sandy loam,42894505,84782192
GR-CL,No ,No ,Gravelly clay loam,42894506,84782193
GR-L,No ,No ,Gravelly loam,42894506,84782194
GR-SCL,No ,Yes,Gravelly sandy clay loam,42894506,84782195
GRV-L,No ,No ,Very gravelly loam,42894507,84782196
GRV-SL,No ,Yes,Very gravelly sandy loam,42894507,84782197
GRV-LS,No ,Yes,Very gravelly loamy sand,42894508,84782198
GRX-SCL,No ,Yes,Extremely gravelly sandy clay loam,42894509,84782199
GRX-LS,No ,Yes,Extremely gravelly loamy sand,42894510,84782200
STV-L,No ,Yes,Very stony loam,42894511,84782201
CL,No ,Yes,Clay loam,42894528,84782223
CL,No ,Yes,Clay loam,42894529,84782224
C,No ,No ,Clay,42894529,84782225
CL,No ,Yes,Clay loam,42894530,84782226
C,No ,No ,Clay,42894530,84782227
GRX-CL,No ,Yes,Extremely gravelly clay loam,42894531,84782228
WB,No ,Yes,Weathered bedrock,42894532,84782229
CL,No ,Yes,Clay loam,42894533,84782230
CL,No ,Yes,Clay loam,42894534,84782231
C,No ,No ,Clay,42894534,84782232
CL,No ,Yes,Clay loam,42894535,84782233
C,No ,No ,Clay,42894535,84782234
GRX-CL,No ,Yes,Extremely gravelly clay loam,42894536,84782235
WB,No ,Yes,Weathered bedrock,42894537,84782236
GRV-SL,No ,Yes,Very gravelly sandy loam,42894538,84782237
GRV-SL,No ,No ,Very gravelly sandy loam,42894539,84782238
GRX-SL,No ,Yes,Extremely gravelly sandy loam,42894539,84782239
WB,No ,Yes,Weathered bedrock,42894540,84782240
GRV-SL,No ,No ,Very gravelly sandy loam,42894541,84782241
GRX-SL,No ,Yes,Extremely gravelly sandy loam,42894541,84782242
WB,No ,Yes,Weathered bedrock,42894542,84782243
GRV-SL,No ,Yes,Very gravelly sandy loam,42894543,84782244
UWB,No ,Yes,Unweathered bedrock,42894544,84782245
C,No ,Yes,Clay,42894545,84782246
SIC,No ,Yes,Silty clay,42894546,84782247
SIC,No ,No ,Silty clay,42894547,84782248
C,No ,No ,Clay,42894547,84782249
SICL,No ,Yes,Silty clay loam,42894547,84782250
WB,No ,Yes,Weathered bedrock,42894548,84782251
SICL,No ,Yes,Silty clay loam,42894549,84782252
C,No ,No ,Clay,42894550,84782253
SIC,No ,No ,Silty clay,42894550,84782254
SICL,No ,Yes,Silty clay loam,42894550,84782255
L,No ,Yes,Loam,42894566,84782277
SIL,No ,No ,Silt loam,42894567,84782278
SICL,No ,No ,Silty clay loam,42894567,84782279
L,No ,Yes,Loam,42894567,84782280
CL,No ,Yes,Clay loam,42894588,84782314
SICL,No ,No ,Silty clay loam,42894589,84782315
CL,No ,Yes,Clay loam,42894589,84782316
SIC,No ,No ,Silty clay,42894589,84782317
CL,No ,Yes,Clay loam,42894590,84782318
SICL,No ,No ,Silty clay loam,42894590,84782319
SIL,No ,No ,Silt loam,42894590,84782320
CL,No ,Yes,Clay loam,42894591,84782321
C,No ,Yes,Clay,42894592,84782322
CL,No ,No ,Clay loam,42894592,84782323
SICL,No ,No ,Silty clay loam,42894592,84782324
WB,No ,Yes,Weathered bedrock,42894593,84782325
FSL,No ,Yes,Fine sandy loam,42894598,84782330
FSL,No ,Yes,Fine sandy loam,42894599,84782331
SL,No ,No ,Sandy loam,42894599,84782332
WB,No ,Yes,Weathered bedrock,42894600,84782333
FSL,No ,Yes,Fine sandy loam,42894601,84782334
FSL,No ,Yes,Fine sandy loam,42894602,84782335
SL,No ,No ,Sandy loam,42894602,84782336
WB,No ,Yes,Weathered bedrock,42894603,84782337
CL,No ,Yes,Clay loam,42894611,84782353
C,No ,No ,Clay,42894611,84782354
CL,No ,Yes,Clay loam,42894612,84782355
CL,No ,Yes,Clay loam,42894613,84782356
C,No ,No ,Clay,42894613,84782357
SCL,No ,Yes,Sandy clay loam,42894614,84782358
C,No ,Yes,Clay,42894615,84782359
GR-L,No ,Yes,Gravelly loam,42894644,84782402
GRV-L,No ,Yes,Very gravelly loam,42894645,84782403
UWB,No ,Yes,Unweathered bedrock,42894646,84782404
UWB,No ,Yes,Unweathered bedrock,42894647,84782405
