texmod,chtkey,chtexmodkey
Very gravelly,86267261,23749650
Extremely gravelly,86267263,23749720
Gravelly,86267780,23749696
Very gravelly,86267947,23749742
Very gravelly,86267948,23749743
Gravelly,86268231,23749648
Extremely gravelly,86268233,23749649
Stony,86267043,23749752
Very gravelly,86267580,23749676
Gravelly,86267595,23749759
Very gravelly,86267763,23749730
Extremely gravelly,86268081,23749662
Cobbly,86267044,23749647
Extremely gravelly,86267581,23749645
Very gravelly,86267762,23749695
Channery,86267781,23749697
Gravelly,86267812,23749707
Very gravelly,86267881,23749643
Very gravelly,86267897,23749723
Very gravelly,86267946,23749741
Very gravelly,86268232,23749682
Extremely gravelly,86267262,23749684
Cobbly,86267479,23749678
Gravelly,86267596,23749760
Stony,86267630,23749770
Extremely gravelly,86267882,23749674
Very gravelly,86267915,23749661
Very gravelly,86267945,23749740
Gravelly,86267949,23749669
Very stony,86267756,23749690
Very gravelly,86267806,23749704
Extremely gravelly,86267906,23749726
Extremely gravelly,86267907,23749727
Extremely gravelly,86267789,23749699
Very gravelly,86267790,23749700
Extremely gravelly,86268104,23749769
Extremely gravelly,86268105,23749664
Gravelly,86268124,23749668
Very gravelly,86267755,23749689
Gravelly,86268054,23749644
Gravelly,86268206,23749681
Very gravelly,86268274,23749718
Gravelly,86266966,23749651
Gravelly,86267264,23749721
Gravelly,86267593,23749757
Cobbly,86267793,23749701
Very gravelly,86267918,23749729
Cobbly,86268109,23749665
Extremely gravelly,86267191,23749715
Very gravelly,86267734,23749712
Gravelly,86267811,23749706
Gravelly,86267884,23749711
Gravelly,86267952,23749745
Extremely gravelly,86268234,23749719
Extremely gravelly,86267473,23749751
Gravelly,86267809,23749705
Extremely gravelly,86267916,23749728
Very gravelly,86267582,23749750
Channery,86267618,23749767
Very gravelly,86268075,23749656
Very gravelly,86267399,23749683
Very gravelly,86267615,23749766
Gravelly,86267810,23749746
Very gravelly,86267883,23749710
Extremely gravelly,86268053,23749713
Gravelly,86267594,23749758
Gravelly,86267401,23749685
Gravelly,86267876,23749672
Gravelly,86267944,23749703
Very gravelly,86268076,23749657
Gravelly,86267733,23749673
Very gravelly,86267735,23749675
Gravelly,86267951,23749744
Gravelly,86268126,23749670
Gravelly,86268167,23749754
Very cobbly,91841018,25279292
Cobbly,91841020,25279293
Very gravelly,91841104,25279340
Very gravelly,91841120,25279351
Gravelly,91841152,25279373
Very gravelly,91841338,25279490
Very cobbly,91841354,25279502
Very gravelly,91841386,25279526
Very gravelly,91841388,25279527
Extremely gravelly,91841404,25279539
Very cobbly,91841488,25279583
Very stony,91841504,25279596
Extremely gravelly,91841536,25279617
Very gravelly,91841538,25279619
Extremely gravelly,91841606,25279649
Coarse gravelly,91841622,25279658
Very cobbly,91841672,25279693
Very cobbly,91841688,25279705
Very cobbly,91841690,25279706
Extremely gravelly,91841788,25279767
Very gravelly,91841804,25279777
Very cobbly,91841806,25279778
Very gravelly,91841940,25279848
Cobbly,91841053,25279312
Gravelly,91841103,25279339
Very gravelly,91841119,25279350
Very gravelly,91841153,25279374
Very gravelly,91841337,25279489
Very gravelly,91841403,25279538
Very cobbly,91841487,25279582
Very cobbly,91841503,25279595
Very gravelly,91841505,25279597
Very gravelly,91841537,25279618
Very gravelly,91841607,25279650
Very gravelly,91841621,25279657
Very gravelly,91841671,25279692
Very gravelly,91841687,25279704
Very gravelly,91841737,25279734
Very gravelly,91841789,25279768
Very stony,91841807,25279779
Very cobbly,91841821,25279782
Very gravelly,91841939,25279847
Very gravelly,91841941,25279849
Very gravelly,91841620,25279656
Very stony,91841670,25279691
Very gravelly,91841787,25279766
Very cobbly,91841021,25279294
Very cobbly,91841055,25279313
Extremely gravelly,91841105,25279341
Very gravelly,91841138,25279364
Very gravelly,91841139,25279365
Very gravelly,91841155,25279375
Very gravelly,91841322,25279481
Very gravelly,91841339,25279491
Very stony,91841355,25279503
Very gravelly,91841356,25279504
Very gravelly,91841389,25279528
Fine gravelly,91841405,25279540
Very stony,91841489,25279584
Very gravelly,91841490,25279585
