unifiedcl,rvindicator,chkey,chunifiedkey
SC,Yes,42894272,80855191
SC-SM,No ,42894272,80855192
CL,No ,42894273,80855193
CL-ML,No ,42894273,80855194
SC,Yes,42894273,80855195
SC-SM,No ,42894273,80855196
GM,No ,42894274,80855197
SC-SM,No ,42894274,80855198
SM,Yes,42894274,80855199
CL,Yes,42894283,80855217
CL-ML,No ,42894283,80855218
SC,No ,42894283,80855219
SC-SM,No ,42894283,80855220
SM,Yes,42894345,80855301
SC,Yes,42894346,80855302
SC-SM,Yes,42894347,80855303
SC,Yes,42894348,80855304
SC,Yes,42894349,80855305
SC-SM,Yes,42894350,80855306
SC,Yes,42894351,80855307
SC,Yes,42894352,80855308
SC,Yes,42894353,80855309
SP-SM,Yes,42894354,80855310
SC,Yes,42894355,80855311
SM,Yes,42894356,80855312
SM,Yes,42894360,80855322
SC,Yes,42894361,80855323
SC,Yes,42894362,80855324
SC-SM,Yes,42894363,80855325
SC,Yes,42894364,80855326
SC-SM,Yes,42894365,80855327
SC,Yes,42894366,80855328
SC,Yes,42894367,80855329
SC,Yes,42894368,80855330
SM,Yes,42894369,80855331
SC,Yes,42894370,80855332
SP-SM,Yes,42894371,80855333
SC-SM,Yes,42894372,80855334
SM,Yes,42894373,80855335
SC,Yes,42894374,80855336
SC,Yes,42894375,80855337
SC-SM,Yes,42894376,80855338
SC,Yes,42894377,80855339
SC-SM,Yes,42894378,80855340
SC,Yes,42894379,80855341
SC,Yes,42894380,80855342
SC,Yes,42894381,80855343
CL,Yes,42894382,80855344
CL,Yes,42894383,80855345
CL,Yes,42894384,80855346
SC-SM,Yes,42894385,80855347
SC-SM,Yes,42894386,80855348
GC-GM,No ,42894395,80855367
GM,No ,42894395,80855368
SM,Yes,42894395,80855369
GM,Yes,42894396,80855370
GP-GM,No ,42894396,80855371
GW-GM,No ,42894396,80855372
GP,Yes,42894397,80855373
GW,No ,42894397,80855374
GM,Yes,42894398,80855375
GP-GM,No ,42894398,80855376
GW-GM,No ,42894398,80855377
GC-GM,No ,42894399,80855378
GM,No ,42894399,80855379
SM,Yes,42894399,80855380
GM,Yes,42894400,80855381
GP-GM,No ,42894400,80855382
GW-GM,No ,42894400,80855383
GP,Yes,42894401,80855384
GW,No ,42894401,80855385
GM,Yes,42894402,80855386
GP-GM,No ,42894402,80855387
GW-GM,No ,42894402,80855388
GP,Yes,42894403,80855389
GW,No ,42894403,80855390
GM,Yes,42894404,80855391
GP-GM,No ,42894404,80855392
GW-GM,No ,42894404,80855393
GC-GM,No ,42894405,80855394
GM,No ,42894405,80855395
SM,Yes,42894405,80855396
GM,Yes,42894406,80855397
GP-GM,No ,42894406,80855398
GW-GM,No ,42894406,80855399
CL,Yes,42894407,80855400
CL,Yes,42894408,80855401
ML,No ,42894412,80855409
SM,Yes,42894412,80855410
SM,Yes,42894413,80855411
CL,No ,42894414,80855412
SC,Yes,42894414,80855413
SC-SM,No ,42894414,80855414
CL-ML,No ,42894415,80855415
SC,No ,42894415,80855416
SC-SM,Yes,42894415,80855417
ML,No ,42894416,80855418
SM,Yes,42894416,80855419
CL,No ,42894417,80855420
SC,Yes,42894417,80855421
SC-SM,No ,42894417,80855422
CL,Yes,42894418,80855423
CL-ML,No ,42894418,80855424
CL,No ,42894419,80855425
SC,Yes,42894419,80855426
SC-SM,No ,42894419,80855427
SM,Yes,42894458,80855491
SP-SM,No ,42894458,80855492
SW-SM,No ,42894458,80855493
SM,Yes,42894459,80855494
SP-SM,No ,42894459,80855495
GC-GM,No ,42894461,80855496
GM,No ,42894461,80855497
SC-SM,No ,42894461,80855498
SM,Yes,42894461,80855499
SC,Yes,42894462,80855500
CL,Yes,42894463,80855501
CL,Yes,42894464,80855502
SC-SM,Yes,42894465,80855503
SC-SM,Yes,42894466,80855504
SC,Yes,42894467,80855505
SC-SM,No ,42894468,80855506
SC,Yes,42894468,80855507
SC-SM,No ,42894469,80855508
SC,Yes,42894469,80855509
SC-SM,Yes,42894470,80855510
SC,No ,42894470,80855511
SC,Yes,42894471,80855512
SC,Yes,42894472,80855513
CL,Yes,42894473,80855514
SC,Yes,42894474,80855515
SC,Yes,42894475,80855516
SC,Yes,42894476,80855517
CL,Yes,42894485,80855532
CL-ML,No ,42894485,80855533
CL,Yes,42894486,80855534
SC,No ,42894486,80855535
CL,Yes,42894490,80855536
CH,No ,42894491,80855537
CL,Yes,42894491,80855538
ML,Yes,42894492,80855539
GC-GM,No ,42894505,80855571
SC,Yes,42894505,80855572
SC-SM,No ,42894505,80855573
GC,Yes,42894506,80855574
CL-ML,No ,42894506,80855575
SC,No ,42894506,80855576
SC-SM,No ,42894506,80855577
GC,Yes,42894507,80855578
GC-GM,No ,42894507,80855579
GP-GC,No ,42894507,80855580
GP-GM,No ,42894508,80855581
GM,Yes,42894508,80855582
GC,No ,42894509,80855583
GC-GM,No ,42894509,80855584
GP-GC,Yes,42894509,80855585
GP,Yes,42894510,80855586
GW,No ,42894510,80855587
GC,Yes,42894511,80855588
SC-SM,No ,42894511,80855589
CL,Yes,42894528,80855626
CL,Yes,42894529,80855627
CL,Yes,42894530,80855628
CL,Yes,42894531,80855629
CL,Yes,42894533,80855630
CL,Yes,42894534,80855631
CL,Yes,42894535,80855632
CL,Yes,42894536,80855633
GC,Yes,42894538,80855634
GP-GC,No ,42894538,80855635
GM,No ,42894539,80855636
GP-GM,No ,42894539,80855637
GW-GM,Yes,42894539,80855638
GC-GM,No ,42894541,80855639
GM,No ,42894541,80855640
GW-GM,Yes,42894541,80855641
GC-GM,No ,42894543,80855642
GM,Yes,42894543,80855643
GP-GM,No ,42894543,80855644
CH,Yes,42894545,80855645
CL,No ,42894545,80855646
CH,Yes,42894546,80855647
CL,No ,42894546,80855648
MH,Yes,42894547,80855649
ML,No ,42894547,80855650
CL,Yes,42894549,80855651
CL,Yes,42894550,80855652
CH,No ,42894550,80855653
CL,Yes,42894566,80855669
CL-ML,No ,42894566,80855670
CL,Yes,42894567,80855671
CL-ML,No ,42894567,80855672
CL,Yes,42894588,80855692
CL,Yes,42894589,80855693
ML,Yes,42894590,80855694
CL,Yes,42894591,80855695
CL,Yes,42894592,80855696
SC-SM,No ,42894598,80855709
SM,Yes,42894598,80855710
ML,No ,42894599,80855711
SM,Yes,42894599,80855712
ML,No ,42894601,80855713
SM,Yes,42894601,80855714
SM,Yes,42894602,80855715
CL,Yes,42894611,80855730
CL,Yes,42894612,80855731
CL,Yes,42894613,80855732
CL,No ,42894614,80855733
SC,Yes,42894614,80855734
CL,Yes,42894615,80855735
GC-GM,No ,42894644,80855764
SC-SM,No ,42894644,80855765
GC,Yes,42894644,80855766
GC-GM,No ,42894645,80855767
GM,Yes,42894645,80855768
CL-ML,No ,42894648,80855769
GC-GM,Yes,42894648,80855770
GM,No ,42894648,80855771
ML,No ,42894648,80855772
GM,Yes,42894649,80855773
ML,No ,42894649,80855774
SM,No ,42894649,80855775
CL,Yes,42894651,80855776
CL-ML,No ,42894651,80855777
CL,Yes,42894652,80855778
CL-ML,No ,42894652,80855779
GP,No ,42894688,80855852
GW,Yes,42894688,80855853
GP,Yes,42894689,80855854
GW,No ,42894689,80855855
SP,No ,42894689,80855856
SW,No ,42894689,80855857
CL,Yes,42894694,80855868
CH,Yes,42894695,80855869
CL,No ,42894695,80855870
CH,Yes,42894696,80855871
CL,No ,42894696,80855872
MH,No ,42894696,80855873
CL,Yes,42894698,80855874
CL,Yes,42894699,80855875
CH,Yes,42894700,80855876
