cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Alfalfa hay,Tons,NA,NA,NA,NA,5.5,NA,NA,NA,14875503,31285806
Corn,Bu,NA,NA,NA,NA,145,NA,NA,NA,14875503,31285807
Grain sorghum,Bu,NA,20,NA,NA,95,NA,NA,NA,14875503,31285808
Oats,Bu,NA,22,NA,NA,75,NA,NA,NA,14875503,31285809
Wheat,Bu,NA,24,NA,NA,70,NA,NA,NA,14875503,31285810
Alfalfa hay,Tons,NA,NA,NA,NA,4,NA,NA,NA,14875564,31285851
Barley,Bu,NA,25,NA,NA,60,NA,NA,NA,14875564,31285852
Corn,Bu,NA,22,NA,NA,125,NA,NA,NA,14875564,31285853
Grain sorghum,Bu,NA,22,NA,NA,75,NA,NA,NA,14875564,31285854
Wheat,Bu,NA,24,NA,NA,55,NA,NA,NA,14875564,31285855
Alfalfa hay,Tons,NA,NA,NA,NA,3,NA,NA,NA,14875638,31285897
Barley,Bu,NA,17,NA,NA,45,NA,NA,NA,14875638,31285898
Wheat,Bu,NA,20,NA,NA,45,NA,NA,NA,14875638,31285899
Alfalfa hay,Tons,NA,NA,NA,NA,4,NA,NA,NA,14875648,31285900
Barley,Bu,NA,NA,NA,NA,70,NA,NA,NA,14875648,31285901
Corn,Bu,NA,NA,NA,NA,100,NA,NA,NA,14875648,31285902
Grain sorghum,Bu,NA,20,NA,NA,80,NA,NA,NA,14875648,31285903
Grass hay,Tons,NA,NA,NA,NA,3,NA,NA,NA,14875648,31285904
Wheat,Bu,NA,18,NA,NA,55,NA,NA,NA,14875648,31285905
Alfalfa hay,Tons,NA,NA,NA,NA,3,NA,NA,NA,14875673,31285906
Corn,Bu,NA,NA,NA,NA,70,NA,NA,NA,14875673,31285907
Corn silage,Tons,NA,NA,NA,NA,25,NA,NA,NA,14875673,31285908
Alfalfa hay,Tons,NA,NA,NA,NA,6,NA,NA,NA,14875684,31285918
Corn,Bu,NA,NA,NA,NA,140,NA,NA,NA,14875684,31285919
Corn silage,Tons,NA,NA,NA,NA,23,NA,NA,NA,14875684,31285920
Grain sorghum,Bu,NA,NA,NA,NA,105,NA,NA,NA,14875684,31285921
Wheat,Bu,NA,23,NA,NA,60,NA,NA,NA,14875684,31285922
Alfalfa hay,Tons,NA,NA,NA,NA,5.5,NA,NA,NA,14875744,31285935
Wheat,Bu,NA,25,NA,NA,55,NA,NA,NA,14875744,31285936
Alfalfa hay,Tons,NA,NA,NA,NA,3,NA,NA,NA,14875750,31285943
Barley,Bu,NA,NA,NA,NA,50,NA,NA,NA,14875750,31285944
Corn,Bu,NA,NA,NA,NA,65,NA,NA,NA,14875750,31285945
Pasture,AUM,NA,0.6,NA,NA,3,NA,NA,NA,14875750,31285946
Alfalfa hay,Tons,NA,NA,NA,NA,5,NA,NA,NA,14875753,31285947
Corn,Bu,NA,NA,NA,NA,130,NA,NA,NA,14875753,31285948
Grain sorghum,Bu,NA,25,NA,NA,110,NA,NA,NA,14875753,31285949
Sorghum silage,Tons,NA,NA,NA,NA,24,NA,NA,NA,14875753,31285950
Sugar beets,Tons,NA,NA,NA,NA,20,NA,NA,NA,14875753,31285951
Winter wheat,Bu,NA,22,NA,NA,50,NA,NA,NA,14875753,31285952
Wheat,Bu,NA,20,NA,NA,NA,NA,NA,NA,14875763,31285958
Wheat,Bu,NA,15,NA,NA,NA,NA,NA,NA,14875767,31285959
Wheat,Bu,NA,15,NA,NA,NA,NA,NA,NA,14875770,31285960
Alfalfa hay,Tons,NA,NA,NA,NA,3.5,NA,NA,NA,14875805,31285966
Grain sorghum,Bu,NA,NA,NA,NA,80,NA,NA,NA,14875805,31285967
Alfalfa hay,Tons,NA,NA,NA,NA,4,NA,NA,NA,14875808,31285968
Barley,Bu,NA,16,NA,NA,50,NA,NA,NA,14875808,31285969
Grain sorghum,Bu,NA,20,NA,NA,90,NA,NA,NA,14875808,31285970
Wheat,Bu,NA,20,NA,NA,60,NA,NA,NA,14875808,31285971
Grass hay,Tons,NA,NA,NA,NA,2.5,NA,NA,NA,14875868,31286000
Grass-legume hay,Tons,NA,NA,NA,NA,2.5,NA,NA,NA,14875868,31286001
Oats,Bu,NA,NA,NA,NA,50,NA,NA,NA,14875868,31286002
Barley,Bu,NA,NA,NA,NA,55,NA,NA,NA,14875868,31286003
Alfalfa hay,,NA,NA,NA,NA,2.5,NA,NA,NA,14875868,31286004
Wheat,Bu,NA,NA,NA,NA,45,NA,NA,NA,14875868,31286005
Grass hay,Tons,NA,NA,NA,NA,3,NA,NA,NA,15697468,32942551
Grass hay,Tons,NA,NA,NA,NA,3,NA,NA,NA,15697438,32942540
Wheat,Bu,NA,20,NA,NA,NA,NA,NA,NA,15697475,32942553
