featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,18,20,27,18,20,27,14875535,6147170
Argillic horizon,9,13,21,78,91,104,57,78,95,14875535,6147171
Argillic horizon,17,20,24,51,61,78,27,41,61,14875536,6147172
Mollic epipedon,0,0,0,29,33,42,29,33,42,14875536,6147173
Ochric epipedon,0,0,0,11,15,21,11,15,21,14875537,6147174
Argillic horizon,11,15,21,26,30,61,5,15,50,14875537,6147175
Strongly contrasting particle size class,26,30,61,203,203,203,142,173,177,14875537,6147176
Mollic epipedon,0,0,0,18,20,27,18,20,27,14875541,6147177
Argillic horizon,9,13,21,78,91,104,57,78,95,14875541,6147178
Argillic horizon,17,20,24,51,61,78,27,41,61,14875542,6147179
Mollic epipedon,0,0,0,29,33,42,29,33,42,14875542,6147180
Ochric epipedon,0,0,0,11,15,21,11,15,21,14875543,6147181
Argillic horizon,11,15,21,26,30,61,5,15,50,14875543,6147182
Strongly contrasting particle size class,26,30,61,203,203,203,142,173,177,14875543,6147183
Mollic epipedon,0,0,0,18,20,27,18,20,27,14875544,6147184
Argillic horizon,9,13,21,78,91,104,57,78,95,14875544,6147185
Mollic epipedon,0,0,0,29,33,42,29,33,42,14875545,6147186
Argillic horizon,17,20,24,51,61,78,27,41,61,14875545,6147187
Mollic epipedon,0,0,0,30,33,42,30,33,42,14875546,6147188
Argillic horizon,8,10,11,49,56,67,38,46,59,14875546,6147189
Secondary carbonates,30,33,42,87,114,203,45,81,173,14875546,6147190
Argillic horizon,9,15,25,39,48,58,14,33,49,14875596,6147191
Mollic epipedon,0,0,0,23,30,43,23,30,43,14875596,6147192
Secondary carbonates,39,48,58,203,203,203,145,155,164,14875596,6147193
Argillic horizon,5,18,30,18,41,91,13,23,86,14875597,6147194
Ochric epipedon,0,0,0,5,18,30,5,18,30,14875597,6147195
Secondary carbonates,18,41,91,203,203,203,112,162,185,14875597,6147196
Ochric epipedon,0,0,0,10,18,21,10,18,21,14875598,6147197
Argillic horizon,10,18,21,33,41,41,12,23,31,14875598,6147198
Secondary carbonates,33,41,41,107,124,156,66,83,123,14875598,6147199
Mollic epipedon,0,0,0,20,20,25,20,20,25,14875811,6147247
Argillic horizon,10,13,18,78,91,104,60,78,94,14875811,6147248
Mollic epipedon,0,0,0,30,30,38,30,30,38,14875812,6147249
Argillic horizon,8,10,18,48,48,61,30,38,53,14875812,6147250
Mollic epipedon,0,0,0,18,28,36,18,28,36,14875813,6147251
Ochric epipedon,0,0,0,8,10,18,8,10,18,14875852,6147324
Calcic horizon,25,30,56,96,119,152,76,89,117,14875852,6147325
