ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875503,4305223
NRCS Rangeland Site,Ecological Site Description Database,R069XY037CO,Saline Overflow LRU's A & B,14875510,4305226
Range Site,,069BY036CO,OVERFLOW,14875510,4305504
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875535,4305244
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875536,4305245
NRCS Rangeland Site,Ecological Site Description Database,R049BY214CO,Gravelly Foothill,14875537,4305246
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875541,4305248
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875542,4305249
NRCS Rangeland Site,Ecological Site Description Database,R049BY214CO,Gravelly Foothill,14875543,4305250
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875544,4305251
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875545,4305252
NRCS Rangeland Site,Ecological Site Description Database,R049BY210CO,Sandy Foothill,14875546,4305253
NRCS Rangeland Site,Ecological Site Description Database,R049BY214CO,Gravelly Foothill,14875551,4305256
NRCS Rangeland Site,Ecological Site Description Database,R049BY214CO,Gravelly Foothill,14875554,4305257
NRCS Rangeland Site,Ecological Site Description Database,R049BY214CO,Gravelly Foothill,14875556,4305258
NRCS Rangeland Site,Ecological Site Description Database,R049BY212CO,Shaly Foothill,14875557,4305259
NRCS Rangeland Site,Ecological Site Description Database,R069XY026CO,Sandy Plains LRU's  A & B,14875564,4305261
Range Site,,069BY026CO,SANDY PLAINS,14875564,4305531
NRCS Rangeland Site,Ecological Site Description Database,R049XC202CO,Loamy Foothill   14-19 P.Z.,14875567,4305262
NRCS Rangeland Site,Ecological Site Description Database,R069XY031CO,Sandy Bottomland LRU's A & B,14875589,4305269
Range Site,,069AY031CO,SANDY BOTTOMLAND,14875589,4305532
NRCS Rangeland Site,Ecological Site Description Database,R067BY029CO,Sandy Meadow,14875593,4305270
NRCS Rangeland Site,Ecological Site Description Database,R067BY024CO,Sandy Plains,14875596,4305271
NRCS Rangeland Site,Ecological Site Description Database,R067BY024CO,Sandy Plains,14875597,4305272
NRCS Rangeland Site,Ecological Site Description Database,R067BY024CO,Sandy Plains,14875598,4305273
NRCS Rangeland Site,Ecological Site Description Database,R049BY204CO,Shallow Foothill,14875605,4305276
NRCS Rangeland Site,Ecological Site Description Database,R069XY047CO,Alkaline Plains LRU's A & B,14875608,4305277
Range Site,,069BY047CO,ALKALINE PLAINS,14875608,4305535
NRCS Rangeland Site,Ecological Site Description Database,R048AY222CO,Loamy Park,14875620,4305282
NRCS Rangeland Site,Ecological Site Description Database,R049BY208CO,Clayey Foothill,14875638,4305285
NRCS Rangeland Site,Ecological Site Description Database,R049BY208CO,Clayey Foothill,14875641,4305286
NRCS Rangeland Site,Ecological Site Description Database,R049BY222CO,Loamy Park,14875643,4305287
NRCS Rangeland Site,Ecological Site Description Database,R069XY033CO,Salt Flat LRU's A & B,14875648,4305288
NRCS Rangeland Site,Ecological Site Description Database,R049BY208CO,Clayey Foothill,14875651,4305289
NRCS Rangeland Site,Ecological Site Description Database,R069XY006CO,"Loamy Plains, LRU's A & B 10-14 Inches, P.Z. ",14875658,4305294
Range Site,,069AY006CO,LOAMY PLAINS,14875658,4305536
NRCS Rangeland Site,Ecological Site Description Database,R049XY004CO,Loamy Plains,14875665,4305299
Range Site,,069AY006CO,LOAMY PLAINS,14875665,4305537
NRCS Rangeland Site,Ecological Site Description Database,R069XY046CO,Shaly Plains LRU's A & B,14875668,4305300
Range Site,,069AY046CO,SHALY PLAINS,14875668,4305538
NRCS Rangeland Site,Ecological Site Description Database,R067BY045CO,Shaly Plains,14875673,4305302
Range Site,,069AY046CO,SHALY PLAINS,14875673,4305539
