plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
2FP,,other perennial forbs,NA,5,14875503,64093600
2GP,,other perennial grasses,NA,10,14875503,64093628
2SD,,other  shrubs,NA,4,14875503,64093650
ANHA,Andropogon hallii,sand bluestem,NA,10,14875503,64093703
CALO,Calamovilfa longifolia,prairie sandreed,NA,15,14875503,64094177
ELLAL,Elymus lanceolatus ssp. lanceolatus,thickspike wheatgrass,NA,10,14875503,64094325
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875503,64094402
MUMO,Muhlenbergia montana,mountain muhly,NA,10,14875503,64094617
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875503,64094979
ANHA,Andropogon hallii,sand bluestem,NA,10,14875510,64093706
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875510,64093874
BOGR2,Bouteloua gracilis,blue grama,NA,10,14875510,64094041
PAOB,Panicum obtusum,vine mesquite,NA,10,14875510,64094697
PASM,Pascopyrum smithii,western wheatgrass,NA,20,14875510,64094706
PAVI2,Panicum virgatum,switchgrass,NA,5,14875510,64094830
SPAI,Sporobolus airoides,alkali sacaton,NA,30,14875510,64095094
AGSM,Agropyron smithii,western wheatgrass,NA,5,14875535,64093685
ANHA,Andropogon hallii,sand bluestem,NA,5,14875535,64093773
ARFE4,Aristida fendleriana,Fendler threeawn,NA,3,14875535,64093786
ARFR4,Artemisia frigida,fringed sagewort,NA,5,14875535,64093826
BOCU,Bouteloua curtipendula,side-oats grama,NA,10,14875535,64093921
BOGR2,Bouteloua gracilis,blue grama,NA,NA,14875535,64094127
CALO,Calamovilfa longifolia,prairie sandreed,NA,20,14875535,64094264
HECO26,Hesperostipa comata,needle and thread,NA,10,14875535,64094396
KOCR,Koeleria cristata,prairie Junegrass,NA,10,14875535,64094531
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875535,64095073
ANHA,Andropogon hallii,sand bluestem,NA,10,14875536,64093774
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875536,64094030
BOGR2,Bouteloua gracilis,blue grama,NA,20,14875536,64094128
CALO,Calamovilfa longifolia,prairie sandreed,NA,30,14875536,64094265
ELMA7,Elymus macrourus,thickspike wheatgrass,NA,5,14875536,64094334
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875536,64094503
PAVI2,Panicum virgatum,switchgrass,NA,10,14875536,64094857
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875536,64095074
2FP,,other perennial forbs,NA,5,14875537,64093602
2GP,,other perennial grasses,NA,10,14875537,64093630
CAFI,Carex filifolia,threadleaf sedge,NA,5,14875537,64094160
