erokind,rvindicator,cokey,coeroacckey
Sheet erosion,Yes,14875852,792043
Sheet erosion,Yes,14875853,792044
Wind erosion,Yes,14875854,792045
Sheet erosion,Yes,14875858,792062
Wind erosion,Yes,14875859,792064
Sheet erosion,Yes,14875860,792066
Wind erosion,Yes,14875861,792060
Sheet erosion,Yes,14875862,792048
Sheet erosion,Yes,14875863,792049
Sheet erosion,Yes,14875864,792050
Rill erosion,Yes,14875865,792051
Rill erosion,Yes,14875866,792052
Rill erosion,Yes,14875867,792053
Rill erosion,Yes,14875868,792054
