plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,55,NA,NA,43,NA,14875605,20701723
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,53,NA,NA,43,NA,14875621,20701724
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas fir,NA,NA,49,NA,NA,43,NA,14875644,20701732
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,29,NA,14875802,20701731
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,45,NA,NA,29,NA,15697501,21932337
RHTR,Rhus trilobata,skunkbush sumac,NA,NA,NA,NA,NA,NA,NA,15697501,21932338
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697501,21932339
JUMO,Juniperus monosperma,oneseed juniper,NA,NA,NA,NA,NA,NA,NA,15697501,21932340
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697501,21932341
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,45,NA,NA,29,NA,15697502,21932342
RHTR,Rhus trilobata,skunkbush sumac,NA,NA,NA,NA,NA,NA,NA,15697502,21932343
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697502,21932344
JUMO,Juniperus monosperma,oneseed juniper,NA,NA,NA,NA,NA,NA,NA,15697502,21932345
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697502,21932346
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,40,NA,NA,30,NA,15697504,21932347
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,NA,NA,NA,NA,NA,15697504,21932348
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,NA,NA,15697504,21932349
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697504,21932350
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,45,NA,NA,29,NA,15697505,21932351
JUMO,Juniperus monosperma,oneseed juniper,NA,NA,NA,NA,NA,NA,NA,15697505,21932352
POTR5,Populus tremuloides,quaking aspen,NA,NA,65,NA,NA,36,NA,15697456,21932214
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,65,NA,NA,0,NA,15697456,21932215
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,65,NA,NA,57,NA,15697456,21932216
