geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,alluvial fans,,NA,NA,Yes,14875503,21826353
Landform,terraces,,NA,NA,Yes,14875503,21826460
Landform,depressions,,NA,NA,Yes,14875505,21826375
Landform,flood plains,,NA,NA,Yes,14875510,21826436
Landform,stream terraces,,NA,NA,Yes,14875510,21826673
Landform,depressions,,NA,NA,Yes,14875512,21826377
Landform,interfluves,broad and flat,NA,NA,Yes,14875535,21826608
Landscape,plains,dissected,NA,NA,Yes,14875535,21826802
Landform,interfluves,broad and flat,NA,NA,Yes,14875536,21826609
Landscape,plains,dissected,NA,NA,Yes,14875536,21826803
Landform,alluvial fans,,1,2,Yes,14875537,21826354
Landscape,plains,dissected,2,NA,Yes,14875537,21826804
Landform,interfluves,,NA,NA,Yes,14875541,21826610
Landscape,foothills,,NA,NA,Yes,14875541,21826708
Landform,interfluves,,NA,NA,Yes,14875542,21826611
Landscape,foothills,,NA,NA,Yes,14875542,21826709
Landform,alluvial fans,,1,2,Yes,14875543,21826355
Landscape,foothills,,2,NA,Yes,14875543,21826710
Landform,interfluves,,NA,NA,Yes,14875544,21826612
Landscape,foothills,,NA,NA,Yes,14875544,21826711
Landform,interfluves,,NA,NA,Yes,14875545,21826631
Landscape,foothills,,NA,NA,Yes,14875545,21826712
Landform,interfluves,,1,2,Yes,14875546,21826632
Landscape,foothills,,2,NA,Yes,14875546,21826713
Landform,terraces,,NA,NA,Yes,14875551,21826461
Landform,hills,,NA,NA,Yes,14875551,21826603
Landform,alluvial fans,,NA,NA,Yes,14875551,21826356
Landform,depressions,,NA,NA,Yes,14875553,21826427
Landform,alluvial fans,,NA,NA,Yes,14875554,21826357
Landform,terraces,,NA,NA,Yes,14875554,21826462
Landform,hills,,NA,NA,Yes,14875554,21826604
Landform,breaks,,NA,NA,Yes,14875556,21826370
Landform,hills,,NA,NA,Yes,14875556,21826605
Landform,hills,,NA,NA,Yes,14875556,21826606
Landform,hills,,NA,NA,Yes,14875557,21826595
Landform,depressions,,NA,NA,Yes,14875559,21826428
Landform,flats,,NA,NA,Yes,14875564,21826500
Landscape,uplands,,NA,NA,Yes,14875564,21826859
Landform,depressions,,NA,NA,Yes,14875566,21826430
Landform,alluvial fans,,NA,NA,Yes,14875567,21826358
Landform,hills,,NA,NA,Yes,14875567,21826596
Landform,flood plains,,NA,NA,Yes,14875589,21826438
Landform,stream terraces,,NA,NA,Yes,14875589,21826674
Landform,swales,,NA,NA,Yes,14875590,21826454
Landform,depressions,,NA,NA,Yes,14875592,21826422
Landform,flood plains,,NA,NA,Yes,14875593,21826439
Landform,marshes,,NA,NA,Yes,14875593,21826443
Landform,swales,,NA,NA,Yes,14875593,21826455
Landform,domes,,NA,NA,Yes,14875594,21826374
Landform,interfluves,,NA,NA,Yes,14875596,21826633
Landscape,plains,dissected,NA,NA,Yes,14875596,21826805
Landform,interfluves,,NA,NA,Yes,14875597,21826634
Landscape,plains,dissected,NA,NA,Yes,14875597,21826794
Landform,interfluves,,NA,NA,Yes,14875598,21826635
Landscape,plains,dissected,NA,NA,Yes,14875598,21826795
Landform,mountains,,NA,NA,Yes,14875605,21826637
Landform,alluvial fans,,NA,NA,Yes,14875608,21826364
Landform,stream terraces,,NA,NA,Yes,14875608,21826675
Landform,depressions,,NA,NA,Yes,14875610,21826425
Landform,alluvial fans,,NA,NA,Yes,14875620,21826366
Landform,alluvial fans,,NA,NA,Yes,14875621,21826367
Landform,hills,,NA,NA,Yes,14875638,21826578
Landscape,uplands,,NA,NA,Yes,14875638,21826852
Landform,depressions,,NA,NA,Yes,14875640,21826419
Landform,hills,,NA,NA,Yes,14875641,21826579
Landscape,uplands,,NA,NA,Yes,14875641,21826841
Landform,mountains,,NA,NA,Yes,14875643,21826638
Landform,mountains,,NA,NA,Yes,14875644,21826639
Landform,depressions,,NA,NA,Yes,14875647,21826420
Landform,alluvial fans,,NA,NA,Yes,14875648,21826368
Landform,flood plains,,NA,NA,Yes,14875648,21826440
Landform,depressions,,NA,NA,Yes,14875650,21826409
Landform,hills,,NA,NA,Yes,14875651,21826580
Landscape,uplands,,NA,NA,Yes,14875651,21826842
Landform,fans,,NA,NA,Yes,14875658,21826484
Landform,hills,,NA,NA,Yes,14875658,21826582
Landscape,uplands,,NA,NA,Yes,14875658,21826843
