hydriccriterion,cokey,cohydcritkey
3,14875505,3291982
3,14875512,3291984
3,14875553,3291988
3,14875559,3291989
3,14875566,3291992
2,14875590,3291996
3,14875592,3291997
2,14875593,3291998
2,14875594,3291999
3,14875594,3292000
3,14875610,3292003
3,14875640,3292009
3,14875647,3292010
3,14875650,3292011
3,14875660,3292012
3,14875667,3292013
3,14875670,3292014
3,14875676,3292015
3,14875686,3292018
2,14875720,3292023
3,14875720,3292024
2,14875721,3292025
4,14875721,3292026
3,14875729,3292028
3,14875735,3292029
3,14875746,3292031
3,14875752,3292033
3,14875755,3292034
3,14875762,3292035
2,14875764,3292036
3,14875766,3292037
3,14875769,3292038
3,14875804,3292045
3,14875807,3292046
3,14875810,3292047
2,15697438,3509059
2,15697468,3509062
