monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982785
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982786
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982787
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982788
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982789
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982790
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982791
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982792
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982793
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982794
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982795
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875868,155982796
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982773
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982774
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982775
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982776
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982777
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982778
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982779
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982780
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982781
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982782
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982783
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875867,155982784
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982761
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982762
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982763
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982764
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982765
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982766
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982767
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982768
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982769
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982770
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982771
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875866,155982772
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982749
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982750
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982751
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982752
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982753
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982754
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982755
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982756
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982757
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982758
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982759
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875865,155982760
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875864,155982737
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875864,155982738
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875864,155982739
