comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,85,NA,Blendon,Series,Yes,,,0,2,3,NA,NA,NA,Low,5,86,3,,,,,No,Well drained,1829,1951,2073,109,176,242,"alluvial fans, terraces",NA,0.16,NA,7.8,8.3,8.9,356,381,406,NA,NA,NA,125,135,145,3,e,NA,NA,,NA,NA,,NA,1000,1500,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,NA,NA,NA,B,Low,Moderate,"Coarse-loamy, mixed, superactive, mesic Pachic Haplustolls",Mollisols,Ustolls,Haplustolls,Pachic Haplustolls,coarse-loamy,,superactive,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95357,14875503
NA,NA,NA,Other soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95357,14875504
NA,NA,NA,Pleasant,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,Yes,,NA,NA,NA,NA,NA,NA,depressions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95357,14875505
NA,85,NA,Ustic Torrifluvents,Family,Yes,,,0,2,3,NA,NA,NA,Low,5,NA,,,,,,No,Well drained,1676,1905,2134,89,162,234,"flood plains, stream terraces",NA,0.16,NA,8.3,8.9,11,330,381,406,NA,NA,NA,125,135,155,3,e,NA,2,e,NA,NA,,NA,1000,1800,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,NA,NA,NA,B,Low,Moderate,"Mixed, calcareous Ustic Torrifluvents",Entisols,Fluvents,Torrifluvents,Ustic Torrifluvents,not used,,,calcareous,not used,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95359,14875510
NA,NA,NA,Other soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95359,14875511
NA,NA,NA,Pleasant,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,Yes,,NA,NA,NA,NA,NA,NA,depressions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95359,14875512
NA,85,NA,Bresser,Series,Yes,,cool,0,2,3,30,61,91,Low,3,86,3,,Crop cover,Close-grown crop,,No,Well drained,1783,1944,2097,0,NA,360,"interfluves, plains",NA,0.23,NA,9,10,11,381,432,483,NA,NA,NA,100,125,130,4,c,NA,3,e,NA,NA,,NA,900,1600,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,B,Low,Low,"Fine-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,fine-loamy,not used,superactive,not used,mesic,Aridic (torric),mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95368,14875535
NA,10,NA,Truckton,Series,No ,,,0,2,3,30,61,91,Negligible,5,86,3,,Crop cover,Close-grown crop,,No,Well drained,1783,1944,2097,0,NA,360,"interfluves, plains",NA,0.23,NA,9,10,11,381,432,483,NA,NA,NA,100,125,130,4,c,NA,3,e,NA,NA,,NA,900,1600,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,A,Low,Low,"Coarse-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,coarse-loamy,not used,superactive,not used,mesic,Aridic (torric),mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95368,14875536
NA,5,NA,Yoder,Series,No ,,,0,2,3,30,61,91,Low,2,56,5,,Crop cover,Close-grown crop,,No,Somewhat excessively drained,1783,1944,2097,0,NA,360,alluvial fans on plains,NA,0.23,NA,9,10,11,381,432,483,NA,NA,NA,100,125,130,7,s,NA,7,s,NA,NA,,NA,600,850,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,B,Low,High,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Ustic Haplargids",Aridisols,Argids,Haplargids,Ustic Haplargids,fine-loamy over sandy or sandy-skeletal,not used,superactive,not used,mesic,Ustic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95368,14875537
NA,85,NA,Bresser,Series,Yes,,cool,3,4,5,49,55,61,Low,3,86,3,,Crop cover,Close-grown crop,,No,Well drained,1920,2011,2072,0,NA,360,"foothills, interfluves",NA,0.23,NA,7.8,8.3,10,330,432,483,NA,NA,NA,125,135,140,4,s,NA,3,e,NA,NA,,NA,900,1600,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,B,Low,Low,"Fine-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,fine-loamy,not used,superactive,not used,mesic,Aridic (torric),mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95370,14875541
