pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Sandy,,Alluvium,Arkose,10507267,14582619
NA,Loamy,"sandy, clayey, stratified",,,10507270,14582614
NA,,tertiary aged,Alluvium,Arkose,10507288,14582341
NA,,tertiary aged,Alluvium,Arkose,10507289,14582342
NA,,tertiary aged,Alluvium,Arkose,10507290,14582343
NA,,tertiary aged,Alluvium,Arkose,10507292,14582344
NA,,tertiary aged,Alluvium,Arkose,10507293,14582345
NA,,tertiary aged,Alluvium,Arkose,10507294,14582346
NA,,tertiary aged,Alluvium,Arkose,10507295,14582347
NA,,tertiary aged,Alluvium,Arkose,10507296,14582348
NA,,calcareous sandy,Eolian deposits,,10507297,14582349
NA,,wind-reworked,Alluvium,,10507297,14582350
NA,,,Alluvium,Arkose,10507300,14582595
NA,,,Alluvium,Arkose,10507301,14582594
NA,,,Alluvium,Arkose,10507302,14582593
2,,,Residuum,Shale,10507303,14582591
1,,,Slope alluvium,,10507303,14582592
NA,,,Eolian deposits,,10507305,14582588
NA,,mixed,Alluvium,,10507305,14582589
NA,,,Alluvium,Sandstone,10507306,14582587
NA,Sandy,,Alluvium,,10507316,14582577
NA,,,Alluvium,,10507317,14582576
NA,,calcareous sandy,Eolian deposits,,10507318,14582351
NA,,wind-reworked,Alluvium,,10507318,14582352
NA,,,Eolian sands,,10507319,14582353
NA,,wind reworked,Alluvium,,10507320,14582354
NA,,calcareous,Eolian deposits,,10507320,14582355
NA,,,Residuum,Sandstone and shale,10507323,14582573
NA,Clayey,,Alluvium,Shale,10507324,14582572
NA,,,Alluvium,,10507329,14582567
NA,,,Alluvium,,10507330,14582566
NA,,calcareous,Residuum,Clayey shale,10507336,14582560
NA,,calcareous,Residuum,Clayey shale,10507337,14582559
NA,,,Residuum,Granite,10507338,14582558
NA,,,Residuum,Granite,10507339,14582557
NA,Clayey,,Alluvium,Shale,10507340,14582556
NA,Clayey,noncalcareous,Alluvium,,10507341,14582555
NA,Loamy,,Alluvium,Limestone and shale,10507346,14582550
NA,Clayey,calcareous,Alluvium,,10507351,14582544
2,,,Residuum,Shale,10507352,14582542
1,,,Slope alluvium,,10507352,14582543
NA,,calcareous,Residuum,Interbedded sedimentary rock,10507354,14582540
2,,,Residuum,Sandstone,10507355,14582538
1,,calcareous,Slope alluvium,,10507355,14582539
NA,,mixed,Alluvium,,10507359,14582534
NA,,,Residuum,Limestone,10507367,14582526
2,,,Residuum,Limestone,10507368,14582524
1,,,Slope alluvium,,10507368,14582525
NA,Loamy,,Alluvium,Limestone and shale,10507369,14582523
2,,,Residuum,Shale,10507382,14582504
1,Clayey,,Slope alluvium,,10507382,14582505
1,Clayey,,Slope alluvium,,10507383,14582356
2,,,Residuum,Shale,10507383,14582357
1,Clayey,,Slope alluvium,,10507384,14582358
2,,,Residuum,Shale,10507384,14582359
1,,,Slope alluvium,,10507385,14582502
2,,,Residuum,Shale,10507385,14582503
NA,,,Alluvium,,10507390,14582497
NA,,,Alluvium,Sedimentary rock,10507392,14582495
NA,,,Eolian deposits,Sedimentary rock,10507392,14582496
NA,Loamy,,Eolian deposits,,10507393,14582361
NA,,,Colluvium,Granite,10507396,14582491
NA,,,Alluvium,Granite,10507396,14582492
NA,,,Eolian deposits,Granite,10507396,14582493
1,Clayey,,Slope alluvium,,10507397,14582363
2,,,Residuum,Shale,10507397,14582364
NA,Sandy,,Alluvium,Arkose,10507398,14582490
NA,Sandy,,Alluvium,Arkose,10507399,14582489
NA,Sandy,,Alluvium,Arkose,10507400,14582488
NA,,,Residuum,Sandstone,10507401,14582487
NA,,,Residuum,Sandstone,10507416,14582469
NA,,arkosic,Residuum,Sedimentary rock,10507417,14582467
NA,,arkosic,Alluvium,Sedimentary rock,10507417,14582468
NA,,arkosic,Residuum,Sedimentary rock,10507418,14582465
NA,,arkosic,Alluvium,Sedimentary rock,10507418,14582466
NA,,tertiary aged,Alluvium,Arkose,10507419,14582367
NA,,re-worked,Alluvium,Arkose,10507420,14582368
NA,,,Alluvium,,10507421,14582369
NA,,,Eolian deposits,Arkose,10507421,14582370
NA,Loamy,,Alluvium,,10507455,14582419
NA,,,Eolian deposits,,10507455,14582420
NA,,,Loess,,10507456,14582417
NA,,,Eolian deposits,,10507456,14582418
NA,,,Eolian deposits,,10507457,14582415
NA,,,Alluvium,,10507457,14582416
NA,,,Loess,,10507461,14582379
NA,,,Eolian deposits,,10507461,14582380
NA,,,Eolian deposits,Sedimentary rock,10507462,14582381
NA,,,Alluvium,Sedimentary rock,10507463,14582382
NA,,,Eolian deposits,Sedimentary rock,10507463,14582383
NA,,,Alluvium,,10507464,14582384
NA,,,Eolian deposits,,10507464,14582385
NA,,,Alluvium,,10507465,14582414
NA,,,Alluvium,Shale,10507466,14582413
NA,,,Alluvium,,10507467,14582412
NA,,,Alluvium,Shale,10507468,14582411
NA,,,Eolian deposits,,10507469,14582409
NA,,,Loess,,10507469,14582410
NA,,,Eolian deposits,,10507470,14582407
NA,,,Alluvium,,10507470,14582408
2,,,Residuum,Shale,10507471,14582405
1,,,Slope alluvium,,10507471,14582406
NA,NA,weathered from interbedded,,Sandstone and shale,11204175,15565534
NA,NA,weathered from interbedded,,Sandstone and shale,11204176,15565535
NA,NA,weathered from,,Limestone,11204178,15565536
NA,NA,weathered from interbedded,,Sandstone and shale,11204179,15565537
NA,NA,weathered from,,Granite,11204130,15565459
NA,NA,weathered from,,Granite,11204131,15565460
NA,NA,weathered from,,Granite,11204140,15565480
NA,NA,,,Sandstone,11204141,15565481
NA,NA,,,Schist,11204141,15565482
NA,NA,,Alluvium,Granite,11204141,15565483
NA,NA,,,Gneiss,11204141,15565484
NA,NA,weathered from,,Granite,11204109,15565425
NA,NA,weathered from,,Granite,11204110,15565426
NA,NA,,Colluvium,,11204111,15565427
NA,NA,glacial,Till,Granite,11204111,15565428
NA,NA,,,Sandstone,11204112,15565429
NA,NA,,,Schist,11204112,15565430
NA,NA,,Alluvium,Granite,11204112,15565431
NA,NA,,,Gneiss,11204112,15565432
1,NA,,Alluvium,Granite,11204147,15565497
1,NA,,Outwash,Granite,11204148,15565498
NA,NA,arkosic,Alluvium,Sedimentary rock,11204149,15565499
NA,NA,weathered from,,Calcareous shale,11204035,15565329
NA,NA,weathered from,,Limestone,11204036,15565330
NA,NA,weathered from,,Calcareous shale,11204037,15565331
1,NA,cobbly or stony,Colluvium,,11204063,15565360
2,NA,weathered,,Granite,11204063,15565361
NA,NA,weathered from,,Granite,11204065,15565362
NA,NA,weathered from,,Granite,11204066,15565363
NA,NA,weathered from,,Granite,11204067,15565364
NA,NA,weathered from,,Limestone,11204053,15565348
NA,NA,weathered from interbedded,,Sandstone and shale,11204054,15565349
NA,NA,weathered from,,Limestone,11204055,15565350
NA,NA,weathered from,,Limestone,11204046,15565340
NA,NA,weathered from,,Limestone,11204047,15565341
NA,NA,weathered from,,Schist,11204071,15565368
NA,NA,,,Gneiss,11204071,15565369
NA,NA,,,Granite,11204071,15565370
NA,NA,weathered from,,Granite and gneiss,11204072,15565371
NA,NA,,,Schist,11204072,15565372
NA,NA,,,Granite,11204073,15565373
NA,NA,weathered from,,Schist,11204073,15565374
NA,NA,,,Gneiss,11204073,15565375
NA,NA,weathered from,,Granite,11204074,15565376
NA,NA,weathered from,,Granite,11204126,15565455
NA,NA,weathered from,,Granite,11204127,15565456
NA,NA,,,Granite,11204128,15565457
NA,NA,weathered from,,Granite,11204129,15565458
NA,NA,weathered from,,Granite,11204195,15565563
NA,NA,weathered from,,Granite,11204196,15565564
NA,NA,weathered from,,Granite,11204197,15565565
NA,NA,weathered from,,Granite,11204198,15565566
NA,NA,weathered from,,Granite,11204169,15565528
NA,NA,weathered from,,Granite,11204170,15565529
NA,NA,weathered from,,Granite,11204171,15565530
NA,NA,weathered from,,Granite,11204172,15565531
1,NA,cobbly or stony,Colluvium,,11204173,15565532
2,NA,weathered,,Granite,11204173,15565533
NA,NA,weathered from,,Granite,11204099,15565414
NA,NA,weathered from,,Granite,11204100,15565415
NA,NA,weathered from,,Granite,11204102,15565416
NA,NA,weathered from,,Granite,11204103,15565417
1,NA,cobbly or stony,Colluvium,,11204104,15565418
2,NA,weathered,,Granite,11204104,15565419
NA,NA,weathered from,,Granite,11204158,15565517
NA,NA,weathered from,,Granite,11204159,15565518
NA,NA,weathered from,,Granite,11204160,15565519
NA,NA,weathered from,,Granite,11204059,15565357
NA,NA,weathered from,,Granite,11204060,15565358
NA,NA,weathered from,,Granite,11204062,15565359
1,NA,cobbly or stony,Colluvium,,11204122,15565447
2,NA,weathered,,Granite,11204122,15565448
1,NA,cobbly or stony,Colluvium,,11204123,15565449
2,NA,weathered,,Granite,11204123,15565450
1,NA,cobbly or stony,Colluvium,,11204124,15565451
2,NA,weathered,,Granite,11204124,15565452
1,NA,cobbly or stony,Colluvium,,11204125,15565453
2,NA,weathered,,Granite,11204125,15565454
1,NA,cobbly or stony,Colluvium,,11204150,15565500
2,NA,weathered,,Granite,11204150,15565501
1,NA,cobbly or stony,Colluvium,,11204151,15565502
2,NA,weathered,,Granite,11204151,15565503
1,NA,cobbly or stony,Colluvium,,11204152,15565504
2,NA,weathered,,Granite,11204152,15565505
1,NA,cobbly or stony,Colluvium,,11204153,15565506
2,NA,weathered,,Granite,11204153,15565507
