pmgroupname,rvindicator,cokey,copmgrpkey
sandy alluvium derived from arkose,Yes,14875503,10507267
"sandy, clayey, stratified loamy",Yes,14875510,10507270
tertiary aged alluvium derived from arkose,Yes,14875535,10507288
tertiary aged alluvium derived from arkose,Yes,14875536,10507289
tertiary aged alluvium derived from arkose,Yes,14875537,10507290
tertiary aged alluvium derived from arkose,Yes,14875541,10507292
tertiary aged alluvium derived from arkose,Yes,14875542,10507293
tertiary aged alluvium derived from arkose,Yes,14875543,10507294
tertiary aged alluvium derived from arkose,Yes,14875544,10507295
tertiary aged alluvium derived from arkose,Yes,14875545,10507296
wind-reworked alluvium and/or calcareous sandy eolian deposits,Yes,14875546,10507297
alluvium derived from arkose,Yes,14875551,10507300
alluvium derived from arkose,Yes,14875554,10507301
alluvium derived from arkose,Yes,14875556,10507302
slope alluvium over residuum weathered from shale,Yes,14875557,10507303
mixed alluvium and/or eolian deposits,Yes,14875564,10507305
alluvium derived from sandstone,Yes,14875567,10507306
sandy alluvium,Yes,14875589,10507316
alluvium,Yes,14875593,10507317
wind-reworked alluvium and/or calcareous sandy eolian deposits,Yes,14875596,10507318
eolian sands,Yes,14875597,10507319
wind reworked alluvium and/or calcareous eolian deposits,Yes,14875598,10507320
residuum weathered from sandstone and shale,Yes,14875605,10507323
clayey alluvium derived from shale,Yes,14875608,10507324
alluvium,Yes,14875620,10507329
alluvium,Yes,14875621,10507330
calcareous residuum weathered from clayey shale,Yes,14875638,10507336
calcareous residuum weathered from clayey shale,Yes,14875641,10507337
residuum weathered from granite,Yes,14875643,10507338
residuum weathered from granite,Yes,14875644,10507339
clayey alluvium derived from shale,Yes,14875648,10507340
noncalcareous clayey alluvium,Yes,14875651,10507341
loamy alluvium derived from limestone and shale,Yes,14875658,10507346
calcareous clayey alluvium,Yes,14875665,10507351
slope alluvium over residuum weathered from shale,Yes,14875668,10507352
calcareous residuum weathered from interbedded sedimentary rock,Yes,14875673,10507354
calcareous slope alluvium over residuum weathered from sandstone,Yes,14875674,10507355
mixed alluvium,Yes,14875684,10507359
residuum weathered from limestone,Yes,14875694,10507367
slope alluvium over residuum weathered from limestone,Yes,14875697,10507368
loamy alluvium derived from limestone and shale,Yes,14875698,10507369
clayey slope alluvium over residuum weathered from shale,Yes,14875727,10507382
clayey slope alluvium over residuum weathered from shale,Yes,14875730,10507383
clayey slope alluvium over residuum weathered from shale,Yes,14875732,10507384
slope alluvium over residuum weathered from shale,Yes,14875733,10507385
alluvium,Yes,14875744,10507390
alluvium derived from sedimentary rock and/or eolian deposits derived from sedimentary rock,Yes,14875750,10507392
loamy eolian deposits,Yes,14875753,10507393
alluvium derived from granite and/or colluvium derived from granite and/or eolian deposits derived from granite,Yes,14875759,10507396
clayey slope alluvium over residuum weathered from shale,Yes,14875760,10507397
sandy alluvium derived from arkose,Yes,14875763,10507398
sandy alluvium derived from arkose,Yes,14875767,10507399
sandy alluvium derived from arkose,Yes,14875770,10507400
residuum weathered from sandstone,Yes,14875771,10507401
residuum weathered from sandstone,Yes,14875802,10507416
arkosic alluvium derived from sedimentary rock and/or arkosic residuum weathered from sedimentary rock,Yes,14875805,10507417
arkosic alluvium derived from sedimentary rock and/or arkosic residuum weathered from sedimentary rock,Yes,14875808,10507418
tertiary aged alluvium derived from arkose,Yes,14875811,10507419
re-worked alluvium derived from arkose,Yes,14875812,10507420
alluvium and/or eolian deposits derived from arkose,Yes,14875813,10507421
sedimentary rock,Yes,14875823,10507426
loamy alluvium and/or eolian deposits,Yes,14875852,10507455
loess and/or eolian deposits,Yes,14875853,10507456
eolian deposits and/or alluvium,Yes,14875854,10507457
loess and/or eolian deposits,Yes,14875858,10507461
eolian deposits derived from sedimentary rock,Yes,14875859,10507462
eolian deposits and/or alluvium derived from sedimentary rock,Yes,14875860,10507463
alluvium and/or eolian deposits,Yes,14875861,10507464
alluvium,Yes,14875862,10507465
alluvium derived from shale,Yes,14875863,10507466
alluvium,Yes,14875864,10507467
alluvium derived from shale,Yes,14875865,10507468
eolian deposits and/or loess,Yes,14875866,10507469
alluvium and/or eolian deposits,Yes,14875867,10507470
slope alluvium over residuum weathered from shale,Yes,14875868,10507471
weathered from interbedded sandstone and shale,Yes,15697501,11204175
weathered from interbedded sandstone and shale,Yes,15697502,11204176
,No ,15697503,11204177
weathered from limestone,Yes,15697504,11204178
weathered from interbedded sandstone and shale,Yes,15697505,11204179
weathered from granite,Yes,15697456,11204130
weathered from granite,No ,15697457,11204131
weathered from granite,Yes,15697467,11204140
alluvium derived from granite and/or gneiss and/or schist and/or sandstone,Yes,15697468,11204141
