wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,2,NA,CAAR18,Caragana arborescens,Siberian peashrub,14875503,82605566
NA,6,NA,CEOC,Celtis occidentalis,common hackberry,14875503,82605589
NA,6,NA,FRPE,Fraxinus pennsylvanica,green ash,14875503,82605658
NA,7,NA,GLTR,Gleditsia triacanthos,honeylocust,14875503,82605703
NA,5,NA,JUVI,Juniperus virginiana,eastern redcedar,14875503,82605816
NA,4,NA,MABA,Malus baccata,Manchurian crabapple,14875503,82605859
NA,6,NA,PIPO,Pinus ponderosa,ponderosa pine,14875503,82605887
NA,2,NA,RHTR,Rhus trilobata,skunkbush sumac,14875503,82606054
NA,2,NA,SYVU,Syringa vulgaris,common lilac,14875503,82606074
NA,9,NA,ULPU,Ulmus pumila,Siberian elm,14875503,82606117
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,14875535,82605593
NA,6,NA,GLTR,Gleditsia triacanthos,honeylocust,14875535,82605706
NA,5,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875535,82605743
NA,6,NA,PIAM2,Piper amalago,ponderosa pine,14875535,82605868
NA,9,NA,ULMUS,Ulmus,Siberian elm,14875535,82606109
NA,1.5,NA,CAAR18,Caragana arborescens,Siberian peashrub,14875536,82605567
NA,3.4,NA,CEOC,Celtis occidentalis,common hackberry,14875536,82605594
NA,0.9,NA,COAC2,Cotoneaster acutifolius,Peking cotoneaster,14875536,82605649
NA,3.7,NA,FRPE,Fraxinus pennsylvanica,green ash,14875536,82605660
NA,4,NA,GLTR,Gleditsia triacanthos,honeylocust,14875536,82605707
NA,2.7,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875536,82605810
NA,3,NA,JUVI,Juniperus virginiana,eastern redcedar,14875536,82605820
NA,3,NA,MAPO,Maclura pomifera,osage orange,14875536,82605861
NA,2.4,NA,PIED,Pinus edulis,twoneedle pinyon,14875536,82605872
NA,3.7,NA,PINI,Pinus nigra,Austrian pine,14875536,82605881
NA,3.6,NA,PIPO,Pinus ponderosa,ponderosa pine,14875536,82605970
NA,1.8,NA,PRAM,Prunus americana,American plum,14875536,82605984
NA,0.9,NA,PRPUB,Prunus pumila var. besseyi,western sandcherry,14875536,82606006
NA,2.1,NA,PRVI,Prunus virginiana,chokecherry,14875536,82606013
NA,3,NA,PSME,Pseudotsuga menziesii,Douglas fir,14875536,82606041
NA,3,NA,QUMA2,Quercus macrocarpa,bur oak,14875536,82606046
NA,1.2,NA,RHTR,Rhus trilobata,skunkbush sumac,14875536,82606055
NA,4,NA,ROPS,Robinia pseudoacacia,black locust,14875536,82606065
NA,1.5,NA,SYVU,Syringa vulgaris,common lilac,14875536,82606075
NA,6.1,NA,ULPU,Ulmus pumila,Siberian elm,14875536,82606191
NA,2,NA,CAAR18,Caragana arborescens,Siberian peashrub,14875537,82605568
NA,4,NA,CEOC,Celtis occidentalis,common hackberry,14875537,82605643
NA,4,NA,FRPE,Fraxinus pennsylvanica,green ash,14875537,82605661
NA,5,NA,GLTR,Gleditsia triacanthos,honeylocust,14875537,82605708
NA,3,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875537,82605811
NA,4,NA,JUVI,Juniperus virginiana,eastern redcedar,14875537,82605821
NA,5,NA,PIPO,Pinus ponderosa,ponderosa pine,14875537,82605971
NA,2,NA,RHTR,Rhus trilobata,skunkbush sumac,14875537,82606056
NA,1,NA,SYVU,Syringa vulgaris,common lilac,14875537,82606076
NA,6,NA,ULPU,Ulmus pumila,Siberian elm,14875537,82606192
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,14875541,82605644
NA,6,NA,GLTR,Gleditsia triacanthos,honeylocust,14875541,82605732
NA,5,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875541,82605813
NA,6,NA,PIAM2,Piper amalago,ponderosa pine,14875541,82605869
NA,9,NA,ULMUS,Ulmus,Siberian elm,14875541,82606110
NA,1.5,NA,CAAR18,Caragana arborescens,Siberian peashrub,14875542,82605569
NA,3.4,NA,CEOC,Celtis occidentalis,common hackberry,14875542,82605645
NA,0.9,NA,COAC2,Cotoneaster acutifolius,Peking cotoneaster,14875542,82605650
NA,3.7,NA,FRPE,Fraxinus pennsylvanica,green ash,14875542,82605662
NA,4,NA,GLTR,Gleditsia triacanthos,honeylocust,14875542,82605733
NA,2.7,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875542,82605814
NA,3,NA,JUVI,Juniperus virginiana,eastern redcedar,14875542,82605846
NA,3,NA,MAPO,Maclura pomifera,osage orange,14875542,82605862
NA,2.4,NA,PIED,Pinus edulis,twoneedle pinyon,14875542,82605873
NA,3.7,NA,PINI,Pinus nigra,Austrian pine,14875542,82605882
NA,3.6,NA,PIPO,Pinus ponderosa,ponderosa pine,14875542,82605973
NA,1.8,NA,PRAM,Prunus americana,American plum,14875542,82605985
NA,0.9,NA,PRPUB,Prunus pumila var. besseyi,western sandcherry,14875542,82606007
NA,2.1,NA,PRVI,Prunus virginiana,chokecherry,14875542,82606014
NA,3,NA,PSME,Pseudotsuga menziesii,Douglas fir,14875542,82606042
NA,3,NA,QUMA2,Quercus macrocarpa,bur oak,14875542,82606047
NA,1.2,NA,RHTR,Rhus trilobata,skunkbush sumac,14875542,82606057
NA,4,NA,ROPS,Robinia pseudoacacia,black locust,14875542,82606066
NA,1.5,NA,SYVU,Syringa vulgaris,common lilac,14875542,82606077
NA,6.1,NA,ULPU,Ulmus pumila,Siberian elm,14875542,82606194
NA,2,NA,CAAR18,Caragana arborescens,Siberian peashrub,14875543,82605570
NA,4,NA,CEOC,Celtis occidentalis,common hackberry,14875543,82605646
NA,4,NA,FRPE,Fraxinus pennsylvanica,green ash,14875543,82605663
NA,5,NA,GLTR,Gleditsia triacanthos,honeylocust,14875543,82605734
NA,3,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875543,82605815
NA,4,NA,JUVI,Juniperus virginiana,eastern redcedar,14875543,82605847
NA,5,NA,PIPO,Pinus ponderosa,ponderosa pine,14875543,82605962
NA,2,NA,RHTR,Rhus trilobata,skunkbush sumac,14875543,82606058
NA,1,NA,SYVU,Syringa vulgaris,common lilac,14875543,82606078
NA,6,NA,ULPU,Ulmus pumila,Siberian elm,14875543,82606183
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,14875544,82605647
NA,6,NA,GLTR,Gleditsia triacanthos,honeylocust,14875544,82605735
NA,5,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875544,82605804
NA,6,NA,PIAM2,Piper amalago,ponderosa pine,14875544,82605870
NA,9,NA,ULMUS,Ulmus,Siberian elm,14875544,82606111
NA,1.5,NA,CAAR18,Caragana arborescens,Siberian peashrub,14875545,82605571
NA,3.4,NA,CEOC,Celtis occidentalis,common hackberry,14875545,82605648
NA,0.9,NA,COAC2,Cotoneaster acutifolius,Peking cotoneaster,14875545,82605651
NA,3.7,NA,FRPE,Fraxinus pennsylvanica,green ash,14875545,82605697
NA,4,NA,GLTR,Gleditsia triacanthos,honeylocust,14875545,82605736
NA,2.7,NA,JUSC2,Juniperus scopulorum,Rocky Mountain juniper,14875545,82605805
NA,3,NA,JUVI,Juniperus virginiana,eastern redcedar,14875545,82605848
NA,3,NA,MAPO,Maclura pomifera,osage orange,14875545,82605863
