reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Strongly contrasting textural stratification,,26,30,61,203,203,203,142,173,177,14875537,3992314
Strongly contrasting textural stratification,,26,30,61,203,203,203,142,173,177,14875543,3992315
Paralithic bedrock,Weakly cemented,15,33,51,NA,NA,NA,NA,NA,NA,14875557,3992316
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,14875568,3992317
Lithic bedrock,Indurated,51,97,102,NA,NA,NA,NA,NA,NA,14875605,3992322
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,14875606,3992323
Paralithic bedrock,Weakly cemented,51,91,102,NA,NA,NA,NA,NA,NA,14875638,3992325
Paralithic bedrock,Weakly cemented,51,91,102,NA,NA,NA,NA,NA,NA,14875641,3992326
Paralithic bedrock,Weakly cemented,51,71,102,NA,NA,NA,NA,NA,NA,14875643,3992327
Paralithic bedrock,Weakly cemented,51,71,102,NA,NA,NA,NA,NA,NA,14875644,3992328
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,14875645,3992329
Paralithic bedrock,Weakly cemented,25,36,51,NA,NA,NA,NA,NA,NA,14875651,3992330
Paralithic bedrock,Weakly cemented,15,33,51,NA,NA,NA,NA,NA,NA,14875668,3992334
Paralithic bedrock,Weakly cemented,51,58,102,NA,NA,NA,NA,NA,NA,14875673,3992335
Paralithic bedrock,Weakly cemented,15,25,51,NA,NA,NA,NA,NA,NA,14875674,3992336
Lithic bedrock,Indurated,25,43,51,NA,NA,NA,NA,NA,NA,14875694,3992337
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,14875695,3992338
Lithic bedrock,Indurated,25,28,51,NA,NA,NA,NA,NA,NA,14875697,3992339
Paralithic bedrock,Weakly cemented,51,79,102,NA,NA,NA,NA,NA,NA,14875727,3992340
Paralithic bedrock,Weakly cemented,51,74,102,NA,NA,NA,NA,NA,NA,14875730,3992341
Paralithic bedrock,Weakly cemented,51,79,102,NA,NA,NA,NA,NA,NA,14875732,3992342
Paralithic bedrock,Weakly cemented,15,33,51,NA,NA,NA,NA,NA,NA,14875733,3992343
