sfragcov.l,sfragcov.r,sfragcov.h,distrocks.l,distrocks.r,distrocks.h,sfragkind,sfragsize.l,sfragsize.r,sfragsize.h,sfragshp,sfraground,sfraghard,cokey,cosurffragskey
0,0.5,5,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697380,3162386
0,0.25,5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697380,3162387
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697385,3162388
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697385,3162389
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697389,3162390
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697389,3162391
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697392,3162392
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697392,3162393
5,27,35,NA,NA,NA,NA,250,425,600,Nonflat,NA,Indurated,15697399,3162396
1,8,15,NA,NA,NA,NA,75,150,250,Nonflat,NA,Indurated,15697399,3162397
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697429,3162408
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697429,3162409
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697430,3162410
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697430,3162411
0.01,0.25,0.5,NA,NA,NA,NA,250,425,600,Nonflat,NA,Indurated,15697436,3162416
0.1,2,3,NA,NA,NA,NA,600,800,1000,Nonflat,NA,Indurated,15697436,3162417
0.01,0.25,0.5,NA,NA,NA,NA,250,425,600,Nonflat,NA,Indurated,15697437,3162418
0.1,2,3,NA,NA,NA,NA,600,800,1000,Nonflat,NA,Indurated,15697437,3162419
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697448,3162422
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697448,3162423
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697449,3162424
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697449,3162425
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697450,3162426
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697450,3162427
0,3,3,NA,NA,NA,NA,250,425,600,Nonflat,NA,Indurated,15697451,3162428
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697455,3162429
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697455,3162430
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697457,3162431
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697457,3162432
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697476,3162436
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697476,3162437
0,3,3,NA,NA,NA,NA,250,425,600,Nonflat,NA,Indurated,15697477,3162438
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697478,3162439
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697478,3162440
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697479,3162441
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697479,3162442
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697485,3162445
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697485,3162446
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697498,3162453
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697498,3162454
0,2,4,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697499,3162455
0,0.5,1,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697499,3162456
0,0.5,5,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697501,3162457
0,0.25,5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697501,3162458
0,0.5,5,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697502,3162459
0,0.25,5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697502,3162460
0,0.5,1,NA,NA,NA,NA,250,425,600,Nonflat,NA,,15697524,3162466
0,0.25,0.5,NA,NA,NA,NA,600,800,1000,Nonflat,NA,,15697524,3162467
