geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
,,,,21826354,7549990
,Side Slope,,,21826448,7549994
,Side Slope,,,21826452,7549998
,,Tread,,21826466,7550000
,,Tread,,21826467,7550001
,,,,21826479,7550005
,Side Slope,,,21826490,7550006
,Side Slope,,,21826491,7550007
,Side Slope,,,21826492,7550008
,Side Slope,,,21826493,7550009
,Side Slope,,,21826494,7550010
,Side Slope,,,21826495,7550011
,,,Talf,21826500,7550016
,,,Talf,21826502,7550018
,,,Talf,21826505,7550021
,,,Talf,21826506,7550022
,Side Slope,,,21826521,7550038
,Side Slope,,,21826522,7550039
,Head Slope,,,21826522,7550040
,Side Slope,,,21826523,7550041
,Crest,,,21826523,7550042
,Side Slope,,,21826532,7550055
,Side Slope,,,21826533,7550056
,Side Slope,,,21826534,7550057
,Crest,,,21826541,7550067
,Side Slope,,,21826541,7550068
,Crest,,,21826542,7550069
,Side Slope,,,21826542,7550070
,Side Slope,,,21826547,7550077
,Side Slope,,,21826548,7550078
,Side Slope,,,21826551,7550081
,Side Slope,,,21826552,7550082
,Side Slope,,,21826553,7550083
,Side Slope,,,21826554,7550084
,Side Slope,,,21826555,7550085
,Side Slope,,,21826556,7550086
,Side Slope,,,21826566,7550096
,Crest,,,21826566,7550097
,Side Slope,,,21826567,7550098
,Crest,,,21826567,7550099
,Side Slope,,,21826571,7550103
,Side Slope,,,21826572,7550104
,Crest,,,21826573,7550105
,Side Slope,,,21826573,7550106
,Crest,,,21826574,7550107
,Side Slope,,,21826574,7550108
,Side Slope,,,21826578,7550112
,Side Slope,,,21826579,7550113
,Side Slope,,,21826580,7550114
,Side Slope,,,21826582,7550116
,Side Slope,,,21826595,7550131
,Side Slope,,,21826596,7550132
,Side Slope,,,21826603,7550139
,Side Slope,,,21826604,7550140
,Side Slope,,,21826605,7550141
,Crest,,,21826606,7550142
,Interfluve,,,21826608,7550144
,Interfluve,,,21826609,7550145
,Interfluve,,,21826610,7550146
,Interfluve,,,21826611,7550147
,Interfluve,,,21826612,7550148
,Interfluve,,,21826614,7550150
,Interfluve,,,21826615,7550151
,Side Slope,,,21826616,7550152
,Head Slope,,,21826616,7550153
