hillslopeprof,cogeomdkey,cosurfmorhppkey
Backslope,21826448,8814335
Backslope,21826452,8814338
,21826466,8814339
,21826467,8814340
,21826479,8814344
Backslope,21826490,8814345
Footslope,21826490,8814346
Backslope,21826491,8814347
Footslope,21826492,8814348
Footslope,21826493,8814349
Footslope,21826494,8814350
Backslope,21826494,8814351
Backslope,21826495,8814352
Backslope,21826521,8814358
Footslope,21826522,8814359
Backslope,21826522,8814360
Shoulder,21826523,8814361
Backslope,21826523,8814362
Backslope,21826534,8814365
Summit,21826608,8814368
Summit,21826609,8814369
Summit,21826610,8814370
Summit,21826611,8814371
Shoulder,21826612,8814372
Backslope,21826612,8814373
Summit,21826614,8814375
Shoulder,21826615,8814376
Backslope,21826616,8814377
Footslope,21826616,8814378
Summit,21826617,8814379
Backslope,21826622,8814385
Summit,21826623,8814386
Footslope,21826628,8814390
Toeslope,21826628,8814391
Backslope,21826629,8814392
Shoulder,21826630,8814393
Backslope,21826630,8814394
Backslope,21826631,8814395
Shoulder,21826632,8814396
Backslope,21826633,8814397
Backslope,21826634,8814398
Backslope,21826635,8814399
Backslope,21826682,8814431
Backslope,21826690,8814439
Backslope,21826691,8814440
Footslope,21826691,8814441
Backslope,21826692,8814442
Footslope,21826707,8814451
Toeslope,21826707,8814452
