shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Linear,Linear,21826353,12415532
Linear,Linear,21826354,12415533
Linear,Linear,21826355,12415534
Linear,Linear,21826356,12415535
Linear,Linear,21826357,12415536
Linear,Linear,21826358,12415537
Linear,Linear,21826359,12415538
Linear,Linear,21826364,12415543
Linear,Linear,21826366,12415545
Linear,Linear,21826367,12415546
Linear,Linear,21826368,12415547
Linear,Linear,21826370,12415549
Linear,Linear,21826372,12415551
Linear,Linear,21826373,12415552
Linear,Linear,21826401,12415554
Linear,Linear,21826436,12415557
Linear,Linear,21826438,12415559
Linear,Linear,21826439,12415560
Linear,Linear,21826440,12415561
Linear,Linear,21826443,12415564
Linear,Linear,21826448,12415566
Convex,Convex,21826452,12415570
Linear,Linear,21826455,12415571
Linear,Linear,21826460,12415575
Linear,Linear,21826461,12415576
Linear,Linear,21826462,12415577
Linear,Linear,21826465,12415580
Linear,Linear,21826466,12415581
Linear,Linear,21826467,12415582
Linear,Linear,21826469,12415584
Linear,Linear,21826472,12415587
Linear,Linear,21826479,12415594
Linear,Linear,21826484,12415599
Linear,Linear,21826485,12415600
Linear,Linear,21826487,12415602
Linear,Convex,21826490,12415605
Linear,Linear,21826491,12415606
Linear,Linear,21826492,12415607
Linear,Linear,21826493,12415608
Linear,Linear,21826494,12415609
Linear,Convex,21826495,12415610
Linear,Linear,21826500,12415615
Linear,Linear,21826502,12415617
Linear,Linear,21826505,12415620
Linear,Linear,21826506,12415621
Convex,Linear,21826521,12415636
Linear,Linear,21826522,12415637
Linear,Linear,21826523,12415638
Convex,Convex,21826523,12415639
Linear,Linear,21826532,12415648
Linear,Linear,21826533,12415649
Linear,Linear,21826534,12415650
Linear,Linear,21826541,12415657
Linear,Linear,21826542,12415658
Linear,Linear,21826547,12415663
Linear,Linear,21826548,12415664
Linear,Linear,21826551,12415667
Linear,Linear,21826552,12415668
Linear,Linear,21826553,12415669
Linear,Linear,21826554,12415670
Linear,Concave,21826555,12415671
Linear,Linear,21826556,12415672
Linear,Linear,21826566,12415682
