taxminalogy,cokey,cotaxfmminkey
mixed,14875503,11639842
mixed,14875510,11639845
mixed,14875535,11639863
mixed,14875536,11639864
mixed,14875537,11639865
mixed,14875541,11639867
mixed,14875542,11639868
mixed,14875543,11639869
mixed,14875544,11639870
mixed,14875545,11639871
mixed,14875546,11639872
mixed,14875551,11639875
mixed,14875554,11639876
mixed,14875556,11639877
smectitic,14875557,11639878
mixed,14875564,11639880
mixed,14875567,11639881
mixed,14875589,11639891
mixed,14875593,11639892
mixed,14875596,11639893
mixed,14875597,11639894
mixed,14875598,11639895
smectitic,14875605,11639898
smectitic,14875608,11639899
mixed,14875620,11639904
mixed,14875621,11639905
smectitic,14875638,11639911
smectitic,14875641,11639912
mixed,14875643,11639913
mixed,14875644,11639914
smectitic,14875648,11639915
mixed,14875651,11639916
mixed,14875658,11639918
smectitic,14875665,11639923
smectitic,14875668,11639924
mixed,14875673,11639926
mixed,14875674,11639927
smectitic,14875684,11639931
mixed,14875694,11639942
carbonatic,14875697,11639943
mixed,14875698,11639944
smectitic,14875727,11639957
smectitic,14875730,11639958
smectitic,14875732,11639959
smectitic,14875733,11639960
mixed,14875744,11639965
mixed,14875750,11639967
mixed,14875753,11639968
mixed,14875759,11639971
smectitic,14875760,11639972
mixed,14875763,11639973
mixed,14875767,11639974
mixed,14875770,11639975
mixed,14875771,11639976
mixed,14875802,11639991
mixed,14875805,11639992
mixed,14875808,11639993
mixed,14875811,11639994
mixed,14875812,11639995
mixed,14875813,11639996
mixed,14875852,11640028
mixed,14875853,11640029
mixed,14875854,11640030
mixed,14875858,11640034
mixed,14875859,11640035
mixed,14875860,11640036
mixed,14875861,11640037
smectitic,14875862,11640038
smectitic,14875863,11640039
mixed,14875864,11640040
smectitic,14875865,11640041
mixed,14875866,11640042
mixed,14875867,11640043
smectitic,14875868,11640044
montmorillonitic,15697501,12322299
montmorillonitic,15697502,12322300
mixed,15697504,12322301
montmorillonitic,15697505,12322302
mixed,15697456,12322258
mixed,15697457,12322259
mixed,15697467,12322268
not used,15697468,12322269
mixed,15697435,12322239
mixed,15697436,12322240
mixed,15697437,12322241
not used,15697438,12322242
mixed,15697474,12322275
mixed,15697475,12322276
montmorillonitic,15697360,12322176
mixed,15697361,12322177
montmorillonitic,15697362,12322178
mixed,15697389,12322200
mixed,15697391,12322201
mixed,15697392,12322202
mixed,15697393,12322203
mixed,15697379,12322191
montmorillonitic,15697380,12322192
mixed,15697381,12322193
mixed,15697372,12322186
mixed,15697373,12322187
mixed,15697397,12322205
mixed,15697399,12322206
mixed,15697400,12322207
mixed,15697452,12322255
mixed,15697453,12322256
mixed,15697455,12322257
mixed,15697524,12322315
mixed,15697526,12322316
mixed,15697527,12322317
mixed,15697495,12322294
mixed,15697496,12322295
mixed,15697497,12322296
mixed,15697498,12322297
mixed,15697499,12322298
mixed,15697425,12322230
mixed,15697426,12322231
mixed,15697428,12322232
mixed,15697429,12322233
mixed,15697430,12322234
mixed,15697484,12322284
mixed,15697485,12322285
mixed,15697486,12322286
mixed,15697385,12322197
mixed,15697386,12322198
mixed,15697388,12322199
mixed,15697448,12322251
mixed,15697449,12322252
mixed,15697450,12322253
mixed,15697451,12322254
mixed,15697476,12322277
mixed,15697477,12322278
mixed,15697478,12322279
mixed,15697479,12322280
