recdate,comptextkind,textcat,textsubcat,text,cokey,cotextkey
09/08/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Bresser, cool component makes up 85 percent of the map unit. Slopes are 0 to 3 percent. This component is on broad and flat interfluves, dissected plains. The parent material consists of tertiary aged alluvium derived from arkose. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R049BY210CO Sandy Foothill ecological site. Nonirrigated land capability classification is 4c. Irrigated land capability classification is 3e. This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",14875535,14287464
03/07/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Truckton soil is a minor component.,14875536,14287465
03/07/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Yoder soil is a minor component.,14875537,14287466
09/08/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Bresser, cool component makes up 85 percent of the map unit. Slopes are 3 to 5 percent. This component is on interfluves, foothills. The parent material consists of tertiary aged alluvium derived from arkose. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R049BY210CO Sandy Foothill ecological site. Nonirrigated land capability classification is 4s. Irrigated land capability classification is 3e. This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",14875541,14287470
07/01/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Truckton soil is a minor component.,14875542,14287471
07/01/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Yoder soil is a minor component.,14875543,14287472
09/08/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Bresser, cool component makes up 85 percent of the map unit. Slopes are 5 to 9 percent. This component is on foothills, interfluves. The parent material consists of tertiary aged alluvium derived from arkose. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R049BY210CO Sandy Foothill ecological site. Nonirrigated land capability classification is 4e. Irrigated land capability classification is 4e. This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",14875544,14287473
07/01/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Truckton soil is a minor component.,14875545,14287474
07/01/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Ascalon soil is a minor component.,14875546,14287475
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,"The Chaseville component makes up 85 percent of the map unit. Slopes are 1 to 8 percent. This component is on hills, terraces, alluvial fans. The parent material consists of alluvium derived from arkose. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat excessively drained.  Water movement in the most restrictive layer is high. Available water to a depth of 60 inches (or restricted depth) is very low. Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 2 percent. This component is in the R049BY214CO Gravelly Foothill ecological site. Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   ",14875551,14287480
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Other soils soil is a minor component.,14875552,14287481
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Pleasant soil is a minor component.,14875553,14287482
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,"The Chaseville component makes up 85 percent of the map unit. Slopes are 8 to 40 percent. This component is on terraces, hills, alluvial fans. The parent material consists of alluvium derived from arkose. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat excessively drained.  Water movement in the most restrictive layer is high. Available water to a depth of 60 inches (or restricted depth) is very low. Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 2 percent. This component is in the R049BY214CO Gravelly Foothill ecological site. Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   ",14875554,14287483
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Other soils soil is a minor component.,14875555,14287484
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,"The Chaseville component makes up 70 percent of the map unit. Slopes are 8 to 50 percent. This component is on breaks, hills, hills. The parent material consists of alluvium derived from arkose. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat excessively drained.  Water movement in the most restrictive layer is high. Available water to a depth of 60 inches (or restricted depth) is very low. Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 2 percent. This component is in the R049BY214CO Gravelly Foothill ecological site. Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   ",14875556,14287485
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,"The Midway component makes up 20 percent of the map unit. Slopes are 5 to 25 percent. This component is on hills. The parent material consists of slope alluvium over residuum weathered from shale. Depth to a root restrictive layer, bedrock, paralithic, is 6 to 20 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately low. Available water to a depth of 60 inches (or restricted depth) is very low. Shrink-swell potential is high. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 1 percent. This component is in the R049BY212CO Shaly Foothill ecological site. Nonirrigated land capability classification is 7e.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 10 percent. The soil has a slightly saline horizon within 30 inches of the soil surface. The soil has a maximum sodium adsorption ratio of 8 within 30 inches of the soil surface.",14875557,14287486
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Pleasant soil is a minor component.,14875512,14287426
09/10/2015 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Other soils soil is a minor component.,14875511,14287425
