plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
PIPO,Pinus ponderosa,ponderosa pine,14875605,26232785
PIPO,Pinus ponderosa,ponderosa pine,14875621,26232786
ABCO,Abies concolor,white fir,14875644,26232781
PIPO,Pinus ponderosa,ponderosa pine,14875644,26232791
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas fir,14875644,26232804
PIPO,Pinus ponderosa,ponderosa pine,14875802,26232788
PIPO,Pinus ponderosa,ponderosa pine,15697504,27282549
PIPO,Pinus ponderosa,ponderosa pine,15697456,27282504
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697456,27282505
PIPO,Pinus ponderosa,ponderosa pine,15697457,27282506
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697457,27282507
PIPO,Pinus ponderosa,ponderosa pine,15697467,27282510
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697467,27282511
PIEN,Picea engelmannii,Engelmann spruce,15697435,27282480
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697435,27282481
PIEN,Picea engelmannii,Engelmann spruce,15697436,27282482
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697437,27282483
PIPO,Pinus ponderosa,ponderosa pine,15697474,27282515
PIPO,Pinus ponderosa,ponderosa pine,15697361,27282403
PIPO,Pinus ponderosa,ponderosa pine,15697389,27282433
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697389,27282434
PIEN,Picea engelmannii,Engelmann spruce,15697391,27282435
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697391,27282436
PIPO,Pinus ponderosa,ponderosa pine,15697392,27282437
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697392,27282438
PIEN,Picea engelmannii,Engelmann spruce,15697393,27282439
PIPO,Pinus ponderosa,ponderosa pine,15697379,27282422
PIPO,Pinus ponderosa,ponderosa pine,15697381,27282423
PIPO,Pinus ponderosa,ponderosa pine,15697372,27282417
PIPO,Pinus ponderosa,ponderosa pine,15697373,27282418
PIEN,Picea engelmannii,Engelmann spruce,15697400,27282440
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697400,27282441
PIPO,Pinus ponderosa,ponderosa pine,15697452,27282498
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,15697452,27282499
PIPO,Pinus ponderosa,ponderosa pine,15697453,27282500
