taxfamother,cokey,cotaxfokey
not used,14875503,10294396
not used,14875510,10294399
not used,14875535,10294417
not used,14875536,10294418
not used,14875537,10294419
not used,14875541,10294421
not used,14875542,10294422
not used,14875543,10294423
not used,14875544,10294424
not used,14875545,10294425
not used,14875546,10294426
not used,14875551,10294429
not used,14875554,10294430
not used,14875556,10294431
shallow,14875557,10294432
not used,14875564,10294434
not used,14875567,10294435
not used,14875589,10294445
not used,14875593,10294446
not used,14875596,10294447
not used,14875597,10294448
not used,14875598,10294449
not used,14875605,10294452
not used,14875608,10294453
not used,14875620,10294458
not used,14875621,10294459
not used,14875638,10294465
not used,14875641,10294466
not used,14875643,10294467
not used,14875644,10294468
not used,14875648,10294469
shallow,14875651,10294470
not used,14875658,10294475
not used,14875665,10294480
shallow,14875668,10294481
not used,14875673,10294483
shallow,14875674,10294484
not used,14875684,10294488
not used,14875694,10294496
not used,14875697,10294497
not used,14875698,10294498
not used,14875727,10294511
not used,14875730,10294512
not used,14875732,10294513
shallow,14875733,10294514
not used,14875744,10294519
not used,14875750,10294521
not used,14875753,10294522
not used,14875759,10294525
not used,14875760,10294526
not used,14875763,10294527
not used,14875767,10294528
not used,14875770,10294529
not used,14875771,10294530
not used,14875802,10294545
not used,14875805,10294546
not used,14875808,10294547
not used,14875811,10294548
not used,14875812,10294549
not used,14875813,10294550
not used,14875852,10294579
not used,14875853,10294580
not used,14875854,10294581
not used,14875858,10294585
not used,14875859,10294586
not used,14875860,10294587
not used,14875861,10294588
not used,14875862,10294589
not used,14875863,10294590
not used,14875864,10294591
not used,14875865,10294592
not used,14875866,10294593
not used,14875867,10294594
not used,14875868,10294595
not used,15697501,10918949
not used,15697502,10918950
not used,15697504,10918951
not used,15697505,10918952
not used,15697456,10918908
shallow,15697457,10918909
not used,15697467,10918918
not used,15697468,10918919
shallow,15697435,10918889
shallow,15697436,10918890
not used,15697437,10918891
not used,15697438,10918892
not used,15697474,10918925
not used,15697475,10918926
not used,15697360,10918826
not used,15697361,10918827
not used,15697362,10918828
not used,15697389,10918850
shallow,15697391,10918851
shallow,15697392,10918852
shallow,15697393,10918853
not used,15697379,10918841
not used,15697380,10918842
not used,15697381,10918843
not used,15697372,10918836
not used,15697373,10918837
not used,15697397,10918855
not used,15697399,10918856
shallow,15697400,10918857
shallow,15697452,10918905
not used,15697453,10918906
shallow,15697455,10918907
shallow,15697524,10918965
not used,15697526,10918966
shallow,15697527,10918967
not used,15697495,10918944
not used,15697496,10918945
shallow,15697497,10918946
shallow,15697498,10918947
not used,15697499,10918948
not used,15697425,10918880
shallow,15697426,10918881
not used,15697428,10918882
shallow,15697429,10918883
not used,15697430,10918884
shallow,15697484,10918934
shallow,15697485,10918935
not used,15697486,10918936
shallow,15697385,10918847
not used,15697386,10918848
shallow,15697388,10918849
not used,15697448,10918901
not used,15697449,10918902
not used,15697450,10918903
not used,15697451,10918904
not used,15697476,10918927
not used,15697477,10918928
not used,15697478,10918929
not used,15697479,10918930
