musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
10,"Blendon sandy loam, 0 to 3 percent slopes",Consociation,NA,11702,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95357
101,"Ustic Torrifluvents, loamy",Consociation,NA,24101,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95359
11,"Bresser sandy loam, cool, 0 to 3 percent slopes",Consociation,NA,25675,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10662,95368
12,"Bresser sandy loam, cool, 3 to 5 percent slopes",Consociation,NA,42959,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10662,95370
13,"Bresser sandy loam, cool, 5 to 9 percent slopes",Consociation,NA,7415,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10662,95371
16,"Chaseville gravelly sandy loam, 1 to 8 percent slopes",Consociation,NA,4313,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95374
17,"Chaseville gravelly sandy loam, 8 to 40 percent slopes",Consociation,NA,2094,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95375
18,Chaseville-Midway complex,Complex,NA,5399,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95376
2,"Ascalon sandy loam, 1 to 3 percent slopes",Consociation,NA,31916,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95378
20,"Connerton-Rock outcrop complex, 8 to 90 percent slopes",Complex,NA,2312,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95379
28,"Ellicott loamy coarse sand, 0 to 5 percent slopes",Consociation,NA,25957,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95387
29,"Fluvaquentic Haplaquolls, nearly level",Consociation,NA,3751,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95388
3,"Ascalon sandy loam, 3 to 9 percent slopes",Consociation,NA,27470,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10662,95389
32,"Fortwingate-Rock outcrop complex, 15 to 60 percent slopes",Complex,NA,3580,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95392
33,"Heldt clay loam, 0 to 3 percent slopes",Consociation,NA,6715,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95393
38,"Jarre-Tecolote complex, 8 to 65 percent slopes",Complex,NA,11596,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95398
44,"Kutch clay loam, 3 to 5 percent slopes",Consociation,NA,2464,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,,NA,NA,NA,NA,NA,10662,95405
