domainname,choicesequence,choice,choicedesc,choiceobsolete
aashto_group_classification,1,A-1,"Granular materials (35% or less passing No. 200 sieve), silty or clayey gravel and sand.  Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,2,A-1-a,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,3,A-1-b,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,4,A-2,"Granular materials (35% or less passing No. 200), silty or clayey gravel and sand.  Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,5,A-2-4,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,6,A-2-5,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,7,A-2-6,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,8,A-2-7,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,9,A-3,"Granular materials (35% or less passing No. 200), fine sand.  Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,10,A-4,"Silt-Clay materials (more than 35% passing NO. 200), silty soils.  Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,11,A-5,"Silt-Clay Materials (more than 35% passing No. 200), clayey soils.  Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,12,A-6,"Silt-Clay materials (more than 35% passing No. 200) clayey soils.  Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,13,A-7,"Silt-Clay materials (more than 35% passing No. 200), clayey soils.  Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,14,A-7-5,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,15,A-7-6,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
aashto_group_classification,16,A-8,"Reference:  This is a classification of soil material for highway and airfield construction (Procedure M 145-73 in Am. Assoc. of State Highway and Transportation Officials, 1984.",No
algorithm,1,Dominant Condition,,No
algorithm,2,Dominant Soil,,No
algorithm,3,Most Limiting,,No
algorithm,4,Least Limiting,,No
algorithm,5,Weighted Average,,No
algorithm,6,All Components,,No
algorithm,7,Absence/Presence,,No
algorithm,8,No Aggregation,,No
attributetype,1,Interpretation,,No
attributetype,2,Property,,No
capability_class,1,1,Soils in Class 1 have few limitations that restrict their use.,No
capability_class,2,2,Soils in Class 2 have some limitations that reduce the choice of plants or require moderate conservation practices,No
capability_class,3,3,"Soils in Class 3 have severe limitations that reduce the choice of plants or require special conservation practices, or both.",No
capability_class,4,4,"Soils in Class 4 have very severe limitations that restrict the choice of plants, require very careful management, or both",No
capability_class,5,5,"Soils in Class 5 have little or no erosion hazard, but have other limitations impractical to remove that limit their use.",No
capability_class,6,6,"Soils in Class 6 have very severe limitations that make them generally unsuited to cultivation and limit their use largely to pasture, etc.",No
capability_class,7,7,"Soils in Class 7 have very severe limitations that make them unsuited to cultivation and that restrict their use to grazing, etc.",No
capability_class,8,8,Soils (and landforms) in Class 8 have limitations that preclude their use for commercial plant production and restrict their use.,No
capability_subclass,1,e,erosion,No
capability_subclass,2,w,excess water,No
capability_subclass,3,s,soil limitations within the rooting zone,No
capability_subclass,4,c,climate condition,No
cardinality,1,One to One,,No
cardinality,2,One to Many,,No
